doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;27791;Tukar Faktur;PY-IN-23001582;;2023-01-16;Fuad
13;27792;Tukar Faktur;PY-IN-23001582;;2023-01-16;Fuad
13;27793;Tukar Faktur;PY-IN-23001582;;2023-01-16;Fuad
13;839;Tukar Faktur;PY-IN-23001582;;2023-01-16;Fuad
13;1223;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1224;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1225;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1226;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1227;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1228;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1233;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1236;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1267;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1269;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1271;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;1274;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;39494;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;39552;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;42648;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;42649;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;42650;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;42651;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;42652;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;42653;Tukar Faktur;PY-IN-23001583;;2023-01-16;Tyo
13;18748;Tukar Faktur;PY-IN-23001604;;2023-01-16;Jefri
13;18749;Tukar Faktur;PY-IN-23001604;;2023-01-16;Jefri
13;18750;Tukar Faktur;PY-IN-23001604;;2023-01-16;Jefri
13;18959;Tukar Faktur;PY-IN-23001604;;2023-01-16;Jefri
13;18989;Tukar Faktur;PY-IN-23001604;;2023-01-16;Jefri
