CardCode;CardName;Notes
SM0134;PT. PALIGIES INTERNASIONAL;Weekly – Senin
SM0139;PT. GREEN FRESH;Weekly – Selasa
SM0202;PT ORGANIK SEHAT ALAMI;Weekly – Selasa
SM0141;PT SUMBER AGRI SEHAT;Weekly – Selasa
SM0204;PT. INDO DARMA DISTRIBUSI;Weekly – Selasa
SM0072;PT. VICTORY RETAILINDO;Weekly – Selasa & Rabu
SM0184;PT KAIFA INDONESIA;Weekly – Rabu
SM0114;PT. INDOBUMI LESTARI;Weekly – Rabu
SM0179;PT KEMANG KARSA LESTARI;Weekly – Kamis
SM0056;PT BOGA CATUR RATA;Monthly – Kamis
SM0214;PT. MITRA BUMI AMERTA;Whatsapp
SM0030;PT LOTTE MART INDONESIA;Weekly - B2B
SM0031;PT LOTTE SHOPPING INDONESIA;Weekly - B2B
SM0111;CV SAGA RETAILINDO SORONG;Weekly – Email
SM0015;PT. CIRCKLE K INDONESIA;Weekly – Senin
SM0011;PT. ALFA RETAILINDO;Weekly - B2B
SM0053;PT. TRANS RETAIL INDONESIA;Weekly - B2B
UM0150;MISS CORINNE GAMINDE;Email
RS2969;PT. IRUUM RETAIL INDONESIA;Weekly – Selasa
RS2520;PT. RUMAH MEBEL NUSANTARA;Weekly - Senin
RS2089;PT. TRIBOGA NUTRI MAKMUR;Weekly - Senin
RS1323;PT. JAZEERAH JAKARTA PUSAT;Weekly - Senin
RS2209;CV SUMBER MAKANAN SEHAT;Weekly - Senin
RS1428;PT. ARENA GOURMET;Weekly - Senin
RS1844;PT. ARENA SIAM KULINER;Weekly - Senin
RS1881;PT. MENYA MUSASHI INDONESIA;Weekly - Senin
RS2703;PT. ERA BOGA PATISERINDO;Weekly - Senin & Weekly Rabu
RS1630;PT. HELIHAN SURYA GEMILANG;Weekly - Senin
RS1704;PT. ANOMALI COFFEE;Weekly - Selasa
RS0985;PT. INDOBOGA JAYA KUSUMA;Weekly - Selasa
RS2530;PT BANGOR BERKEMBANG BERSAMA;Weekly - Selasa
RS0501;PT. PAWON WANGI RESTORINDO;Weekly - Selasa
RS0161;PT. INDOFOOD COMSA SUKSES MAKMUR;Weekly - Selasa
RS2259;PT MODULAR KULINER INDONESIA;Weekly - Selasa
RS2324;PT SATYA CIPTA BOGA;Weekly - Selasa
RS1920;PT. KOPI ASLI INDONESIA;Weekly - Selasa
RS0613;WARUNG TEKKO;Weekly - Selasa
RS2605;PT. BIGHOT TIGER INDONESIA;Weekly - Selasa
RS2412;CV INDO KARTAWIJAYA;Weekly - Selasa
RS1516;PT MAHAWIRYA MAKMUR SENTOSA;Weekly - Selasa
RS0626;PT TURKINDO SEJAHTERA;Weekly - Selasa
RS0818;PT HIMBER INDONESIA;Weekly - Selasa
RS0175;PT. AGUNG MANDIRI LESTARI;Weekly - Rabu
RS1769;PT. SARI FOOD LESTARI;Weekly - Rabu
RS0556;PT. SARI PIZZA INDONESIA;Weekly - Rabu
RS0657;PT.  ALJAZEERAH RESTAURANT;Weekly - Rabu
RS2274;PT. NUSA PRIMA PANGAN;Weekly - Rabu
RS0073;CV SINAR LARIA;Weekly - Rabu
RS0040;CV. CAHAYA LARIA;Weekly - Rabu
RS0196;PT. ARENA MULTIBOGA;Weekly - Rabu &Jum'at
RS0970;PT. SAMWON GARDEN INDONESIA;Weekly - Rabu & Kamis
RS0369;PT. INTERCONTINENTAL CULINARY;Weekly - Rabu minggu ke 2,3,4
RS1513;PT. KHUBILAI KHAN;Weekly - Rabu Minggu Ke-1 dan ke-3
RS1665;PT. SENDOK GARPU BERSAUDARA;Weekly - Kamis
RS1883;CV SARANA ADHI GEMILANG;Weekly - Kamis
RS1780;PT CAHAYA PANGAN INDONESIA;Weekly - Kamis
RS0913;PT. SRIBOGA MARUGAME INDONESIA;Weekly - Kamis
RS2471;PT CAHAYA JAYADI ABADI;Weekly - Kamis
RS2804;PT. CITRARASA SURGAWI / PT BOGA INDO PRIMA;Weekly - Kamis
RS1493;PT. INOVASI KULINER INDONESIA;Weekly - Kamis
RS2567;PT. WISNU ANANDA JAYA;Weekly - Kamis
RS2618;PT. OMA KITA SEMUA;1-15 & 15-30 Hari Weekly - Kamis
RS2461;CV. DAPURAME;Weekly - Jum'at
RS2217;PT. BOGA MAKMUR MANDIRI;Weekly - Jum'at
RS2255;PT. BOGA MAKMUR MANDIRI;Weekly - Jum'at
RS0226;PT. BOGA MAKMUR INTIPANGAN;Weekly - Jum'at
RS1056;PT. BOGA MAKMUR WIJAYA;Weekly - Jum'at
RS2187;PT. TRI AGUNG NUSANTARA NARA;Weekly - Jum'at
RS0698;PT. MAS MILENNIUM INDONESIA;Weekly - Jum'at
RS0103;PT. KEMILAU PANGAN CITRA;Weekly - Jum'at
RS1959;PT. FUKUMIMI BERKAH BERSAMA;Weekly - Jum'at
RS1044;PT. VUE RESTAURANT INDONESIA;Jum'at Minggu 1,2,3
RS1005;PT. SOCIEATY RESTAURANT INDONESIA;Jum'at Minggu 1,3,4
RS0465;PT. MORELLO;Jum'at minggu ke-2 (BULANAN)
RS1904;PRIME ANGUS;Jum'at minggu ke-2 (BULANAN)
PS0869;PT. KOPI PUTRA BANGSA;Weekly - Senin
PS0352;PT ANUGERAH ANTARI SEJAHTERA;Weekly - Senin
UM0226;PT. VALENTINA CITA BOGA;Weekly - Senin
PS0115;BAKING LAND (DEWI YANA );Weekly - Senin
UM0251;TOKO ELDELA /DENNY SUHARLI;Weekly - Senin
PS0942;AMER MIRZA SE / TOKO YEYE;Weekly - Senin
PS1101;PT NARASA MULTI NUSA;Weekly - Senin
RS2864;PT LAMURI SAMUDRA HORIZON;Weekly - Senin
PS0974;PT. SRI ANDARA SHIVA;Weekly - Senin
OT0161;PT LAUKITA BERSAMA INDONESIA;Weekly - Senin
PS0209;TOKO BERKAT;Weekly - Senin
PS0123;HARSOYO;Weekly - Senin
PS0115;FITRIA ANINDITA PUTRI;Weekly - Selasa
PS0615;PT HARI NIAGA CEMERLANG;Weekly - Selasa
RS1655;MARINATA BOGA JAYA;Weekly - Selasa
UM0337;PT. PRIMA TOP BOGA;Weekly - Selasa
PS0023;QUEENARA;Weekly - Selasa
PS0369;PT INDO SURGA JAYA;Weekly - Selasa
PS0989;PT. KARYA TERBAIK NUSANTARA;Weekly - Selasa
PS0974;PT MEGMILK SNOW BRAND INDONESIA;Weekly - Selasa
CT0108;CV. MUTIARA;Weekly - Senin
RS2891;PT INDO FUSION NUSANTARA;Weekly - Selasa
RS2876;PT TIGER SUGAR INDONESIA;TIDAK TUKAR FAKTUR
PS0908;PT BAROKAH DUNIA AKHIRAT;Weekly - Selasa
RS3093;PT BOGA NUSA PROTINDO;Weekly - Selasa
UM0255;PT LARIS SUKSES SEJAHTERA;Weekly - Rabu 
PS0156;PT. TITAN INTIRASA SUMBER SEJAHTERA;Weekly - Rabu 
PS1080;GRAHA MULTI PANGAN;Weekly - Rabu 
PS0846;PT KEJAYAAN GASTRONOMI INDONESIA;Weekly - Rabu 
RS2814;PT BORNGALBI;Weekly - Rabu 
RS2728;PT WANDE ANDON MUDA;Weekly - Rabu 
PS1127;CV TOKYO CAFE BAKERY DESSERT;Weekly - Rabu 
PS0381;PT. PASIFIK PRIMA KULINER;Weekly - Rabu 
PS1142;PT MAKO ANUGERAH KREASINDO;Weekly - Rabu 
PS1147;PT.JCO DONUT & COFFEE;Weekly - Rabu 
PS1150;PT ROYAL PANCAPERSADA ANUGERAH;Weekly - Rabu 
PS1154;PT TALKINDO SELAKSA ANUGRAH;Weekly - Rabu 
CT0064;cv. YVONNE'S CATERING;Weekly - Rabu 
PS1160;PT CIPTABOGA SUKSES MANDIRI;Weekly - Rabu 
PS0239;PT.PASADENA KREASI JAYAINDO;Weekly - Kamis
PS0906;VIBRAN RAYA BESTARI;Weekly - Kamis
PS0322;EFFENDY / TOKO BERKAT ANUGRAH;Weekly - Kamis
PS0888;PT JHAREDA MITRA BOGA;Weekly - Kamis
PS0194;PT SUMBER DAYA NUSAPHALA;Weekly - Kamis
PS0315;YAY BUDDHA TZU CHI WIYATA  INDONESIA;Weekly - Kamis
ps0180;BELLE BAKING AND COOKING CLASS/ AGNES ANDRIA NIO;Weekly - Kamis
PS0171;ANDRE ISKANDAR;Weekly - Kamis
PS0410;PT HEIHEI SUKSES CEMERLANG;Weekly - Kamis
PS0169;PT. AUSFINE FOODS INDONESIA;Weekly - Kamis
RS2156;LIESTYAWATI LEO;Weekly - Kamis
PS1122;PT LUHUR MINULYA EKARASA;Weekly - Kamis
RS2936;PT DELTA RAYA SEJAHTERA;Weekly - Kamis
RS2892;PT DUNIA SOMMI INDONESIA;Weekly - Kamis
PS0938;PT PERMATA SUKSES SENTOSA;Weekly - Kamis
PS0458;PT SAJI MANDIRI INDONESIA;Weekly - Jumat
RS2797;PT SAJI SEGAR LESTARI;Weekly - WEEKLY - RABU & JUMAT
PS0431;PT BOGA SURYA MANDIRI;Weekly - JUMAT
UM0262;TOKO VIETO / BAMBANG SUWITO;Weekly - JUMAT
CT0201;PT UMARA NIKMAT BOGA;Weekly - JUMAT
DS0261;PT APRILASTA RAJA BOGA;Weekly - JUMAT
PS0278;TITIEN SUHARTINI;Weekly - JUMAT
PS0398;MARDANI;Weekly - JUMAT
PS0474;PINDARIUS LESMANA;TIDAK TUKAR FAKTUR
PS0210;PT. NAPOL MEDAN BERKAH;TIDAK TUKAR FAKTUR
PS1012;KEMBANG LOYANG;TIDAK TUKAR FAKTUR
PS0238;ASTRI WIDYANINGRUM;SESUAI JATUH TEMPO
PS0505;CHAIRUL SULTAN;TIDAK TUKAR FAKTUR
PS0655;PT KITA MAKAN BERSAMA;TIDAK TUKAR FAKTUR
PS0588;WAN TU TUTI;TIDAK TUKAR FAKTUR
PS0135;TYU CAKE TOOLS SHOP;TIDAK TUKAR FAKTUR
PS0574;CV WAROENG UP2DATE;TIDAK TUKAR FAKTUR
PS0567;HENRY MULYADI CHANDRA;TIDAK TUKAR FAKTUR
UM0258;TOKO LOWID'S;TIDAK TUKAR FAKTUR
RS2775;PT SUN SIERRA FOOD INDONESIA;TIDAK TUKAR FAKTUR
PS0589;RAYHAN SWASONO;TIDAK TUKAR FAKTUR
PS0268;ANTON SASTRAHUDIAH;TIDAK TUKAR FAKTUR
PS0390;REGINA CAROLIN RAHARJO;TIDAK TUKAR FAKTUR
PS0419;JOHANES LIM;TIDAK TUKAR FAKTUR
PS0170;ORYZA SATIVA BACHTIAR SE;TIDAK TUKAR FAKTUR
UM0369;BAPAK DARRYL;TIDAK TUKAR FAKTUR
PS0337;DYAH PUSPITA ARUM;TIDAK TUKAR FAKTUR
RS2772;PT. NENGGALA CAKRA AKUSARA;TIDAK TUKAR FAKTUR
PS0225;LUCIA MARIA ARIFIN;TIDAK TUKAR FAKTUR
PS1022;PUTRO TRI  MULYO;TIDAK TUKAR FAKTUR
PS0260;PT.OMAH BOGA PARAMA;TIDAK TUKAR FAKTUR
UM0753;AMELIA DJAJADI;TIDAK TUKAR FAKTUR
PS0256;ALEXANDER;TIDAK TUKAR FAKTUR
PS0160;PD. JAYA SENTOSA;TIDAK TUKAR FAKTUR
PS0697;PT FOODSOMNIA PERTAMA GRUP;TIDAK TUKAR FAKTUR
RS2685;PT KIOS KOSMIK HOT DOG;TIDAK TUKAR FAKTUR
PS0500;LIZZARNI;TIDAK TUKAR FAKTUR
PS0808;CV. MANDIRI GEMILANG;TIDAK TUKAR FAKTUR
PS0772;ARMIN;TIDAK TUKAR FAKTUR
PS0837;PT. PURIBOGA DWI ARTHA;TIDAK TUKAR FAKTUR
PS0231;PT.UKHUWAH BOGOR BERKAH;TIDAK TUKAR FAKTUR
PS0261;MOHAMMAD SAIPULUNG;TIDAK TUKAR FAKTUR
PS0218;PT KINTARO SUSHI PANGAN INDONESIA;TIDAK TUKAR FAKTUR
RC0124;PT HALLF KREASI PATIUNUS;TIDAK TUKAR FAKTUR
PS0820;KREASI TANI LAKSMI;TIDAK TUKAR FAKTUR
RS0221;PT. MULTI KREASI CITRA RASA;TIDAK TUKAR FAKTUR
RS2953;CV SOLID AMANAH SUKSES;TIDAK TUKAR FAKTUR
RC0063;PT. GEMBIRA BERSAMA GRUP;TIDAK TUKAR FAKTUR
RS2995;PT ANTARA KATA JAKARTA;TIDAK TUKAR FAKTUR
PS0476;WAHYUNING DYAH PRAWESTI;TIDAK TUKAR FAKTUR
RS3011;PT NEW FOOD SOLUTION;TIDAK TUKAR FAKTUR
PS0902;PT ROLUPAT KRIYA INDONESIA;TIDAK TUKAR FAKTUR
PS0543;YUDHI ARSI ALDINO;WEEKLY - RABU ( BERKAS LUNAS )
PS0404;SRIHARIYATI;TIDAK TUKAR FAKTUR
RS3074;CV RESTO SEJAHTERA MANDIRI;TIDAK TUKAR FAKTUR
rs3102;PT CITA RASA ANAK BANGSA;TIDAK TUKAR FAKTUR
RS1837;PT. BOGA RASA INDAH;Weekly - Senin
RS1536;PT. LIBBE BOGA SENTOSA;Weekly - Senin
RS2287;PT  SINGA FOOD INTERNATIONAL;Senin (2 Minggu Sekali)
RS0428;PT. M RAMEN;Senin (2 Minggu Sekali)
RS1121;PT.  RAJA FOOD INTERNATIONAL;Senin (2 Minggu Sekali)
RS2789;ZENBU RESTORAN;Weekly - Senin
RS2248;PT PEMUDA CARI CUAN;Weekly - Senin
RS1471;PT NAKAJIMA SUISAN INDONESIA;Weekly - Kamis
RS0579;PT. SHABU SHABU HOUSE;Senin - Minggu ke 3
RS2551;PT BERKAH ARUNA KULINER;Senin
RS2497;PT SUSHI HIRO INDONESIA;Weekly - senin
RS3040;PT KRISTAL HIRO INDONESIA;-
RS2310;TJUNG PAULUS;Weekly - Senin
RS2303;PT SUSHIGO HIRO INDONESIA;Weekly - Senin
RS2428;PT TAMAN HIRO INDONESIA;Weekly - Senin
RS3050;PT BEEF BOSS INDONESIA;Weekly -senin
RS1390;CREATIVE FOOD;Senin/2 Minggu
RS1350;PT GADING FOOD;Senin/2 Minggu
RS1521;PT PRIMA ISMAYA SEJAHTERA;Senin
CT0037;PT KITCHENETTE LESTARI;Senin
RS2301;PT. PWEEKLY - RABU BUDI MULIA;Weekly - Selasa
RS2271;PT CITA SENI SEMPURNA;Weekly - Selasa
RS1226;SONY SE;Weekly - Selasa
CT0182;PT SELERA KREASI BANGSA;Email tiap Selasa Tidak Tukar Faktur
RS2363;PT PENDEKAR BODOH;Weekly - Rabu
RS2330;PT.PUTRI KEBUN LESTARI;Weekly - Selasa
RS2463;PT REBEL GOFOOD INDONESIA;Tidak Tukar Faktur (Email)
RS1860;PT CIPTA ADIDAYA SEMESTA;Weekly - Rabu
RS1401;PT PAWON BOGA INTERNUSA;Weekly - Rabu
RS1980;PT EKADASA SELERA SEMPURNA;Weekly - Rabu
RS1643;PT OKUZONO NIPPINDO PARADISO;Weekly - Rabu
RS2381;PT TWELVE NIPPINDO PARADISO;Weekly - Rabu
RS1753;PT ALFRED BOGA LESTARI;Weekly - Rabu
RS2261;PT FURU SATO INDONESIA;Weekly - Rabu
RS1726;PT. LANGGENG DUNIA SELARAS;Weekly - Rabu
RS1771;CV SELERA PRIMA;Weekly - Kamis
RS1186;CV GLORIA PRIMA;Weekly - Kamis
RS0826;PT THE BARBECUE PLAZA;Weekly - Kamis
RS1377;PT PASIFIK MULTIRASA INDONESIA;Weekly - Kamis
RS1825;PT KULINER DIGITAL SEJAHTERA;Weekly - Kamis
RS0460;PT MITRA SELERA BERSAMA;Weekly - Kamis
RS0935;PT REINS MARINDO INDONESIA;Weekly - Kamis
RS1576;PT EKA BOGA INTI;Weekly - jumat
RS0065;CV SARI RASA NUSANTARA;Weekly - Jumat
RS1384;PT YORKINDO BOGA UTAMA;Weekly - Jumat
RS2322;CV BINTANG CIPTA KULINER;Weekly - Jumat
RS2230;PT HAIDILAO INDONESIA;BULANAN TANGGAL 1-5
PS0784;Momo Boga Sejahtera;Weekly - Senin, WEEKLY - KAMIS
PS0257;PT BAASITHU BOGA SERVICES;Weekly - SENIN
PS0054;SAPTA DWI PANGAN;Weekly - Senin
PS0985;PT INDO BOGA KARYA;Weekly - SENIN
PS0235;SUTRISNO;Weekly - SENIN
PS0189;CAKE HOUSE;Weekly - Senin
PS0639;PT. DPO INDONESIA;Weekly - SENIN
PS0909;ABHINAYA PRABAWA SUPALA;Weekly - SENIN
PS1039;TOSERBA GADING SERPONG;Weekly - Selasa
PS0190;PT. MULTI MAKMUR ABADI;Weekly - Selasa
RS2754;BHAGA SUKHA NUSANTARA;Weekly - Selasa
PS0254;PT. ABBA PURI SENTOSA;Weekly - Selasa
RS2880;PT. MEGA GEMILANG SENTOSA;Weekly - Selasa
PS0385;PT SUVARNA LAND;Setiap tanggal 5 dan 20
PS0302;WIDIMAN;Weekly - Selasa
ps0371;CV DUNIA RASA;Weekly - Selasa
PS0349;PT ALPHA QUEST INTERNATIONAL;Weekly - Selasa
PS0662;PT. INARA KULINA PURA;Weekly - Selasa
UM0256;PT.LARISINDO SUKSES GEMILANG;Weekly - Selasa
PS0671;CV AMANI RASA KULINA;Weekly - Selasa
CT0139;NAMIRA;Weekly - Selasa
PS1166;PT EMINA CHEESE INDONESIA;Weekly - Selasa
RS2874;PT. TUJUH RITEL INDONESIA;Weekly - Selasa
RS3010;PT. TUJUH BOGA MAKMUR;Weekly - Selasa
RC0133;FORTUNA PRIMA INSANI;Weekly - Rabu
PS0308;ADINDA FITRANIA;Weekly - Rabu
CT0013;GANDRUNG PRIMA;Weekly - Rabu
MN0006;CV. USAHA SUKSES BERSAMA;Weekly - Rabu
PS0358;PT EXQUISE BOGA MULIA;Weekly - Rabu
PS0284;ANGGA FAJRIAN GUMILAR;Weekly - Rabu
PS0606;PT SAUSALITO INDO KULINER;Weekly - Rabu
PS0985;PT. INDO BOGA KARYA;Weekly - Rabu
PS0165;PT. ATHALIA NITYA ISTI;Weekly - Rabu
PS0163;PT. AGRAPANA NITYA ISTI;Weekly - Rabu
PS0307;INDRA IRAWAN;Weekly - Rabu
PS0062;PT. KREASI UNGGUL EKAKARSA;Weekly - Rabu
PS0088;DODDY SETYOBUDI;Weekly - Rabu
PS0413;CV WULAN SARI JAYA;Weekly - Rabu
UM0767;MUHAMMAD IQBAL KAMAL;Weekly - Rabu
PS0832;PT SAPTA NUANSA OPTIMA;Weekly - Rabu
PS0061;PISTORIA PASTRY SUPPLIES & KITCHEN;Weekly - Rabu
PS1146;CV. KATRINA JAYA MAKMUR;Weekly - Rabu
PS0602;PT PLATARAN BOGA RASA;Weekly - Rabu
PS0932;MITRA NATURA RAYA;Weekly - Kamis
PS0566;ORPIORA ENAS BERMENOV;Weekly - Kamis
PS0282;FEBIANA INDANI DARMOSUSILO;Weekly - Kamis
PS0052;GUNAWAN SANTOSO;Weekly - Kamis
PS0571;KOPINDO MITRA JAYA;Weekly - Kamis
RS1182;YULIANA NATHALIA TARIGAN;Weekly - Kamis
DS0243;MULIA KENCANA LESTARI;Weekly - Kamis
CT0196;CV KENANGA;Weekly - Kamis
RC0134;PT MOSKA INDONESIA PRATAMA;Weekly - Kamis - Jum'at
PS0124;PT. SUMBER NATURAL INDONESIA;Weekly - Kamis
PS0207;TAM ABDUL MAJID;Weekly - JUMAT
PS0768;PT GAYA BOGA SUKSES;Weekly - JUMAT
PS1128;PT. ANUGRAH CITARASA;Weekly - JUMAT
PS0468;GAYA BOGA SUKSES;Weekly - JUMAT
CT0087;MAWARTRI MUKTIREKSA;Weekly - JUMAT
PS0972;DAPOER REKA BOGA;Weekly - JUMAT
PS0427;PT INDO FRESCO NUSANTARA;Weekly - JUMAT
PS0070;CV. TRADISIONAL SNACK;Weekly - JUMAT
UM0234;PT. KARUNIA JAYA LAKSANA;Weekly - JUMAT
CT0025;MARIA VIANTINI CATERING;Weekly - JUMAT
PS0799;PT PESCA ANUGERAH SEJATI;Weekly - JUMAT
RS2682;LOKAL SINTESA DARMA;Weekly - JUMAT
UM0069;ACHMAD ANDHIKA DARWIN;Weekly - JUMAT
PS0631;LILIS SUMIATI;Weekly - JUMAT
PS0401;YOSEP LEONARDI;Weekly - JUMAT
DS0260;PT. EMPU ANEKA PANGAN;Weekly - JUMAT
PS0181;HO TJIUK LAN;Weekly - JUMAT
CT0206;PT ANDARA PANGAN SUKSES;Weekly - JUMAT
PS0309;DEWI NOER AINI;Weekly - JUMAT
UM0329;PT. BREAD MART INDONESIA;Weekly - JUMAT
PS0889;CV AGATHA SEMESTA HARMONIS;Weekly - JUMAT
PS0181;HO TJIUK LAN;BULANAN
PS0531;ALAN DARMA SAPUTRA;TIDAK TUKAR FAKTUR
PS0591;VIKING VISKAR;TIDAK TUKAR FAKTUR
RS2842;PT SUMBER DAYA PERKASA;TIDAK TUKAR FAKTUR
PS0664;PT SAN NICOLA INDONESIA;TIDAK TUKAR FAKTUR
PS0629;YOYOK SUGIANTO;TIDAK TUKAR FAKTUR
PS0051;DWI PRIYONO;TIDAK TUKAR FAKTUR
PS1133;CV. HARMONI BOGA JAYA;TIDAK TUKAR FAKTUR
PS0730;BOPPAN COFFEE & FRUIT TEA;TIDAK TUKAR FAKTUR
PS0375;ARLINA;TIDAK TUKAR FAKTUR
PS0710;OON SAONI;TIDAK TUKAR FAKTUR
PS0575;RONNY RACHMAN;TIDAK TUKAR FAKTUR
PS0311;FUAD ADAM;TIDAK TUKAR FAKTUR
PS0255;AHMAD FADHLI;TIDAK TUKAR FAKTUR
UM0339;SUNARJO APRIJANTO;TIDAK TUKAR FAKTUR
PS0037;BAKING DAILY;TIDAK TUKAR FAKTUR
PS0535;HERMAN WIJAYA;TIDAK TUKAR FAKTUR
PS0791;PT ALFA BETA ABADI;TIDAK TUKAR FAKTUR
PS0523;TUNGKY NOVIA HARTI;TIDAK TUKAR FAKTUR
PS0073;TAUFIK HIDAYAT;TIDAK TUKAR FAKTUR
PS0608;KARYA MUDA BERSAMA;TIDAK TUKAR FAKTUR
PS0654;EDO BRAMANTA GUNAWAN;TIDAK TUKAR FAKTUR
PS0245;SULISTIO SEPTIONTORO;TIDAK TUKAR FAKTUR
PS0125;SUTINO;TIDAK TUKAR FAKTUR
PS0843;PT ROTI INDONESIA SATU;TIDAK TUKAR FAKTUR
PS0887;PT TRIJUNA TERANG TERGANA;TIDAK TUKAR FAKTUR
PS0467;FAJAR ANGGORO;TIDAK TUKAR FAKTUR
PS0714;REZA PAHLEVI;TIDAK TUKAR FAKTUR
PS0335;NASIR IDRUS;TIDAK TUKAR FAKTUR
PS0383;JENIWATI ROESTI;TIDAK TUKAR FAKTUR
PS0521;JUSTIAN DAIMAN;TIDAK TUKAR FAKTUR
RS2986;MAHAKARYA CITA RASA;TIDAK TUKAR FAKTUR
PS0347;URSULA YUNITA;TIDAK TUKAR FAKTUR
PS0894;ANDRI ADHIKAPRASETYO;TIDAK TUKAR FAKTUR
PS0652;PT SEIDAI KIBO NUSANTARA;TIDAK TUKAR FAKTUR
RS2745;PT. SATRIA INTEGRA SEJAHTERA;TIDAK TUKAR FAKTUR
PS0544;ADISTI BUNGA PRAVITASARI;TIDAK TUKAR FAKTUR
PS1058;BOGA CIPTA JASA;TIDAK TUKAR FAKTUR
DS0219;TIGA SAUDARA INDONESIA;TIDAK TUKAR FAKTUR
PS0854;PT BOGAJAYA SUKSES PERKASA;TIDAK TUKAR FAKTUR
RS2172;NIKCOLAS JAYA;TIDAK TUKAR FAKTUR
HT0185;PT HILSCO ARTHA MAS;Weekly - Senin
HT0258;PT. MERLYNN PARK HOTEL;SENIN - PER 2 MINGGU - TUNGGU JADWAL
HT0222;PT. DWI MUKTI MITRA WISATA;Weekly - Senin
HT0255;PT. BALAIRUNG CITRA SUMBAR;Weekly - Senin
HT0058;PT MANDIRI MAJU KELOLATAMA;Weekly - Selasa
HT0046;PT JAKARTA INTERNATIONAL HOTEL;Weekly - Selasa
HT0022;PT CENTRAL PESONA PALACE;Weekly - Selasa / Jumat
HT0234;PT. CITRA KIRANA PANTAI;Weekly - Selasa
HT0251;PT SOLITAIRE HOTEL INDONESIA;Weekly - Selasa
HT0270;PT SURYA INTERNUSA HOTEL;Weekly - Selasa
HT0190;PT LOKA ASRI;Weekly - Selasa Minggu 2 & 3
HT0284;PT MERDEKA RONOV HOTEL;Weekly - Selasa
HT0295;PT PESONA INDAH SELARAS;Weekly - Selasa
HT0274;PT MITRA PERSADA KELOLA;KIRIM POS BARENG PENGIRIMAN
HT0329;PT MITRA VISI INDAH;Weekly - Selasa
HT0277;PT PERMATA BEKASI SUKADANA;Weekly - Selasa
HT0162;PT GRAHA PAKUBUWONO;Weekly - Selasa
RS1591;PT BENWIKA ANDIGUNA PRIMA;Weekly - Selasa
HT0351;PT TANINDO CITRA LESTARI;Weekly - Selasa
HT0349;PT. SENTRAL AGUNG INDAH;Weekly - Selasa
HT0278;PT. SURYA MUTIARA KENCANA PRATAMA;Weekly - Selasa
HT0070;PT PARAMOUNT PROPERTINDO;Weekly - Rabu
HT0018;PT BUANA SUBUR LESTARI;Weekly - Rabu
HT0273;PT. MEKAR PRANA INDAH;Weekly - Rabu
HT0026;HOTEL OLIVE;WEEKLY - RABU Minggu ke 4
HT0272;PT. BINA GRAHA MAKMUR;Weekly - Rabu ada jadwal nya
HT0316;PT COZMO MENTENG;Weekly - Rabu
HT0203;PT AGUNG PERTIWI NAULI;Weekly - Rabu
HT0327;PT MORITZ SUKSES INTERNATIONAL;Weekly - Rabu
RS1003;PT TAMAN IMPIAN JAYA ANCOL;Weekly - Rabu
HT0006;PT METROPOLITAN REALTY INTERNATIONAL;Weekly - Rabu
HT0297;PT ESTA ASRI PROPERTINDO;Weekly - Rabu
HT0102;PT GLOBAL ARTA BERJAYA;Weekly - Rabu
HT0068;PT NURTIRTA NUSA LESTARI;Weekly - Rabu
HT0097;PT WIJAYA WISESA BAKTI;WEEKLY - RABU
HT0045;PT. INNOVINDO SUKSES ABADI;Weekly - Kamis
HT0205;PT. HARAPAN GRAHA NIAGA;Weekly - Kamis
HT0291;PT HOTEL PROPERTI INTERNATIONAL;Pos
HT0124;PT. SEGITIGA PLAZA HOTEL;Weekly - Kamis
HT0156;PT SINAR BAHANA MULYA;Weekly - Kamis
HT0114;PT METROPOLITAN LINGGA JAYA;Weekly - Kamis
HT0193;PT MULIA COLLIMAN INTERNATIONAL;BARENG PENGIRIMAN
HT0031;PT. GRAHA ANDRASENTRA PROPERTINDO;BARENG PENGIRIMAN
RS0481;PT NUSAPLAZA INTERNATIONAL HOTEL;Weekly - Kamis
HT0065;PT MULIA INTAN LESTARI;Weekly - Kamis
HT0332;PT CITRA KIRANA HIJAU;Weekly - Kamis
HT0323;PT. LORENA LATERSIA PROPERTI;BARENG PENGIRIMAN
HT0290;PT KURETAKESO HOTEL INDONESIA;Weekly - Kamis
HT0276;PT GRAHA MANDIRI MAKMUR;WEEKLY - KAMIS minggu 2 dan 4
HT0048;HOTEL MERCURE SABANG;Weekly - Kamis
HT0305;PT RASUNA RESIDENCE DEVELOPMENT;Weekly - Kamis
HT0021;PT CAHAYA GRAHA KENCANA;WEEKLY - KAMIS MINGGU 1 DAN 3
HT0083;PT. SHANSUI KARYA BANDARA;Weekly - Kamis
HT0343;PT TAMARINDO NUSA HOTEL;Weekly - Kamis
HT0144;PT. OASIS HOTEL BOGOR;BARENG PENGIRIMAN
HT0346;PT GRIYA UPAJIWA;Weekly - Kamis
HT0279;PT MNC LAND;Weekly - Kamis
HT0016;PT BENIKA PRIMA LOKA;Weekly - Jumat
HT0187;PT GRAHA THAMRIN PROPERTINDO;Weekly - Jumat
HT0194;PT. IMESCO SEJAHTERA UTAMA;PER 2 MINGGU - Jumat
HT0062;PT. MERLYNN PARK HOTEL;Per 2 MINGGU - JUMAT
HT0061;PT THE HERMITAGE HOTEL;JUMAT
