CardCode;CardName;Notes
RS2821;PT GRAHA SENOPATI SENTOSA;Weekly - Rabu
RS2902;PT HAKUREN INTI SELERA;Weekly - Rabu
RC0002;CV JAYA SEJAHTERA ENERGI;Weekly - Rabu
RC0145;PT APULIAU BERKAH ENERGI;Weekly - Rabu
RS2337;TRISTI INDRIYANI;Weekly - Kamis
RC0156;CV SUAR SURYA SAKTI;Weekly - Kamis
RS0393;PT KAYSERINDO KULINER JAKARTA;Weekly - Kamis
UM0784;LIANI YUNIARTI HARTANTO;Weekly - Kamis
UM0377;PT NOVELL PHARMACEUTICAL LAB;Weekly - Kamis
RS2223;PT NAMBA KOPI INDONESIA;Weekly - Kamis
RS2449;ARISTYA INDRAWAN;Weekly - Kamis
RS2253;PT SARANA CIPTA KREASI ANUGERAH;Weekly - Kamis
UM0949;PT RASA CAHAYA ABADI;Weekly - Kamis
RS1728;IRVAN NURHALIM;Weekly - Kamis
RS0091;GAIA CATERING COMPANY;Weekly - Kamis
RS0721;PT RAHAYU ARUMDHANI INTERNATIONAL;Weekly - Kamis
RS1070;PT SANTE MA BOGA MANDIRI;Weekly - Kamis
RS0707;PT NOVA CASABLANCA;Weekly - Kamis
RS2201;PT DWI BATARA BOGA;Weekly - Kamis
RS0558;PT SATRIA MAJU BERSAMA;Weekly - Kamis
RS2137;PT MEGAGUNA USAHA BERSAMA;Weekly - Kamis
RS0441;PT MEGAGUNA USAHA BERSAMA;Weekly - Kamis
RS2112;PT TIRTAMAS JAYA LESTARI;Weekly - Kamis
RS2384;PT TIRTAMAS JAYA LESTARI;Weekly - Kamis
RS2787;PT MEGAGUNA USAHA MAKMUR;Weekly - Kamis
RS0992;PT KLABO INVESTAMA;Weekly - Kamis
RS1809;PT ARTISAN KULINER INDONESIA;Weekly - Kamis
RS1869;PT GRAHA FOOD ENTERTAINMENT;Weekly - Kamis
RS0312;PT FAJAR UTAMA NUANSA;Weekly - Kamis
RS2925;PT GENERASI BERKAT UTAMA;Weekly - Kamis
RS2606;PT PONG PERTAMA INDONESIA;Weekly - Kamis
RS2569;PT MERLOT DJAYA MAKMUR;Weekly - Kamis
RS1237;PT KOBA SUKSES BERJAYA;Weekly - Kamis
RC0037;PT CINTA KOPI NUSANTARA;Weekly - Kamis
RC0091;CV LAKSMI BERKAH LESTARI;Weekly - Kamis
RS1453;RUDI SUTANTO;Weekly - Kamis
RS2215;SELECT FOOD INDONESIA;Weekly - Kamis
RC0105;PT PATRA NAULI BERDIKARI;Weekly - Kamis
RC0074;PT SALMANDA JAYA UTAMA;Weekly - Kamis
RS2675;PT BELLA ITALIA INDONESIA;Weekly - Kamis
RS2811;PADANG GOLF BUKIT SENTUL;Weekly - Kamis
RS2657;PT MASHUD SEJAHTERA;Weekly - Kamis
RS2840;PT KARABHA DIGDAYA;Weekly - Kamis
RS2764;CV TRI SARI JAYA;Weekly - Kamis
RS2964;CV TRI SARI JAYA;Weekly - Kamis
RS2723;PT BASTIAAN GROUP INDONESIA;Weekly - Kamis
RS2801;PT PETGO BASTIAN;Weekly  - senin
RS2861;PT REINBARR RATU RADJAWALI;Weekly - Kamis
RC0135;PT ASRI KURNIA PERKASA;Weekly - Kamis
RS0033;CV ALPHA CHARLIE;Weekly - Kamis
RS2350;PD TANGGUH BERSAMA;Weekly - Kamis
RS1544;PT BOGA KREASI MITRA BUDAYA;Weekly  - Jumat
RS0035;CV BERKAT BOGA TAMA;Weekly  - Jumat
RS2517;PT GULA MERAH ASIA;Weekly  - Jumat
RC0113;CV PRATAMA SHELLINDO;Weekly  - Jumat
RS3110;PT PILAR BOGA PERKASA;Weekly  - Jumat
RS1716;CV BERKAT BOGA RASA;Weekly  - Jumat
RS2154;PT MITRA KULINER SEJATI;Weekly  - Jumat
RS2369;PT BENTANG ENERGI NUSANTARA;Weekly  - Jumat
RS0705;PT NALEDA BOGA SERVICE;Weekly  - Jumat
RS2705;ARLINI SYAH;Weekly  - Jumat
RS2095;PT GORDI KREASI INDONESIA;Weekly  - Jumat
RC0116;CV TRI MUTIARA KIRANA;Weekly  - Jumat
RS1678;BANG YUAN LIDRA;Weekly  - Jumat
RS0592;PT SUM MUSTIKA PRIMA;Weekly  - Jumat
RS2346;AANG KUSNADI;Weekly  - Jumat
RS1343;PT TANAMERA KOPI INDONESIA;Weekly  - Jumat
RS2186;PT NIRMALA ASIA LESTARI;Weekly  - Jumat
RS2579;PT QUALITA SENTRA RASA;Weekly  - Jumat
RS2598;PT QUALITA INTI RASA;Weekly  - Jumat
RS2604;PT QUALITA INTI RASA;Weekly  - Jumat
RS2153;PT SINAR HORECA SUKSES;Weekly  - Jumat
RS1059;PT KHARISMA MAKMUR SEJAHTERA;Weekly  - Jumat
RS2354;LIEM SONY;Weekly  - Jumat
RS0604;PT SUSHI TEI INDONESIA;Weekly  - Jumat
