docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
96573;081.007-23.17042473;080.007-23.17042473;302502436;2023-02-23 00:00:00.000;RS2843;PT SHABU MITRA SUKSES;SO202302124776
96576;081.007-23.17042476;080.007-23.17042476;302304506;2023-02-21 00:00:00.000;RS1226;SONY SE;SO202302121591
96580;081.007-23.17042480;080.007-23.17042480;302304508;2023-02-21 00:00:00.000;RS2212;PT SINAR RASA ABADI;SO202302121627
96584;081.007-23.17042484;080.007-23.17042484;302103861;2023-02-21 00:00:00.000;FC0027;FOC SG;SO202302120541
96588;081.007-23.17042488;080.007-23.17042488;302502444;2023-02-23 00:00:00.000;RS1924;MARINA DHARMAWAN;SO202302124868
96589;081.007-23.17042489;080.007-23.17042489;302103862;2023-02-20 00:00:00.000;FC0047;FOC ECHA;SO202302120799
96598;081.007-23.17042498;080.007-23.17042498;302502449;2023-02-24 00:00:00.000;RS0871;PT. KITCHENETTE LESTARI;SO202302125163
96601;081.007-23.17042501;080.007-23.17042501;302304511;2023-02-21 00:00:00.000;RS2574;PT MASAKAN ANAK BANGSA;SO202302121674
96602;081.007-23.17042502;080.007-23.17042502;302502450;2023-02-24 00:00:00.000;RS0871;PT. KITCHENETTE LESTARI;SO202302125164
96608;081.007-23.17042508;080.007-23.17042508;302304513;2023-02-21 00:00:00.000;RS1401;PT PAWON BOGA INTERNUSA;SO202302121773
96612;081.007-23.17042512;080.007-23.17042512;302502454;2023-02-24 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302125258
96613;081.007-23.17042513;080.007-23.17042513;302304515;2023-02-21 00:00:00.000;RS0496;PT. PANCIOUS TIRTA JAYA;SO202302121871
96616;081.007-23.17042516;080.007-23.17042516;302103863;2023-02-21 00:00:00.000;FC0020;FOC LL;SO202302122294
96622;081.007-23.17042522;080.007-23.17042522;302304518;2023-02-21 00:00:00.000;RS0505;PT. PELITA BOGA SEJAHTERA;SO202302122395
96623;081.007-23.17042523;080.007-23.17042523;302103866;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124809
96624;081.007-23.17042524;080.007-23.17042524;302304519;2023-02-21 00:00:00.000;RS0505;PT. PELITA BOGA SEJAHTERA;SO202302122396
96625;081.007-23.17042525;080.007-23.17042525;302103867;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124817
96626;081.007-23.17042526;080.007-23.17042526;302304520;2023-02-21 00:00:00.000;RS2376;PT BERKAH ADHIKARI INDONESIA KREATIF;SO202302122444
96627;081.007-23.17042527;080.007-23.17042527;302103868;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124819
96631;081.007-23.17042531;080.007-23.17042531;302103869;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124821
96633;081.007-23.17042533;080.007-23.17042533;302103870;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124822
96634;081.007-23.17042534;080.007-23.17042534;302304522;2023-02-21 00:00:00.000;RS2571;PT BARTISSERIE TEPUNG SAHABAT;SO202302122472
96636;081.007-23.17042536;080.007-23.17042536;302304523;2023-02-21 00:00:00.000;RS1214;PT. 48 DIMSUM INDONESIA;SO202302122698
96637;081.007-23.17042537;080.007-23.17042537;302304524;2023-02-21 00:00:00.000;PS0908;PT BAROKAH DUNIA AKHIRAT;SO202302119843
96639;081.007-23.17042539;080.007-23.17042539;302103871;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302124823
96640;081.007-23.17042540;080.007-23.17042540;302304525;2023-02-21 00:00:00.000;PS0908;PT BAROKAH DUNIA AKHIRAT;SO202302119848
96641;081.007-23.17042541;080.007-23.17042541;302304526;2023-02-21 00:00:00.000;PS0908;PT BAROKAH DUNIA AKHIRAT;SO202302119852
86016;081.002-23.98139101;080.002-23.98139101;302802397;2023-02-08 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302109372
86037;081.002-23.98139122;080.002-23.98139122;302802407;2023-02-07 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302109044
86059;081.002-23.98139144;080.002-23.98139144;302802418;2023-02-07 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302109054
91164;081.007-23.17037187;080.007-23.17037187;302803351;2023-02-13 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302113945
91187;081.007-23.17037210;080.007-23.17037210;302803358;2023-02-13 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302113894
91220;081.007-23.17037243;080.007-23.17037243;302803368;2023-02-13 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302114028
96186;081.007-23.17042097;080.007-23.17042097;302304384;2023-02-21 00:00:00.000;RQ0048;PT SALAD SEGAR LESTARI;SO202302120764
96187;081.007-23.17042098;080.007-23.17042098;302103834;2023-02-28 00:00:00.000;HT0073;PT. PERMATA BIRAMA SAKTI;SO202302128833
96189;081.007-23.17042100;080.007-23.17042100;302103835;2023-02-28 00:00:00.000;HT0073;PT. PERMATA BIRAMA SAKTI;SO202302128766
96190;081.007-23.17042101;080.007-23.17042101;302304386;2023-02-21 00:00:00.000;RQ0025;PT.SALAD SEGAR LESTARI;SO202302120766
96191;081.007-23.17042102;080.007-23.17042102;302103836;2023-02-28 00:00:00.000;HT0073;PT. PERMATA BIRAMA SAKTI;SO202302128768
96192;081.007-23.17042103;080.007-23.17042103;302304387;2023-02-21 00:00:00.000;RS1809;PT ARTISAN KULINER INDONESIA;SO202302120970
96193;081.007-23.17042104;080.007-23.17042104;302103837;2023-02-28 00:00:00.000;HT0067;PT. MUTIARA PERMATA MULIA;SO202302128845
96197;081.007-23.17042108;080.007-23.17042108;302103838;2023-02-28 00:00:00.000;HT0241;PT.KHARISMA JAWARA ABADI;SO202302128847
96217;081.007-23.17042127;080.007-23.17042127;302304396;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121215
96229;081.007-23.17042139;080.007-23.17042139;302304398;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121219
96231;081.007-23.17042141;080.007-23.17042141;302304399;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121221
96233;081.007-23.17042143;080.007-23.17042143;302304400;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121222
96235;081.007-23.17041877;080.007-23.17041877;302700244;2023-02-28 00:00:00.000;DS0247;PT TRIVALE MITRA NIAGA;SO202302128755
96240;081.007-23.17042149;080.007-23.17042149;302304402;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121239
96248;081.007-23.17042157;080.007-23.17042157;302304404;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121253
96250;081.007-23.17042158;080.007-23.17042158;302304405;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121254
96251;081.007-23.17042159;080.007-23.17042159;302304406;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121261
96252;081.007-23.17041877;080.007-23.17041877;302103839;2023-02-28 00:00:00.000;DS0247;PT TRIVALE MITRA NIAGA;SO202302128755
96253;081.007-23.17042160;080.007-23.17042160;302304407;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121263
96255;081.007-23.17042162;080.007-23.17042162;302304408;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302121280
96256;081.007-23.17042163;080.007-23.17042163;302304409;2023-02-21 00:00:00.000;MN0064;PT MCDELICA FOOD INDONESIA;SO202302121436
96257;081.007-23.17042164;080.007-23.17042164;302304410;2023-02-21 00:00:00.000;RQ0024;PT.SALAD SEGAR LESTARI;SO202302121484
96270;081.007-23.17042174;080.007-23.17042174;302205053;2023-02-21 00:00:00.000;RS2904;PT API GRAHA BOGA;SO202302122226
96272;081.007-23.17042176;080.007-23.17042176;302205055;2023-02-21 00:00:00.000;RS0879;PT. BERKAH WONG CILIK;SO202302122261
96274;081.007-23.17042178;080.007-23.17042178;302205056;2023-02-21 00:00:00.000;RS2074;PT MARGONDA RAYA BOGATAMA;SO202302122262
96275;081.007-23.17042179;080.007-23.17042179;302205057;2023-02-21 00:00:00.000;RS1943;PT NAFEEZA RADHYA BOGATAMA;SO202302122265
