docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
96371;081.007-23.17042274;080.007-23.17042274;302205089;2023-02-21 00:00:00.000;RC0011;PT ANUGRAH SEKAWAN MANDIRI;SO202302121278
96373;081.007-23.17042276;080.007-23.17042276;302304457;2023-02-20 00:00:00.000;RS1769;PT SARI FOOD LESTARI;SO202302117414
96375;081.007-23.17042278;080.007-23.17042278;302205090;2023-02-21 00:00:00.000;RS1241;PT. ASTOWA FOOD INDONESIA;SO202302121288
96377;081.007-23.17042280;080.007-23.17042280;302804551;2023-02-20 00:00:00.000;EC0016;ONLINE BLIBLI;SO202302121017
96378;081.007-23.17042281;080.007-23.17042281;302804552;2023-02-20 00:00:00.000;EC0016;ONLINE BLIBLI;SO202302121007
96379;081.007-23.17042282;080.007-23.17042282;302304459;2023-02-22 00:00:00.000;RS1965;PT PRIMA ISMAYA SEJAHTERA;SO202302122374
96380;081.007-23.17042283;080.007-23.17042283;302804553;2023-02-28 00:00:00.000;HT0071;PT. PACIFIC PLACE JAKARTA;SO202302128891
96382;081.007-23.17042285;080.007-23.17042285;302304461;2023-02-22 00:00:00.000;CT0037;PT. KITCHENETTE LESTARI;SO202302122354
96383;081.007-23.17042286;080.007-23.17042286;302304462;2023-02-22 00:00:00.000;CT0037;PT. KITCHENETTE LESTARI;SO202302121918
96384;081.007-23.17042287;080.007-23.17042287;302205091;2023-02-21 00:00:00.000;RS1241;PT. ASTOWA FOOD INDONESIA;SO202302121290
96387;081.007-23.17042290;080.007-23.17042290;302304464;2023-02-22 00:00:00.000;CT0037;PT. KITCHENETTE LESTARI;SO202302122353
96390;081.007-23.17042293;080.007-23.17042293;302304465;2023-02-22 00:00:00.000;CT0037;PT. KITCHENETTE LESTARI;SO202302122344
96393;081.007-23.17042295;080.007-23.17042295;302205094;2023-02-21 00:00:00.000;RS1780;PT CAHAYA PANGAN INDONESIA;SO202302121310
96394;081.007-23.17042296;080.007-23.17042296;302304467;2023-02-24 00:00:00.000;RS1521;PT PRIMA ISMAYA SEJAHTERA;SO202302124209
96398;081.007-23.17042300;080.007-23.17042300;302304469;2023-02-24 00:00:00.000;RS1521;PT PRIMA ISMAYA SEJAHTERA;SO202302124211
96399;081.007-23.17042301;080.007-23.17042301;302304470;2023-02-24 00:00:00.000;RS1965;PT PRIMA ISMAYA SEJAHTERA;SO202302123714
96403;081.007-23.17042305;080.007-23.17042305;302304471;2023-02-24 00:00:00.000;RS1965;PT PRIMA ISMAYA SEJAHTERA;SO202302123716
96404;081.007-23.17042306;080.007-23.17042306;302502357;2023-02-22 00:00:00.000;RS1966;PT PRIMA ISMAYA SEJAHTERA;SO202302120747
96405;081.007-23.17042307;080.007-23.17042307;302304472;2023-02-24 00:00:00.000;RS1965;PT PRIMA ISMAYA SEJAHTERA;SO202302124249
96411;081.007-23.17042313;080.007-23.17042313;302502359;2023-02-22 00:00:00.000;RS1966;PT PRIMA ISMAYA SEJAHTERA;SO202302120751
96413;081.007-23.17042315;080.007-23.17042315;302205099;2023-02-21 00:00:00.000;PS0869;PT. KOPI PUTRA BANGSA;SO202302121379
96414;081.007-23.17042316;080.007-23.17042316;302304476;2023-02-22 00:00:00.000;RS1521;PT PRIMA ISMAYA SEJAHTERA;SO202302122162
96415;081.007-23.17042317;080.007-23.17042317;302205100;2023-02-21 00:00:00.000;RS0790;RESKYANIWATI;SO202302121381
96418;081.007-23.17042320;080.007-23.17042320;302304477;2023-02-24 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302124703
96420;081.007-23.17042322;080.007-23.17042322;302304478;2023-02-24 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302124704
96422;081.007-23.17042324;080.007-23.17042324;302103843;2023-02-21 00:00:00.000;FC0020;FOC LL;SO202302122340
96745;081.007-23.17042646;080.007-23.17042646;302304563;2023-02-21 00:00:00.000;RS3041;PT TREASURASA CITA MAKMUR;SO202302121568
96746;081.007-23.17042647;080.007-23.17042647;302205121;2023-02-24 00:00:00.000;HT0079;PT. SARIARTHAMAS HOTEL INTERNATIONAL;SO202302125948
96748;081.007-23.17042649;080.007-23.17042649;302103890;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125125
96750;081.007-23.17042651;080.007-23.17042651;302205122;2023-02-24 00:00:00.000;HT0079;PT. SARIARTHAMAS HOTEL INTERNATIONAL;SO202302125950
96752;081.007-23.17042653;080.007-23.17042653;302502468;2023-02-24 00:00:00.000;RS1559;PT.CREATIVE FOOD;SO202302125590
96753;081.007-23.17042654;080.007-23.17042654;302103891;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125126
96754;081.007-23.17042655;080.007-23.17042655;302205123;2023-02-24 00:00:00.000;HT0079;PT. SARIARTHAMAS HOTEL INTERNATIONAL;SO202302125899
96755;081.007-23.17042656;080.007-23.17042656;302502469;2023-02-24 00:00:00.000;RS1559;PT.CREATIVE FOOD;SO202302125591
96756;081.007-23.17042657;080.007-23.17042657;302304566;2023-02-21 00:00:00.000;RS1942;PT INDAH MAMIN INDONESIA;SO202302121596
96757;081.007-23.17042658;080.007-23.17042658;302103892;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125127
96761;081.007-23.17042662;080.007-23.17042662;302103893;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302125135
96762;081.007-23.17042663;080.007-23.17042663;302304568;2023-02-21 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302121603
96766;081.007-23.17042667;080.007-23.17042667;302304570;2023-02-21 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302121607
96767;081.007-23.17042668;080.007-23.17042668;302205125;2023-02-24 00:00:00.000;HT0037;PT. GRAND INDONESIA;SO202302123377
96769;081.007-23.17042670;080.007-23.17042670;302103895;2023-02-24 00:00:00.000;FC0024;FOC NM;SO202302126145
96773;081.007-23.17042674;080.007-23.17042674;302502473;2023-02-24 00:00:00.000;RS3024;PT BERKAH ARUNA KULINER;SO202302125705
96776;081.007-23.17042677;080.007-23.17042677;302304574;2023-02-21 00:00:00.000;RS2212;PT SINAR RASA ABADI;SO202302121620
96777;081.007-23.17042678;080.007-23.17042678;302205126;2023-02-24 00:00:00.000;HT0022;PT. CENTRAL PESONA PALACE;SO202302123857
96778;081.007-23.17042679;080.007-23.17042679;302502474;2023-02-24 00:00:00.000;RS3024;PT BERKAH ARUNA KULINER;SO202302125723
96781;081.007-23.17042682;080.007-23.17042682;302502475;2023-02-24 00:00:00.000;RS3176;PT BERKAH ARUNA KULINER;SO202302125876
96783;081.007-23.17042684;080.007-23.17042684;302205127;2023-02-24 00:00:00.000;HT0022;PT. CENTRAL PESONA PALACE;SO202302123877
96784;081.007-23.17042685;080.007-23.17042685;302502476;2023-02-24 00:00:00.000;RS3176;PT BERKAH ARUNA KULINER;SO202302125878
96786;081.007-23.17042687;080.007-23.17042687;302205128;2023-02-24 00:00:00.000;HT0037;PT. GRAND INDONESIA;SO202302123968
96788;081.007-23.17042689;080.007-23.17042689;302103896;2023-02-21 00:00:00.000;FC0020;FOC LL;SO202302122293
96790;081.007-23.17042691;080.007-23.17042691;302205129;2023-02-24 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302124241
96791;081.007-23.17042692;080.007-23.17042692;302502478;2023-02-24 00:00:00.000;SM0163;PT DUTA CAHAYA SUKSES;SO202302125956
96792;081.007-23.17042693;080.007-23.17042693;302205130;2023-02-24 00:00:00.000;HT0262;PT PONDOK INDAH HOTEL;SO202302124242
96793;081.007-23.17042694;080.007-23.17042694;302103897;2023-02-24 00:00:00.000;FC0073;FOC RF;SO202302126144
96795;081.007-23.17042696;080.007-23.17042696;302502479;2023-02-24 00:00:00.000;PS0869;PT. KOPI PUTRA BANGSA;SO202302125968
96796;081.007-23.17042697;080.007-23.17042697;302205131;2023-02-24 00:00:00.000;HT0160;PT. VISI UTAMA INDONESIA;SO202302124591
96798;081.007-23.17042699;080.007-23.17042699;302502480;2023-02-24 00:00:00.000;RS1554;PT.MARCHE INTERNATIONAL;SO202302125972
96801;081.007-23.17042702;080.007-23.17042702;302502481;2023-02-24 00:00:00.000;RS2118;PT KOPI MITRA KREASI;SO202302125976
96802;081.007-23.17042703;080.007-23.17042703;302205132;2023-02-23 00:00:00.000;HT0194;PT. IMESCO SEJAHTERA UTAMA;SO202302124617
96803;081.007-23.17042704;080.007-23.17042704;302502482;2023-02-24 00:00:00.000;PS0869;PT. KOPI PUTRA BANGSA;SO202302125984
96810;081.007-23.17042711;080.007-23.17042711;302502484;2023-02-24 00:00:00.000;RS2074;PT MARGONDA RAYA BOGATAMA;SO202302126184
96811;081.007-23.17042712;080.007-23.17042712;302205135;2023-02-24 00:00:00.000;HT0162;PT. GRAHA PAKUBUWONO KUSUMA;SO202302124723
96140;081.007-23.17042051;080.007-23.17042051;302205047;2023-02-28 00:00:00.000;HT0116;PT. PERMADANI KHATULISTIWA NUSANTARA;SO202302128263
96142;081.007-23.17042053;080.007-23.17042053;302103819;2023-02-28 00:00:00.000;HT0193;PT. MULIA COLLIMAN INTERNATIONAL;SO202302128462
96147;081.007-23.17042058;080.007-23.17042058;302205048;2023-02-28 00:00:00.000;HT0116;PT. PERMADANI KHATULISTIWA NUSANTARA;SO202302128265
96149;081.007-23.17042060;080.007-23.17042060;302103822;2023-02-28 00:00:00.000;HT0073;PT. PERMATA BIRAMA SAKTI;SO202302128665
96151;081.007-23.17042062;080.007-23.17042062;302205049;2023-02-28 00:00:00.000;HT0131;PT. WISATA TRILOKA BUANA;SO202302128469
96153;081.007-23.17042064;080.007-23.17042064;302103823;2023-02-28 00:00:00.000;HT0073;PT. PERMATA BIRAMA SAKTI;SO202302128666
96155;081.007-23.17042066;080.007-23.17042066;302304376;2023-02-20 00:00:00.000;RS1965;PT PRIMA ISMAYA SEJAHTERA;SO202302120115
96157;081.007-23.17042068;080.007-23.17042068;302205050;2023-02-28 00:00:00.000;HT0131;PT. WISATA TRILOKA BUANA;SO202302128471
96160;081.007-23.17042071;080.007-23.17042071;302103825;2023-02-28 00:00:00.000;HT0184;PT. WISMA KARAWANG;SO202302128723
96161;081.007-23.17042072;080.007-23.17042072;302205051;2023-02-28 00:00:00.000;HT0146;PT. CIPUTRA ADIGRAHA;SO202302128420
96163;081.007-23.17042074;080.007-23.17042074;302103826;2023-02-28 00:00:00.000;HT0184;PT. WISMA KARAWANG;SO202302128771
96166;081.007-23.17042077;080.007-23.17042077;302304378;2023-02-21 00:00:00.000;RS1825;PT KULINER DIGITAL SEJAHTERA;SO202302118479
96171;081.007-23.17042082;080.007-23.17042082;302205052;2023-02-28 00:00:00.000;HT0146;PT. CIPUTRA ADIGRAHA;SO202302128426
96172;081.007-23.17042083;080.007-23.17042083;302304380;2023-02-21 00:00:00.000;RS2500;PT AVANI SIVA PRADANA;SO202302120116
96175;081.007-23.17042086;080.007-23.17042086;302103829;2023-02-28 00:00:00.000;HT0073;PT. PERMATA BIRAMA SAKTI;SO202302128767
96176;081.007-23.17042087;080.007-23.17042087;302304381;2023-02-21 00:00:00.000;RQ0024;PT.SALAD SEGAR LESTARI;SO202302120361
96178;081.007-23.17042089;080.007-23.17042089;302103830;2023-02-28 00:00:00.000;HT0071;PT. PACIFIC PLACE JAKARTA;SO202302128769
96180;081.007-23.17042091;080.007-23.17042091;302103831;2023-02-28 00:00:00.000;HT0362;PT BUKIT LENTERA SEJAHTERA;SO202302128770
96183;081.007-23.17042094;080.007-23.17042094;302103832;2023-02-28 00:00:00.000;UM0191;PT. INSAN ASIA NUSANTARA;SO202302128772
97204;081.007-23.17043093;080.007-23.17043093;302205246;2023-02-24 00:00:00.000;HT0075;PT. PLAZA INDONESIA REALTY TBK;SO202302126116
97206;081.007-23.17043095;080.007-23.17043095;302804691;2023-02-17 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302120154
97207;081.007-23.17043096;080.007-23.17043096;302205247;2023-02-24 00:00:00.000;HT0075;PT. PLAZA INDONESIA REALTY TBK;SO202302126134
97208;081.007-23.17043097;080.007-23.17043097;302804692;2023-02-17 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302120147
97209;081.007-23.17043098;080.007-23.17043098;302103925;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122248
97210;081.007-23.17043099;080.007-23.17043099;302205248;2023-02-24 00:00:00.000;HT0075;PT. PLAZA INDONESIA REALTY TBK;SO202302126135
97211;081.007-23.17043100;080.007-23.17043100;302103926;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122244
97212;081.007-23.17043101;080.007-23.17043101;302205249;2023-02-24 00:00:00.000;HT0075;PT. PLAZA INDONESIA REALTY TBK;SO202302126138
97213;081.007-23.17043102;080.007-23.17043102;302401227;2023-02-22 00:00:00.000;OT0029;ROBERTUS EDUARDUSRIWANG;SO202302123303
97215;081.007-23.17043104;080.007-23.17043104;302103927;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302122310
97216;081.007-23.17043105;080.007-23.17043105;302205251;2023-02-24 00:00:00.000;HT0056;PT. LIPPO KARAWACI TBK;SO202302126146
97217;081.007-23.17043106;080.007-23.17043106;302103928;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302120816
97219;081.007-23.17043108;080.007-23.17043108;302401228;2023-02-22 00:00:00.000;RS0193;PT. API METRA BOGA;SO202302123305
97220;081.007-23.17043109;080.007-23.17043109;302103929;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302120819
97221;081.007-23.17043110;080.007-23.17043110;302103930;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302120821
97222;081.007-23.17043111;080.007-23.17043111;302304669;2023-02-22 00:00:00.000;RS2255;PT BOGA MAKMUR MANDIRI;SO202302121594
96504;081.007-23.17042404;080.007-23.17042404;302502396;2023-02-23 00:00:00.000;RS0705;PT. NALEDA BOGA SERVICE;SO202302124606
96505;081.007-23.17042405;080.007-23.17042405;302502397;2023-02-23 00:00:00.000;RS0705;PT. NALEDA BOGA SERVICE;SO202302124607
96506;081.007-23.17042406;080.007-23.17042406;302502398;2023-02-23 00:00:00.000;RS2863;PT TITIK TEMU SARINAH;SO202302124630
96507;081.007-23.17042407;080.007-23.17042407;302502399;2023-02-23 00:00:00.000;RS2863;PT TITIK TEMU SARINAH;SO202302124631
96514;081.007-23.17042414;080.007-23.17042414;302502406;2023-02-23 00:00:00.000;RS2920;PT SINGKRIYA BOGA NUSANTARA;SO202302124653
96518;081.007-23.17042418;080.007-23.17042418;302502410;2023-02-23 00:00:00.000;RS1882;PT AKAR TERA BOGA;SO202302124663
96520;081.007-23.17042420;080.007-23.17042420;302502412;2023-02-23 00:00:00.000;RS2613;PT GUNA KERTA JAYA;SO202302124666
96525;081.007-23.17042425;080.007-23.17042425;302502417;2023-02-23 00:00:00.000;RS1882;PT AKAR TERA BOGA;SO202302124673
96526;081.007-23.17042426;080.007-23.17042426;302502418;2023-02-23 00:00:00.000;RS1882;PT AKAR TERA BOGA;SO202302124674
96527;081.007-23.17042427;080.007-23.17042427;302502419;2023-02-23 00:00:00.000;RS2551;PT. BERKAH ARUNA KULINER;SO202302124676
96529;081.007-23.17042429;080.007-23.17042429;302502420;2023-02-23 00:00:00.000;RS1589;PT.CREATIVE FOOD;SO202302124677
96531;081.007-23.17042431;080.007-23.17042431;302502421;2023-02-23 00:00:00.000;HT0097;PT. WIJAYA WISESA BAKTI;SO202302124680
96548;081.007-23.17042448;080.007-23.17042448;302502423;2023-02-23 00:00:00.000;EC0043;PT BANKDAGING INDONESIA GEMILANG;SO202302124711
96549;081.007-23.17042449;080.007-23.17042449;302502424;2023-02-23 00:00:00.000;RS2921;PT GONTRAN CHERRIER INDONESIA;SO202302124720
96555;081.007-23.17042455;080.007-23.17042455;302502427;2023-02-23 00:00:00.000;RS0369;PT. INTERCONTINENTAL CULINARY;SO202302124742
96557;081.007-23.17042457;080.007-23.17042457;302502428;2023-02-23 00:00:00.000;RS0879;PT. BERKAH WONG CILIK;SO202302124762
96559;081.007-23.17042459;080.007-23.17042459;302502429;2023-02-23 00:00:00.000;RS1943;PT NAFEEZA RADHYA BOGATAMA;SO202302124763
96560;081.007-23.17042460;080.007-23.17042460;302502430;2023-02-23 00:00:00.000;RS0879;PT. BERKAH WONG CILIK;SO202302124764
96562;081.007-23.17042462;080.007-23.17042462;302304502;2023-02-21 00:00:00.000;RS2591;PT SELAMAT MAKAN INDONESIA;SO202302121462
96563;081.007-23.17042463;080.007-23.17042463;302502431;2023-02-23 00:00:00.000;RS0879;PT. BERKAH WONG CILIK;SO202302124765
96565;081.007-23.17042465;080.007-23.17042465;302103860;2023-02-22 00:00:00.000;FC0055;FOC .DIREKSI INDOGUNA;SO202302122765
96566;081.007-23.17042466;080.007-23.17042466;302502432;2023-02-23 00:00:00.000;RS3021;PT HGP PURI BOGATAMA;SO202302124767
97332;081.007-23.17043227;080.007-23.17043227;302205282;2023-02-23 00:00:00.000;HT0258;PT MERLYNN PARK HOTEL;SO202302124090
97334;081.007-23.17043229;080.007-23.17043229;302205283;2023-02-23 00:00:00.000;HT0061;THE HERMITAGE HOTEL;SO202302124121
97335;081.007-23.17043230;080.007-23.17043230;302205284;2023-02-23 00:00:00.000;HT0061;THE HERMITAGE HOTEL;SO202302124122
97336;081.007-23.17043231;080.007-23.17043231;302401243;2023-02-22 00:00:00.000;RS0369;PT. INTERCONTINENTAL CULINARY;SO202302123478
97337;081.007-23.17043232;080.007-23.17043232;302205285;2023-02-23 00:00:00.000;HT0162;PT. GRAHA PAKUBUWONO KUSUMA;SO202302124222
97340;081.007-23.17043235;080.007-23.17043235;302205288;2023-02-23 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302124235
97341;081.007-23.17043236;080.007-23.17043236;302205289;2023-02-23 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302124236
97342;081.007-23.17043237;080.007-23.17043237;302205290;2023-02-23 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302124237
97344;081.007-23.17043239;080.007-23.17043239;302205291;2023-02-23 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302124238
97346;081.007-23.17043241;080.007-23.17043241;302304688;2023-02-22 00:00:00.000;RS1056;PT. BOGA MAKMUR WIJAYA;SO202302122138
97347;081.007-23.17043242;080.007-23.17043242;302205292;2023-02-23 00:00:00.000;HT0368;PT NURTIRTA NUSA LESTARI;SO202302124239
97349;081.007-23.17043243;080.007-23.17043243;302205293;2023-02-23 00:00:00.000;HT0141;PT. SENAYAN TRIKARYA SEMPANA;SO202302124240
97351;081.007-23.17043244;080.007-23.17043244;302401245;2023-02-22 00:00:00.000;RS0992;PT. KLABO INVESTAMA;SO202302123503
96011;081.007-23.17041922;080.007-23.17041922;302304352;2023-02-22 00:00:00.000;RS2927;PT EMA INTI MITRA;SO202302121176
96012;081.007-23.17041923;080.007-23.17041923;302103761;2023-02-13 00:00:00.000;RS0403;PT. KITCHENETTE LESTARI;SO202302113039
96013;081.007-23.17041924;080.007-23.17041924;302304353;2023-02-22 00:00:00.000;RS2927;PT EMA INTI MITRA;SO202302121177
96015;081.007-23.17041926;080.007-23.17041926;302103763;2023-02-13 00:00:00.000;PS0488;PT MAXX COFFEE PRIMA;SO202302110733
96017;081.007-23.17041928;080.007-23.17041928;302103765;2023-02-13 00:00:00.000;RS2049;PT PRIMA ISMAYA SEJAHTERA;SO202302112553
96020;081.007-23.17041931;080.007-23.17041931;302103767;2023-02-13 00:00:00.000;CT0037;PT. KITCHENETTE LESTARI;SO202302112498
96023;081.007-23.17041934;080.007-23.17041934;302103769;2023-02-13 00:00:00.000;RS2049;PT PRIMA ISMAYA SEJAHTERA;SO202302112550
96029;081.007-23.17041940;080.007-23.17041940;302103774;2023-02-13 00:00:00.000;RS0175;PT. AGUNG MANDIRI LESTARI;SO202302108596
96030;081.007-23.17041941;080.007-23.17041941;302103775;2023-02-13 00:00:00.000;RS2757;PT ANEKA BINTANG GUDANG;SO202302113581
96031;081.007-23.17041942;080.007-23.17041942;302103776;2023-02-14 00:00:00.000;RS1763;PT KITCHENETTE LESTARI;SO202302115005
96040;081.007-23.17041951;080.007-23.17041951;302304359;2023-02-22 00:00:00.000;RS0044;CV. DALLAS SENAYAN;SO202302123331
96041;081.007-23.17041952;080.007-23.17041952;302304360;2023-02-22 00:00:00.000;RS1370;PT. SELERA SUKSES PRATAMA;SO202302123366
96042;081.007-23.17041953;080.007-23.17041953;302103783;2023-02-15 00:00:00.000;RS0175;PT. AGUNG MANDIRI LESTARI;SO202302116104
96949;081.007-23.17042847;080.007-23.17042847;302103914;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302125419
96953;081.007-23.17042851;080.007-23.17042851;302103915;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302125362
96956;081.007-23.17042854;080.007-23.17042854;302103917;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124614
96958;081.007-23.17042856;080.007-23.17042856;302304626;2023-02-21 00:00:00.000;RS1128;PT. RASUNA SETIABUDI RAYA;SO202302121748
96959;081.007-23.17042857;080.007-23.17042857;302304627;2023-02-21 00:00:00.000;RS1128;PT. RASUNA SETIABUDI RAYA;SO202302121749
96961;081.007-23.17042859;080.007-23.17042859;302304629;2023-02-21 00:00:00.000;RS0705;PT. NALEDA BOGA SERVICE;SO202302121798
96962;081.007-23.17042860;080.007-23.17042860;302103918;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124916
96964;081.007-23.17042862;080.007-23.17042862;302103919;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124928
96969;081.007-23.17042867;080.007-23.17042867;302103923;2023-02-23 00:00:00.000;GR0011;CV PASAR TANI INDOGUNA;SO202302124598
96971;081.007-23.17042869;080.007-23.17042869;302401212;2023-02-22 00:00:00.000;MN0057;PT. BOGA OPTIMA SOSAN SUKSES;SO202302122725
96974;081.007-23.17042872;080.007-23.17042872;302401215;2023-02-22 00:00:00.000;RS3048;PT SUSHIYA SUKSES INDONESIYA;SO202302122955
96975;081.007-23.17042873;080.007-23.17042873;302401216;2023-02-22 00:00:00.000;RS3168;PT KITCHENETTE LESTARI;SO202302122957
96977;081.007-23.17042875;080.007-23.17042875;302304632;2023-02-28 00:00:00.000;DS0231;PT LANG LANG BUANA SEJAHTERA;SO202302129023
96985;081.007-23.17042883;080.007-23.17042883;302502500;2023-02-23 00:00:00.000;RS0193;PT. API METRA BOGA;SO202302121327
96986;081.007-23.17042884;080.007-23.17042884;302502501;2023-02-23 00:00:00.000;OT0112;MEAT & LIVESTOCK AUSTRALIA LIMITED;SO202302121328
96987;081.007-23.17042885;080.007-23.17042885;302401217;2023-02-22 00:00:00.000;RS2618;PT. OMA KITA SEMUA;SO202302122958
96988;081.007-23.17042886;080.007-23.17042886;302205164;2023-02-24 00:00:00.000;HT0129;PT. SWADHARMA KERRY SATYA;SO202302125598
96989;081.007-23.17042887;080.007-23.17042887;302502502;2023-02-23 00:00:00.000;RS0161;PT.INDOFOOD COMSA SUKSES MAKMUR;SO202302122371
96990;081.007-23.17042888;080.007-23.17042888;302205165;2023-02-24 00:00:00.000;HT0129;PT. SWADHARMA KERRY SATYA;SO202302125612
96991;081.007-23.17042889;080.007-23.17042889;302401218;2023-02-22 00:00:00.000;RS2618;PT. OMA KITA SEMUA;SO202302122959
96995;081.007-23.17042893;080.007-23.17042893;302304633;2023-02-27 00:00:00.000;DS0225;CV PANDAWA EXPRESS BEEF;SO202302125179
96996;081.007-23.17042894;080.007-23.17042894;302205168;2023-02-24 00:00:00.000;HT0108;PT. JAYA MANDARIN AGUNG;SO202302125621
96873;081.007-23.17042774;080.007-23.17042774;302304595;2023-02-21 00:00:00.000;RS2294;PT KOPI INTERNASIONAL INDONESIA;SO202302122180
96875;081.007-23.17042776;080.007-23.17042776;302401206;2023-02-22 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302121305
96877;081.007-23.17042778;080.007-23.17042778;302304596;2023-02-21 00:00:00.000;RS0733;PT. SURGA MAKMUR LANGGENG;SO202302122171
96879;081.007-23.17042780;080.007-23.17042780;302304597;2023-02-21 00:00:00.000;RS1657;PT.PRIMA GERAK KOTA;SO202302122227
96880;081.007-23.17042781;080.007-23.17042781;302205149;2023-02-24 00:00:00.000;HT0062;PT. MERLYNN PARK HOTEL;SO202302125322
96881;081.007-23.17042782;080.007-23.17042782;302502495;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125715
96883;081.007-23.17042783;080.007-23.17042783;302304598;2023-02-21 00:00:00.000;RS3160;PT CUOMO NIPPINDO PARADISO;SO202302122255
96885;081.007-23.17042785;080.007-23.17042785;302502496;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125079
96886;081.007-23.17042786;080.007-23.17042786;302205150;2023-02-24 00:00:00.000;HT0027;PT. GESIT SARANA PERKASA;SO202302125403
96888;081.007-23.17042788;080.007-23.17042788;302304599;2023-02-21 00:00:00.000;UM0396;BUDIJONO TANUDJAJA;SO202302122316
96889;081.007-23.17042789;080.007-23.17042789;302205151;2023-02-24 00:00:00.000;HT0027;PT. GESIT SARANA PERKASA;SO202302125406
96891;081.007-23.17042791;080.007-23.17042791;302304600;2023-02-21 00:00:00.000;RS3041;PT TREASURASA CITA MAKMUR;SO202302122369
96892;081.007-23.17042792;080.007-23.17042792;302205152;2023-02-24 00:00:00.000;HT0027;PT. GESIT SARANA PERKASA;SO202302125421
96894;081.007-23.17042794;080.007-23.17042794;302205153;2023-02-24 00:00:00.000;HT0027;PT. GESIT SARANA PERKASA;SO202302125428
96901;081.007-23.17042799;080.007-23.17042799;302205155;2023-02-24 00:00:00.000;HT0110;PT. LINGGA HAMPARAN KRIDA;SO202302125452
96905;081.007-23.17042803;080.007-23.17042803;302205157;2023-02-24 00:00:00.000;HT0148;PT. WAHANA RAYA;SO202302125454
96910;081.007-23.17042808;080.007-23.17042808;302205158;2023-02-24 00:00:00.000;HT0321;PT CILEGON PROPERTI SEJAHTERA;SO202302125455
96912;081.007-23.17042810;080.007-23.17042810;302205159;2023-02-24 00:00:00.000;HT0101;PT. CIPUTRA SENTRA;SO202302125457
96914;081.007-23.17042812;080.007-23.17042812;302205160;2023-02-24 00:00:00.000;HT0041;PT. HALIM BANGUN SARANA INDAH;SO202302125466
96917;081.007-23.17042815;080.007-23.17042815;302304601;2023-02-21 00:00:00.000;RS1885;PT EATLAH INDONESIA INTERNASIONAL;SO202302118474
96919;081.007-23.17042817;080.007-23.17042817;302304602;2023-02-21 00:00:00.000;RS0953;PT ABADI TUNGGAL LESTARI;SO202302119819
96920;081.007-23.17042818;080.007-23.17042818;302401208;2023-02-21 00:00:00.000;RS2756;PT MITRA SUKSES ARKATAMA;SO202302122329
96921;081.007-23.17042819;080.007-23.17042819;302304603;2023-02-21 00:00:00.000;PS0908;PT BAROKAH DUNIA AKHIRAT;SO202302119844
96923;081.007-23.17042821;080.007-23.17042821;302304604;2023-02-21 00:00:00.000;RS2215;PT SELECT FOOD & BEVERAGE GLOBAL;SO202302119871
96927;081.007-23.17042825;080.007-23.17042825;302401209;2023-02-22 00:00:00.000;RS2905;PT DENGAN HARAPAN PASTI;SO202302122417
96928;081.007-23.17042826;080.007-23.17042826;302304606;2023-02-21 00:00:00.000;RS1493;PT.INOVASI KULINER INDONESIA;SO202302120579
