sapBPCode;CreditLimit
UM0035;500000
UM0036;10000000
UM0037;5000000
UM0039;5000000
UM0041;10000000
UM0042;5000000
UM0038;10000000
DS0019;20000000
RS0201;300000
RS0202;300000
RS0203;5000000
RS0162;300000
RS0204;20000000
RS0205;50000000
RS0206;1000000
RS0207;1000000
RS0208;500000
RS0209;5000000
RS0210;300000
RS0211;5000000
RS0215;5000000
RS0212;5000000
RS0214;5000000
RS0213;300000
UM0043;10000000
FC0002;0
RS0216;2000000
RS0217;6000000
PC0054;1000000
RS0218;1000000
RS0219;1000000
RS0220;5000000
RS0221;5000000
RS0222;5000000
RS0223;5000000
RS0224;300000
RS0225;300000
RS0226;15000000
RS0227;1000000
RS0228;15000000
RS0229;5000000
RS0274;1000000
RS0231;5000000
RS0232;10000000
RS0230;300000
RS0233;0
HT0028;5000000
HT0029;500000
RS0234;15000000
RS0235;300000
RS0236;10000000
RS0257;5000000
RS0237;300000
RS0238;1000000
RS0239;5000000
RS0247;1000000
RS0266;5000000
RS0267;5000000
HT0040;10000000
RS0268;300000
RS0269;10000000
RS0270;5000000
RS0271;5000000
RS0272;300000
RS0273;5000000
RS0275;5000000
RS0254;300000
RS0253;1000000
RS0276;100000000
RS0277;3000000
RS0278;1000000
RS0279;300000
HT0041;1000000
RS0369;1000000
RS0280;1000000
HT0042;10000000
HT0043;100000000
HT0044;0
RS0281;1000000
RS0282;5000000
RS0283;1000000
RS0262;5000000
RS0255;5000000
RS0284;20000000
HT0022;300000
HT0045;2000000
RS0285;3000000
RS0286;10000000
HT0008;5000000
PC0061;1000000
RS0248;500000
RS0256;1000000
RS0287;0
CT0009;5000000
CT0005;5000000
RS0288;3000000
PC0062;1000000
PC0063;2000000
RS0289;10000000
RS0290;1000000
RS0291;5000000
RS0293;1000000
RS0294;10000000
RS0295;1000000
DS0022;2000000
PC0064;1000000
RS0296;5000000
RS0297;1000000
RS0300;30000000
FC0004;0
RS0298;5000000
RS0299;5000000
UM0047;5000000
RS0337;30000000
RS0302;5000000
PC0065;1000000
FC0005;50000000
RS0303;50000000
RS0059;25000000
RS0304;25000000
RS0305;25000000
RS0306;5000000
HT0031;5000000
PC0056;3000000
RS0056;500000
RS0057;2000000
RS0058;300000
RS0307;5000000
HT0038;500000
RS0308;5000000
HT0046;30000000
RS0309;5000000
RS0310;100000000
RS0311;10000000
PC0066;5000000
RS0312;1000000
RS0258;5000000
RS0313;20000000
RS0314;1000000
RS0315;3000000
RS0265;1000000
RS0316;5000000
RS0317;2000000
RS0318;1000000
RS0319;5000000
UM0048;2000000
RS0320;5000000
DS0023;15000000
RS0321;1000000
RS0322;2000000
CT0006;5000000
DS0014;5000000
RS0323;3500000
SM0001;10000000
UM0049;1000000
RS0325;500000
RS0324;5000000
RS0326;3000000
HT0047;150000000
HT0048;500000000
HT0035;1000000
RS0370;5000000
RS0327;1000000
RS0328;5000000
RS0329;50000000
RS0330;5000000
RS0245;1000000
PC0059;10000000
HT0049;50000000
RS0331;1000000
RS0332;1000000
RS0371;2000000
HT0052;50000000
HT0050;300000000
RS0053;2000000
UM0050;5000000
RS0333;1000000
RS0335;1000000
RS0004;1000000
RS0060;5000000
RS0336;10000000
RS0193;1000000
DS0021;1000000
DS0020;1000000
PC0067;10000000
RS0372;5000000
CT0007;3000000
CT0008;10000000
UM0051;1000000
DS0024;20000000
DS0025;300000
DS0026;300000
RS0338;5000000
PC0068;5000000
RS0340;1000000
RS0341;1000000
RS0342;1000000
RS0373;1000000
RS0343;5000000
RS0344;1000000
RS0339;300000
RS0015;500000
RS0036;5000000
RS0346;1000000
RS0347;5000000
RS0349;5000000
RS0350;500000
RS0348;50000000
RS0351;5000000
RS0352;5000000
RS0353;5000000
RS0354;5000000
HT0001;2000000
RS0355;5000000
RS0356;15000000
RS0035;50000000
RS0357;3000000
RS0358;10000000
RS0359;5000000
RS0241;1000000
DS0027;1000000
RS0360;500000
RS0361;5000000
RS0363;1000000
PC0069;5000000
HT0051;1000000
