sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
RS0256;102.24;SARI BUNDO PADANG;SARI BUNDO PADANG;Restaurant;77;1000000;0;4
RS0287;113.003;SARI BUNDO PADANG (FoC);SARI BUNDO PADANG (FoC);Restaurant;77;0;7;4
PC0062;114.075;SATU TUJUAN KOPI;SATU TUJUAN KOPI;Coffee Shop;77;1000000;0;4
RS0298;102.249;SHAWAR MANIS;SHAWAR MANIS;Restaurant;77;5000000;7;4
RS0299;102.26;SIMHAE;SIMHAE;Restaurant;77;5000000;7;4
RS0308;102.182;SOLO ITALIANO Restaurant;SOLO ITALIANO Restaurant;Restaurant;77;5000000;7;4
RS0309;102.251;SOLO PLUFFY;SOLO PLUFFY;Restaurant;77;5000000;7;4
RS0311;102.258;STAR STEAK BOYOLALI;STAR STEAK BOYOLALI;Restaurant;77;10000000;30;4
DS0014;106.028;SUNRISE MEATSHOP & SUPLIYER;SUNRISE MEATSHOP & SUPLIYER;Distributor;77;5000000;14;4
UM0050;115.056;THOMAS;THOMAS;Umum;77;5000000;0;4
RS0333;102.28;TIMLO SOLO;TIMLO SOLO;Restaurant;77;1000000;0;4
RS0060;102.273;TJEMAL TJEMIL;TJEMAL TJEMIL;Restaurant;77;5000000;0;4
RS0336;102.272;TOKIO BOWL;TOKIO BOWL;Restaurant;77;10000000;7;4
RS0193;102.278;TOKI-TOKI;TOKI-TOKI;Restaurant;77;1000000;0;4
RS0351;114.089;WHEELBUZ CAFE;WHEELBUZ CAFE;Restaurant;77;5000000;0;4
RS0352;102.291;WHITE PAAL Restaurant;WHITE PAAL Restaurant;Restaurant;77;5000000;0;4
RS0353;102.302;WIDORI KARTASURA;WIDORI KARTASURA;Restaurant;77;5000000;0;4
RS0354;101.054;WISATA NIAGA HOTEL;WISATA NIAGA HOTEL;Restaurant;77;5000000;0;4
HT0001;102.293;WISMA BOGA REST;WISMA BOGA REST;Hotel;77;2000000;0;4
RS0111;102.013;HOB (EX. SCORE BAR);HOB (EX. SCORE BAR);Restaurant;77;50000000;7;6
RS0149;102.017;LAVA BAR AND KITCHEN (CV. DASA JAYA PERKASA);CV. DASA JAYA PERKASA;Restaurant;77;10000000;7;6
RS0318;114.076;SUASIKO COFFE;SUASIKO COFFE;Restaurant;77;1000000;7;6
RS0335;102.301;TIRAI BAMBOO;TIRAI BAMBOO;Restaurant;77;1000000;30;6
RS0051;102.086;DAINTY KITCHEN;DAINTY KITCHEN;Restaurant;77;5000000;14;7
RS0367;102.106;GARDEN RESTO;GARDEN RESTO;Restaurant;77;5000000;14;7
