sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
UM0019;115.03;IBU UTAMI;IBU UTAMI;Umum;79;1000000;35;4
UM0044;115.028;IBU VEVE;IBU VEVE;Umum;79;1000000;0;4
PC0034;115.01;IELC (INTERACTIVE ENGLISH LANGUAGE CENTER);IELC (INTERACTIVE ENGLISH LANGUAGE CENTER);Coffee Shop;79;2000000;0;4
DS0010;106.014;INDOCOW MEATSHOP;INDOCOW MEATSHOP;Distributor;79;10000000;0;4
RS0119;102.124;ISTANBUL KEBAB TURKI;ISTANBUL KEBAB TURKI;Restaurant;79;1000000;0;4
RS0126;101.072;JEJU AYCE;JEJU AYCE;Restaurant;79;1000000;0;4
PC0070;114.037;KAMAYANGAN COFFE;KAMAYANGAN COFFE;Coffee Shop;79;5000000;30;4
RS0374;102.13;KARONSSIH RESTO;KARONSSIH RESTO;Restaurant;79;5000000;0;4
RS0134;102.139;KEBAB TURKI;KEBAB TURKI;Restaurant;79;1000000;14;4
PC0041;114.032;KEDAI KOPI SOLO;KEDAI KOPI SOLO;Coffee Shop;79;300000;0;4
UM0023;115.034;KERIPIK PARU HJ. GANIK;KERIPIK PARU HJ. GANIK;Umum;79;5000000;0;4
PC0024;114.047;KHAS COFFE;KHAS COFFE;Coffee Shop;79;1000000;28;4
PC0043;114.04;KOPI LITE;KOPI LITE;Coffee Shop;79;1200000;0;4
CT0001;104.002;KUSUMA CATERING;KUSUMA CATERING;Catering;79;5000000;7;4
HT0023;101.027;LAMPION HOTEL (PT WISMA BINALOKA);PT. WISMA BINALOKA;Hotel;79;1000000;14;4
PC0051;114.052;LAWU BREAK COFFEE;LAWU BREAK COFFEE;Coffee Shop;79;1000000;14;4
RS0154;102.143;LILY BISTRO;LILY BISTRO;Restaurant;79;300000;0;4
PC0052;102.163;MAKAN DAGING;MAKAN DAGING;Coffee Shop;79;5000000;0;4
RS0160;102.164;MASTER CHEESE PIZZA;MASTER CHEESE PIZZA;Restaurant;79;10000000;28;4
UM0030;115.012;MBOK MARNI;MBOK MARNI;Umum;79;5000000;0;4
RS0173;102.161;MOM PIZZA;MOM PIZZA;Restaurant;79;1000000;30;4
UM0033;115.037;MR. GEORGE;MR. GEORGE;Umum;79;300000;14;4
RS0175;114.061;NAMU COFFEE & EATERY SOLO;NAMU COFFEE & EATERY SOLO;Restaurant;79;1000000;0;4
RS0180;106.017;NAYARA BEEF AND FROZEN FOOD;NAYARA BEEF AND FROZEN FOOD;Restaurant;79;5000000;7;4
CT0004;104.004;NIKMAT RASA CATERING;NIKMAT RASA CATERING;Catering;79;1000000;7;4
PC0053;114.062;NYAWIJI COFFE KLATEN;NYAWIJI COFFE KLATEN;Coffee Shop;79;1000000;0;4
DS0017;102.316;OLEH OLEH BU MARGONO;OLEH OLEH BU MARGONO;Distributor;79;5000000;14;4
RS0196;102.325;O'PALLET;O'PALLET;Restaurant;79;5000000;0;4
RS0188;102.184;OVEN FRIED CHICKEN;OVEN FRIED CHICKEN;Restaurant;79;2000000;30;4
UM0037;102.208;PAK FENDY;PAK FENDY;Umum;79;5000000;0;4
DS0019;115.006;PAK SETIAWAN;PAK SETIAWAN;Distributor;79;20000000;0;4
RS0203;102.338;PALOMINA KITCHEN AND BAR;PALOMINA KITCHEN AND BAR;Restaurant;79;5000000;0;4
RS0206;114.071;PAPAT COFFE;PAPAT COFFE;Restaurant;79;1000000;0;4
RS0214;114.067;PERIDOT COFFE & TEA;PERIDOT COFFE & TEA;Restaurant;79;5000000;0;4
UM0043;110.001;PERSONAL;PERSONAL;Umum;79;10000000;30;4
FC0002;110.005;PERSONAL (FoC);PERSONAL (FoC);FC;79;0;14;4
RS0222;102.202;PIZZA RUMAH ROTI;PIZZA RUMAH ROTI;Restaurant;79;5000000;7;4
RS0228;102.2;PLATE O SOLO (PIPPELINE);PLATE O SOLO (PIPPELINE);Restaurant;79;15000000;0;4
RS0232;101.04;PONDOK TINGGAL HOTEL;PONDOK TINGGAL HOTEL;Restaurant;79;10000000;7;4
RS0269;102.224;RAMAYANA RESTAURANT;RAMAYANA RESTAURANT;Restaurant;79;10000000;7;4
RS0275;102.226;REPHAS BAKERY;REPHAS BAKERY;Restaurant;79;5000000;0;4
RS0277;109.001;RILASSATI KITCHEN AND PASTRY (none);RILASSATI KITCHEN AND PASTRY (none);Restaurant;79;3000000;7;4
HT0041;101.042;ROEMAH KOE HOTEL;ROEMAH KOE HOTEL;Hotel;79;1000000;30;4
RS0282;102.223;RUMAH MAKAN WONOSARI;RUMAH MAKAN WONOSARI;Restaurant;79;5000000;7;4
HT0022;101.044;SAHID KUSUMA HOTEL (PT. KUSUMA SAHID);PT. KUSUMA SAHID;Hotel;79;300000;7;4
HT0008;101.048;SALA VIEW HOTEL (PT. PANCA WIBAWA UTAMA);PT. PANCA WIBAWA UTAMA;Hotel;79;5000000;7;4
RS0288;110.003;SAS;SAS;Restaurant;79;3000000;30;4
RS0289;102.243;SCORE BAR & LOUNGE;SCORE BAR & LOUNGE;Restaurant;79;10000000;0;4
RS0301;102.322;SOCIAL KITCHEN RESTAURANT (none);SOCIAL KITCHEN RESTAURANT (none);Restaurant;79;5000000;30;4
FC0005;102.335;SOGA (FoC);SOGA (FoC);FC;79;50000000;0;4
RS0305;102.238;SOLARIA SOLO SQUARE;SOLARIA SOLO SQUARE;Restaurant;79;25000000;0;4
RS0056;102.25;SOLO BAKERY;SOLO BAKERY;Restaurant;79;500000;28;4
RS0307;106.005;SOLO FROZEN;SOLO FROZEN;Restaurant;79;5000000;30;4
RS0312;102.255;STEAK N CHEESE;STEAK N CHEESE;Restaurant;79;1000000;14;4
RS0265;115.052;STP SAHID;STP SAHID;Restaurant;79;1000000;0;4
UM0048;102.157;SUGIARTO GUNAWAN;SUGIARTO GUNAWAN;Umum;79;2000000;0;4
DS0023;106.02;SUMBER JADI JAYA;SUMBER JADI JAYA;Distributor;79;15000000;14;4
RS0323;102.254;SUPER CHICKEN SGM;SUPER CHICKEN SGM;Restaurant;79;3500000;7;4
RS0370;102.268;TAKIGAWA HARTONO MALL;TAKIGAWA HARTONO MALL;Restaurant;79;5000000;30;4
RS0330;102.271;TEKO RESTO;TEKO RESTO;Restaurant;79;5000000;0;4
RS0355;102.299;Xin-Xin Restaurant;Xin-Xin Restaurant;Restaurant;79;5000000;0;4
PC0017;114.069;CATNIPHORA;CATNIPHORA;Coffee Shop;79;5000000;7;6
RS0151;102.149;LEVEL ONE SOLO;LEVEL ONE SOLO;Restaurant;79;20000000;7;6
RS0157;102.159;MADAM XIANG;MADAM XIANG;Restaurant;79;5000000;7;6
RS0221;102.205;PIZZA RUMAH ROTI;PIZZA RUMAH ROTI;Restaurant;79;5000000;7;6
RS0313;102.337;STEAK TENDA SOLO;STEAK TENDA SOLO;Restaurant;79;20000000;7;6
PC0059;114.082;TFP COFFEE;TFP COFFEE;Coffee Shop;79;10000000;30;6
RS0075;102.127;D'JAVA RESTO;D'JAVA RESTO;Restaurant;79;300000;30;7
RS0100;102.109;GRANDIS RESTO (CV. JATI MAKMUR);CV. JATI MAKMUR;Restaurant;79;10000000;14;7
PC0029;101.065;HEIKA KARANGANYAR;HEIKA KARANGANYAR;Coffee Shop;79;2000000;14;7
PC0033;114.026;HELLO SOLO CAFE;HELLO SOLO CAFE;Coffee Shop;79;200000;14;7
RS0139;102.137;KIMUKATSU (PT. BOGA MAKMUR DINASTI);PT. BOGA MAKMUR DINASTI;Restaurant;79;10000000;14;7
RS0166;102.327;MENUR RESTO;MENUR RESTO;Restaurant;79;5000000;14;7
RS0250;102.154;MILKY MILK SOLO;MILKY MILK SOLO;Restaurant;79;5000000;14;7
RS0276;102.231;RILASSATI KITCHEN AND PASTRY (NIAGARA ANEKA KREASI);RILASSATI KITCHEN AND PASTRY (NIAGARA ANEKA KREASI);Restaurant;79;100000000;14;7
RS0337;102.025;SOCIAL KITCHEN RESTAURANT;SOCIAL KITCHEN RESTAURANT;Restaurant;79;30000000;30;7
RS0303;102.237;SOGA (PT. TRI KUSUMA SANTOSA);PT. TRI KUSUMA SANTOSA;Restaurant;79;50000000;30;7
RS0310;102.21;SOLO STEAK (PAK DIDIK);SOLO STEAK (PAK DIDIK);Restaurant;79;100000000;30;7
RS0329;102.281;TEAK YARD (CV. JATI PERKASA);CV. JATI PERKASA;Restaurant;79;50000000;14;7
RS0356;102.029;XO DIMSUM;XO DIMSUM;Restaurant;79;15000000;30;7
HT0039;101.01;ALLURA AZANA RESORT (PT. UNGGUL RESIR CEMERLANG);PT. UNGGUL RESIR CEMERLANG;Hotel;79;30000000;30;9
HT0003;101.004;ASTON HOTEL SOLO (PT. DUTA MITRA PROPERTINDO);PT. DUTA MITRA PROPERTINDO;Hotel;79;30000000;30;9
HT0012;101.075;FAVE HOTEL SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);PT. DELTA MERLIN DUNIA PROPERTI;Hotel;79;5000000;30;9
RS0261;102.306;FRUIT STORY;FRUIT STORY;Restaurant;79;5000000;30;9
PC0028;114.025;GEDHEIN KOPI;GEDHEIN KOPI;Coffee Shop;79;1000000;30;9
RS0244;102.107;GRILL US;GRILL US;Restaurant;79;5000000;30;9
PC0058;114.059;NGOPI SERIUS;NGOPI SERIUS;Coffee Shop;79;5000000;30;9
RS0234;102.02;PRINGSEWU RESTAURANT;PRINGSEWU RESTAURANT;Restaurant;79;15000000;28;9
RS0257;115.046;PUTRI;PUTRI;Restaurant;79;5000000;28;9
RS0245;102.279;TEKSAS RESTO TAWANGMANGU;TEKSAS RESTO TAWANGMANGU;Restaurant;79;1000000;30;9
HT0049;101.007;THE ADHIWANGSA HOTEL SOLO;THE ADHIWANGSA HOTEL SOLO;Hotel;79;50000000;30;9
RS0002;102.031;1863 RESTAURANT & LOUNGE;1863 RESTAURANT & LOUNGE;Restaurant;80;10000000;0;4
RS0005;102.041;AFTER SIX RESTAURANT;AFTER SIX RESTAURANT;Restaurant;80;5000000;0;4
RS0006;102.042;AGENK RESTAURANT;AGENK RESTAURANT;Restaurant;80;5000000;0;4
PC0002;114.001;AJAR NGOPI;AJAR NGOPI;Coffee Shop;80;1000000;30;4
RS0012;102.039;ALL IN DINE;ALL IN DINE;Restaurant;80;5000000;7;4
RS0014;102.037;AMY BAKERY;AMY BAKERY;Restaurant;80;5000000;7;4
RS0365;102.04;A PIZZA;A PIZZA;Restaurant;80;2000000;30;4
HT0020;101.008;AZHIMA HOTEL BANDARA;AZHIMA HOTEL BANDARA;Hotel;80;5000000;28;4
HT0005;101.003;AZIZA HOTEL;AZIZA HOTEL;Hotel;80;10000000;14;4
RS0020;102.05;BAKE IT;BAKE IT;Restaurant;80;5000000;0;4
DS0002;106.007;BANDAR AA;BANDAR AA;Distributor;80;300000;14;4
UM0002;102.333;BAPAK ALEX;BAPAK ALEX;Umum;80;1000000;0;4
UM0021;115.008;BAPAK SIGIT;BAPAK SIGIT;Umum;80;5000000;0;4
PC0007;114.011;BENOWO KOPI;BENOWO KOPI;Coffee Shop;80;1000000;0;4
RS0027;115.017;BLI KADEK SOLO;BLI KADEK SOLO;Restaurant;80;100000;28;4
RS0144;102.059;BOSSGRILL AND BBQ;BOSSGRILL AND BBQ;Restaurant;80;1000000;0;4
UM0007;106.024;BU MARISA (MARISA FINISHING);BU MARISA (MARISA FINISHING);Umum;80;5000000;0;4
RS0040;102.071;CHAO PHRAYA (CV. AMAGI RASA SURAKARTA);CV. AMAGI RASA SURAKARTA;Restaurant;80;1000000;0;4
PC0019;114.016;COKOLADE;COKOLADE;Coffee Shop;80;1000000;7;4
RS0047;102.065;CUPID;CUPID;Restaurant;80;5000000;7;4
RS0068;102.083;DAPUR CAKU-CAKU;DAPUR CAKU-CAKU;Restaurant;80;5000000;0;4
RS0063;102.061;D'COLONELS;D'COLONELS;Restaurant;80;0;0;4
RS0073;102.073;DE SOLO;DE SOLO;Restaurant;80;300000;0;4
RS0076;102.078;D'LIVING RESTAURANT;D'LIVING RESTAURANT;Restaurant;80;5000000;0;4
RS0082;102.289;EATERNITY RESTAURANT;EATERNITY RESTAURANT;Restaurant;80;2000000;7;4
RS0085;102.093;EMPEROR PLACE CHINESE RESTAURANT;EMPEROR PLACE CHINESE RESTAURANT;Restaurant;80;15000000;0;4
RS0090;114.019;EXCELCO THE PARK SOLO BARU;EXCELCO THE PARK SOLO BARU;Restaurant;80;2000000;0;4
PC0026;114.022;FOTO KOPI;FOTO KOPI;Coffee Shop;80;1000000;0;4
RS0099;102.108;GEROBAK PASTA;GEROBAK PASTA;Restaurant;80;1000000;0;4
HT0016;101.021;GRAND LAGUNA;GRAND LAGUNA;Hotel;80;5000000;0;4
RS0106;102.113;HALLO SOLO RESTO;HALLO SOLO RESTO;Restaurant;80;2000000;7;4
RS0115;102.114;HOUSE OF BEER;HOUSE OF BEER;Restaurant;80;5000000;7;4
UM0013;115.047;IBU CITRA/PAK ALBERD;IBU CITRA/PAK ALBERD;Umum;80;2000000;7;4
UM0010;115.032;IBU INDAR BUDI PRASETYA;IBU INDAR BUDI PRASETYA;Umum;80;1000000;0;4
UM0045;115.055;IBU YENNI;IBU YENNI;Umum;80;300000;0;4
RS0123;102.121;ITALIAN DELIGHT PIZZA;ITALIAN DELIGHT PIZZA;Restaurant;80;5000000;0;4
RS0129;113.004;JEJU AYCE (FoC);JEJU AYCE (FoC);Restaurant;80;0;30;4
RS0131;102.141;KAMI BURGER;KAMI BURGER;Restaurant;80;500000;0;4
UM0022;115.035;KARYAWAN INDOGUNA;KARYAWAN INDOGUNA;Karyawan;80;1500000;0;4
RS0135;102.136;KEDAI ABDULLAH;KEDAI ABDULLAH;Restaurant;80;500000;0;4
RS0137;102.131;KEDAI PASTA D'PUTU BUMBUNG;KEDAI PASTA D'PUTU BUMBUNG;Restaurant;80;5000000;7;4
UM0024;115.025;KERIPIK PARU PAK DARMOJO;KERIPIK PARU PAK DARMOJO;Umum;80;300000;14;4
RS0140;102.14;KLASSIKO BAKERY (YUDHISTIRA);KLASSIKO BAKERY (YUDHISTIRA);Restaurant;80;1000000;7;4
CT0002;102.332;KUSUMA SARI;KUSUMA SARI;Catering;80;5000000;7;4
RS0148;102.144;LARISKA RESTO;LARISKA RESTO;Restaurant;80;0;7;4
RS0150;106.009;LAZY COW;LAZY COW;Restaurant;80;15000000;0;4
RS0161;102.156;MAZROONEY CORNER;MAZROONEY CORNER;Restaurant;80;10000000;30;4
DS0016;106.01;MEAT & GROCERIES SOLO;MEAT & GROCERIES SOLO;Distributor;80;300000;0;4
HT0026;101.029;MOVE MEGALAND HOTEL (PT. PAPAN REJEKI LESTARI);PT. PAPAN REJEKI LESTARI;Hotel;80;30000000;7;4
RS0174;115.014;MUMU;MUMU;Restaurant;80;5000000;0;4
RS0177;115.04;NANCY;NANCY;Restaurant;80;300000;0;4
RS0251;102.169;NIAGARA SUSHI HARTONO MALL;NIAGARA SUSHI HARTONO MALL;Restaurant;80;3000000;14;4
RS0183;102.171;NICE SPICE;NICE SPICE;Restaurant;80;10000000;0;4
RS0185;102.18;OBONK SOLO BARU;OBONK SOLO BARU;Restaurant;80;1000000;14;4
RS0190;114.063;OLREST CAFE;OLREST CAFE;Restaurant;80;5000000;0;4
RS0197;102.324;O'PALLET CAFE COFFE N CULINARY;O'PALLET CAFE COFFE N CULINARY;Restaurant;80;5000000;7;4
RS0031;102.216;PACIFIC SOLO;PACIFIC SOLO;Restaurant;80;5000000;14;4
UM0039;115.043;PAK HARI;PAK HARI;Umum;80;5000000;0;4
RS0162;102.192;PANDAN LEAF BAKERY CAKE;PANDAN LEAF BAKERY CAKE;Restaurant;80;300000;14;4
RS0205;102.188;PAPARONS PIZZA SOLO;PAPARONS PIZZA SOLO;Restaurant;80;50000000;0;4
RS0213;102.191;PERMATA HIJAU RESTO;PERMATA HIJAU RESTO;Restaurant;80;300000;0;4
RS0216;102.018;PETI MAS;PETI MAS;Restaurant;80;2000000;7;4
RS0218;114.092;PIORES;PIORES;Restaurant;80;1000000;30;4
RS0223;102.207;PIZZA SLICE KLATEN;PIZZA SLICE KLATEN;Restaurant;80;5000000;7;4
RS0224;114.065;PLANET ESPREZZO;PLANET ESPREZZO;Restaurant;80;300000;0;4
RS0230;102.19;PORTOTINO STEAK;PORTOTINO STEAK;Restaurant;80;300000;0;4
RS0235;114.064;PRIYAI CAFE;PRIYAI CAFE;Restaurant;80;300000;0;4
RS0270;102.233;REBEL GOFOOD JEBRES (PT. REBEL GOFOOD INDONESIA);PT. REBEL GOFOOD INDONESIA;Restaurant;80;5000000;0;4
RS0369;114.073;ROTAN CAFE (ROTI SOELTAN);ROTAN CAFE (ROTI SOELTAN);Restaurant;80;1000000;30;4
RS0283;102.252;SACHI CAKE (NOVITA);SACHI CAKE (NOVITA);Restaurant;80;1000000;0;4
HT0045;115.007;SAHID RAYA (PT. SAHID & CO);PT. SAHID & CO;Hotel;80;2000000;0;4
PC0061;114.077;SANDARAN KOPI;SANDARAN KOPI;Coffee Shop;80;1000000;30;4
CT0005;102.001;SARI ROSO;SARI ROSO;Catering;80;5000000;28;4
RS0290;102.256;SECRET GARDEN SOLO;SECRET GARDEN SOLO;Restaurant;80;1000000;0;4
UM0047;115.051;SMP-SMA INSAN CENDEKIA;SMP-SMA INSAN CENDEKIA;Umum;80;5000000;0;4
RS0057;102.242;SOLO BISTRO;SOLO BISTRO;Restaurant;80;2000000;28;4
RS0316;102.028;STREET FOOD PG.CL MADU;STREET FOOD PG.CL MADU;Restaurant;80;5000000;0;4
RS0320;102.241;SUGOI TEI;SUGOI TEI;Restaurant;80;5000000;0;4
CT0006;104.006;SUNNY CATERING;SUNNY CATERING;Catering;80;5000000;0;4
SM0001;106.019;SUPERINDO GUMPANG SUKOHARJO (PT. LION SUPER INDO);PT. LION SUPER INDO;Supermarket;80;10000000;14;4
RS0325;106.011;SUSHI WAOW MOJOSONGO;SUSHI WAOW MOJOSONGO;Restaurant;80;500000;7;4
RS0324;114.005;SUWASANA COFFE;SUWASANA COFFE;Restaurant;80;5000000;14;4
RS0326;102.318;SWISS BAKERY SEMARANG;SWISS BAKERY SEMARANG;Restaurant;80;3000000;0;4
RS0327;114.083;TAMRIN COFFE;TAMRIN COFFE;Restaurant;80;1000000;0;4
RS0373;114.085;WAFFLE AND CO';WAFFLE AND CO';Restaurant;80;1000000;30;4
RS0343;102.294;WAKO CHICKEN;WAKO CHICKEN;Restaurant;80;5000000;14;4
RS0344;102.297;WAROENK GEAL GEOL;WAROENK GEAL GEOL;Restaurant;80;1000000;0;4
RS0339;102.287;WARUNG 310;WARUNG 310;Restaurant;80;300000;14;4
RS0345;102.032;WARUNG 310;WARUNG 310;Restaurant;80;300000;14;4
RS0015;102.292;WARUNG DEPAN;WARUNG DEPAN;Restaurant;80;500000;7;4
RS0036;102.296;WARUNG JAGO;WARUNG JAGO;Restaurant;80;5000000;0;4
RS0346;115.002;WARUNG MAKAN BU DAR;WARUNG MAKAN BU DAR;Restaurant;80;1000000;0;4
RS0347;102.288;WARUNG ORANGE SOLO;WARUNG ORANGE SOLO;Restaurant;80;5000000;7;4
RS0349;102.286;WARUNG STEAK SOLO;WARUNG STEAK SOLO;Restaurant;80;5000000;0;4
RS0350;102.295;WARUNG UP SIZE;WARUNG UP SIZE;Restaurant;80;500000;0;4
RS0359;114.086;YELLOW TRUCK;YELLOW TRUCK;Restaurant;80;5000000;0;4
DS0018;115.031;IBU FONNY;IBU FONNY;Distributor;80;15000000;7;6
RS0120;102.125;INSHOKU IKI RESTO;INSHOKU IKI RESTO;Restaurant;80;20000000;14;6
RS0155;114.049;LIVING ROOM CAFE TRANSMART;LIVING ROOM CAFE TRANSMART;Restaurant;80;1500000;7;6
RS0158;114.058;MAKALU COFFE;MAKALU COFFE;Restaurant;80;1000000;7;6
RS0168;115.015;MISS PHILO;MISS PHILO;Restaurant;80;5000000;30;6
RS0368;102.312;MOM MILK;MOM MILK;Restaurant;80;1000000;7;6
RS0342;102.285;V JATI;V JATI;Restaurant;80;1000000;7;6
RS0348;102.29;WEST & EAST BISTRO DRINKERY;WEST & EAST BISTRO DRINKERY;Restaurant;80;50000000;30;6
RS0241;114.08;YUKI;YUKI;Restaurant;80;1000000;30;6
PC0014;114.014;CAFE AT EDEN;CAFE AT EDEN;Coffee Shop;80;50000000;14;7
RS0079;102.079;D'S DINNER CAFE & RESTO;D'S DINNER CAFE & RESTO;Restaurant;80;5000000;30;7
PC0030;114.027;HEIKA KOPI KARTASURA;HEIKA KOPI KARTASURA;Coffee Shop;80;30000000;14;7
RS0110;102.012;HIKARU DINING SOLO;HIKARU DINING SOLO;Restaurant;80;10000000;14;7
PC0044;114.039;KOPI NGELAK;KOPI NGELAK;Coffee Shop;80;11000000;14;7
RS0229;102.022;PLATINO RESTAURANT;PLATINO RESTAURANT;Restaurant;80;5000000;30;7
RS0254;102.221;RESTO ROCKET;RESTO ROCKET;Restaurant;80;300000;14;7
RS0294;102.334;SELAKSA GRILL (SFA KARTASURA);SELAKSA GRILL (SFA KARTASURA);Restaurant;80;10000000;14;7
HT0036;101.001;AGAS INTERNATIONAL HOTEL (PT. NIKI SAMI MULYA INDAH);PT. NIKI SAMI MULYA INDAH;Hotel;80;5000000;28;9
HT0033;101.005;ALANA SOLO (PT. DELTA MERLIN DUNIA PROPERTI);PT. DELTA MERLIN DUNIA PROPERTI;Hotel;80;350000000;30;9
RS0243;102.053;BIG BRO;BIG BRO;Restaurant;80;1000000;60;9
RS0242;102.102;FIFTY RESTAURANT;FIFTY RESTAURANT;Restaurant;80;5000000;30;9
RS0260;102.11;GAMON RESTO;GAMON RESTO;Restaurant;80;1000000;28;9
RS0102;114.023;GRINGO'S CAFE;GRINGO'S CAFE;Restaurant;80;0;28;9
RS0246;102.16;MAD BOTTLE;MAD BOTTLE;Restaurant;80;5000000;30;9
RS0237;102.194;PUTU BUMBUNG;PUTU BUMBUNG;Restaurant;80;300000;30;9
RS0258;102.262;STEAK ON STREET;STEAK ON STREET;Restaurant;80;5000000;30;9
HT0047;101.051;SWISS-BELL HOTEL SOLO (PT. DELTA MERLIN DUNIA PROPERTI);PT. DELTA MERLIN DUNIA PROPERTI;Hotel;80;150000000;30;9
RS0007;102.044;AIRA RESTAURANT THE PARK;AIRA RESTAURANT THE PARK;Restaurant;81;1000000;7;4
RS0008;102.033;AIRU SUSHI RESTAURANT;AIRU SUSHI RESTAURANT;Restaurant;81;300000;28;4
RS0011;102.038;ALFREDO CASUAL KITCHEN;ALFREDO CASUAL KITCHEN;Restaurant;81;2000000;35;4
RS0009;110.004;AL GHUROBA;AL GHUROBA;Restaurant;81;5000000;30;4
RS0013;102.046;AMIRA SANDWICH & RESTO;AMIRA SANDWICH & RESTO;Restaurant;81;5000000;0;4
RS0017;102.035;AYAM-AYAM RESTO KLATEN;AYAM-AYAM RESTO KLATEN;Restaurant;81;2000000;0;4
RS0018;102.043;AYAM GEPREK ABANG IRENG;AYAM GEPREK ABANG IRENG;Restaurant;81;1000000;30;4
RS0019;102.123;AYAM GEPREK IBU MUMU;AYAM GEPREK IBU MUMU;Restaurant;81;2000000;0;4
HT0004;102.005;AYOM JAVA VILLAGE;AYOM JAVA VILLAGE;Hotel;81;0;0;4
UM0020;115.042;BAPAK AJIB;BAPAK AJIB;Umum;81;1000000;14;4
UM0005;110.002;BAPAK WIJIYANTO;BAPAK WIJIYANTO;Umum;81;1000000;0;4
RS0026;102.008;BLACK ARION;BLACK ARION;Restaurant;81;1000000;0;4
RS0029;102.058;BOBA TIME;BOBA TIME;Restaurant;81;1000000;0;4
UM0046;101.068;BU NOVI;BU NOVI;Umum;81;1000000;7;4
PC0015;114.013;CAFE MILLENIAL;CAFE MILLENIAL;Coffee Shop;81;1000000;30;4
PC0020;102.069;COMITEA;COMITEA;Coffee Shop;81;500000;0;4
RS0054;102.085;DAVE'S STEAK HOUSE;DAVE'S STEAK HOUSE;Restaurant;81;5000000;14;4
RS0064;102.048;DD PANTRY;DD PANTRY;Restaurant;81;0;7;4
RS0127;102.09;DOBUTZO RESTAURANT;DOBUTZO RESTAURANT;Restaurant;81;5000000;0;4
RS0080;102.087;D'STADION RESTAURANT;D'STADION RESTAURANT;Restaurant;81;1000000;0;4
RS0050;102.098;EC KAROUKE SOLO;EC KAROUKE SOLO;Restaurant;81;5000000;14;4
RS0086;115.026;ENI MANDIRI;ENI MANDIRI;Restaurant;81;5000000;0;4
RS0091;114.02;EXCELSO SOLO;EXCELSO SOLO;Restaurant;81;5000000;0;4
PC0027;114.021;FRAPIO COFFEE HOUSE & ICE CREAM;FRAPIO COFFEE HOUSE & ICE CREAM;Coffee Shop;81;300000;14;4
RS0103;102.323;GUDEG MBAK YUS;GUDEG MBAK YUS;Restaurant;81;1000000;0;4
RS0107;106.001;HAPPY TUTI;HAPPY TUTI;Restaurant;81;5000000;0;4
UM0015;115.009;IBU ERINA;IBU ERINA;Umum;81;5000000;0;4
RS0117;114.031;IEKE COFFE GELLATO;IEKE COFFE GELLATO;Restaurant;81;5000000;0;4
HT0032;115.027;INTERNATIONAL HOTEL MANAGEMENT HOTEL SOLO;INTERNATIONAL HOTEL MANAGEMENT HOTEL SOLO;Hotel;81;5000000;0;4
RS0164;102.134;KAMPOENG BAROE;KAMPOENG BAROE;Restaurant;81;1000000;14;4
PC0035;114.044;KATIGA COFFEE;KATIGA COFFEE;Coffee Shop;81;1000000;0;4
PC0037;114.036;KEDAI KOPI MATARAM;KEDAI KOPI MATARAM;Coffee Shop;81;2000000;7;4
RS0142;102.311;KEDAI SARANG BAKERY;KEDAI SARANG BAKERY;Restaurant;81;20000000;7;4
UM0025;102.245;KERIPIK PARU SARI ROSO (2);KERIPIK PARU SARI ROSO (2);Umum;81;5000000;7;4
RS0141;102.142;KOCHAMJJANG;KOCHAMJJANG;Restaurant;81;1000000;0;4
PC0045;114.043;KOPI OPA DELANGGU;KOPI OPA DELANGGU;Coffee Shop;81;1000000;7;4
PC0046;114.046;KOPI PAK NO;KOPI PAK NO;Coffee Shop;81;1000000;7;4
PC0047;114.041;KOPI SI BUDI;KOPI SI BUDI;Coffee Shop;81;5000000;7;4
HT0021;101.025;KYRIAD ARRA HOTEL CEPU;KYRIAD ARRA HOTEL CEPU;Hotel;81;10000000;7;4
RS0147;102.145;LA TAVERNA RESTO;LA TAVERNA RESTO;Restaurant;81;2000000;7;4
HT0024;101.026;LOR IN HOTEL (PT. ANOM SOLO SARANATAMA);PT. ANOM SOLO SARANATAMA;Hotel;81;20000000;0;4
RS0163;114.057;MBAH MAN TAWANGMANGU;MBAH MAN TAWANGMANGU;Restaurant;81;1000000;7;4
RS0165;102.153;MELLY GLOW KTV (PT. MITRA INTI CIPTA PERKASA);PT. MITRA INTI CIPTA PERKASA;Restaurant;81;5000000;0;4
PC0022;114.056;MODUS CAFE;MODUS CAFE;Coffee Shop;81;5000000;14;4
UM0032;115.019;MR. BRUCE;MR. BRUCE;Umum;81;300000;0;4
RS0182;102.168;NIAGARA SUSHI PARAGON;NIAGARA SUSHI PARAGON;Restaurant;81;3000000;0;4
RS0186;102.178;OBONK STEAK 2;OBONK STEAK 2;Restaurant;81;300000;0;4
RS0191;106.018;OMAH FROZEN FOOD;OMAH FROZEN FOOD;Restaurant;81;10000000;0;4
RS0198;102.185;OPPAPIZZA CAFE;OPPAPIZZA CAFE;Restaurant;81;1000000;7;4
UM0034;115.044;PAK AWI;PAK AWI;Umum;81;100000;0;4
UM0041;115.004;PAK KRISTIJONO;PAK KRISTIJONO;Umum;81;10000000;0;4
RS0204;102.196;PANTIES PIZZA;PANTIES PIZZA;Restaurant;81;20000000;0;4
PC0054;114.072;PINARA COFFEE;PINARA COFFEE;Coffee Shop;81;1000000;0;4
