docentry;docnum;pib;nopen;kodebilling;pph22;pib_nilaipabean;pib_ndpbm;pib_cif2;pib_ntpn;apinvoice
20859 ;220200367 ;04030S01360520220428000743;258651;620220500120567;0;72899.93;14566;1061860380;;27824
20678 ;2030000325 ;04030S01360520220511000761;243779;620220500091284;0;55968.88;14441;808246596;;27826
21007 ;2040000220 ;00000000012920220519100070;258307;620220500154102;0;23241.03;10463.63;243185538.74;;27827
20823 ;2030000354 ;00000000012920220511100065;247507;620220500107143;0;29484;14441;425778444;;27828
20820 ;2030000352 ;00000000012920220510100064;247498;620220500108572;0;29469.38;14441;425567316.58;;27829
20821 ;2030000353 ;00000000012920220510100063;247495;620220500107030;0;29484;14441;425778444;;27830
20972 ;2030000378 ;00000000012920220518100069;258306;620220500154073;0;50889;14566;741249174;;27887
20680 ;220100239 ;04030S01360520220428000745;254571;620220500127157;0;78300.93;14566;1140531346;;27888
20680 ;220100239 ;04030S01360520220428000745;254571;620220500127157;0;78300.93;14566;1140531346;;27888
20925 ;2040000196 ;00000000012920220517100067;261995;620220500172319;0;44044.55;10086.66;444262400.7;;27889
20858 ;220200366 ;04030S01360520220517000769;261482;620220500138832;0;69954.4;14566;1018955790;;27890
20974 ;220200385 ;04030S01360520220519000777;257816;620220500137121;0;67539.98;14566;983787349;;27891
20715 ;2030000332 ;04030S01360520220425000726;258652;620220500120615;0;176769.44;14566;2574823663;;27893
20723 ;220200341 ;04030S01360520220422000724;255951;620220500120060;0;220356.71;14566;3209715838;;27894
21060 ;2050000064 ;00002001360520220523000108;902548;620220500166832;0;79377.64;14566;1156214704.24;;27895
20988 ;2050000015 ;00002001360520220513000100;902377;620220500095711;0;154014.65;10277.3;1582854762.445;;27908
21038 ;2050000045 ;00002001360520220524000109;902589;620220500189914;0;38111.41;14566;555130798.06;;27915
20693 ;2030000329 ;04030S01360520220421000720;250383;620220500107119;0;175841.79;14441;2539331289;;27916
20946 ;220200379 ;04030S01360520220519000778;257174;620220500137751;0;266395.64;14566;3880318892;;27917
20794 ;220200352 ;00000000012920220520100073;261996;620220500172331;0;28728;14566;418452048;;27925
20797 ;220200354 ;00000000012920220519100071;261997;620220500172908;0;28671;14566;417621786;;27926
20796 ;220200353 ;00000000012920220520100074;261994;620220500172302;0;28728;14566;418452048;;27927
20792 ;220200351 ;00000000012920220519100072;261993;620220500172295;0;28728;14566;418452048;;27928
20923 ;2030000367 ;04030S01360520220518000776;262093;620220500152235;0;187681.73;14566;2733772079;;27942
20860 ;220200368 ;04030S01360520220428000741;272160;620220500188119;0;72899.93;14566;1061860380;;27943
21067 ;2050000069 ;00002001360520220525000110;902618;620220500206035;0;62861.56;14566;915641482.96;;27944
20888 ;2030000363 ;00002001360520220525000111;902619;620220500206232;0;65086.03;14566;948043112.98;;27945
21004 ;220200388 ;04030S01360520220521000789;266784;620220500187141;0;146113.52;14566;2128289532;;27946
20991 ;2040000218 ;04030S01360520220519000779;261570;620220500150523;0;133381.01;14566;1942827792;;27947
20840 ;220200360 ;04030S01360520220519000781;262907;620220500169966;0;182960.84;14566;2665007595;;27948
20788 ;220200350 ;04030S01360520220427000735;272163;620220500190592;0;72899.93;14566;1061860380;;27949
20981 ;2040000216 ;04030S01360520220523000792;267906;620220500183457;0;27500;14566;400565000;;27950
20980 ;2040000215 ;04030S01360520220523000791;267901;620220500183456;0;25000;14566;364150000;;27951
20979 ;2040000214 ;04030S01360520220523000790;267900;620220500183454;0;23875;14566;347763250;;27952
20989 ;2040000217 ;04030S01360520220512000763;253691;620220500127289;0;21600;14566;314625600;;27953
20805 ;2030000346 ;04030S01360520220513000765;272161;620220500189572;0;307488.22;14566;4478873413;;27954
20885 ;2040000165 ;04030S01360520220523000793;267379;620220500190782;0;282486.12;14566;4114692824;;27989
21155 ;2050000129 ;00000000071520220527220819;165599;620220500245667;0;61499.33;14682;902933163.06;;27990
20463 ;220100232 ;04030S01360520220404000687;272162;620220500190244;0;78300.93;14566;1140531346;;27995
20463 ;220100232 ;04030S01360520220404000687;272162;620220500190244;0;78300.93;14566;1140531346;;27995
20922 ;220200374 ;04030S01360520220519000782;273961;620220500216743;0;72899.93;14682;1070316772;;27996
20921 ;220200373 ;04030S01360520220513000764;273963;620220500220057;0;78300.93;14682;1149614254;;27997
20730 ;2030000335 ;04030S01360520220421000721;257817;620220500138387;0;209948.27;14566;3058106501;;28016
20944 ;220200378 ;04030S01360520220517000768;273959;620220500215597;0;252414.19;14682;3705945138;;28017
20910 ;2030000365 ;04030S01360520220519000780;273982;620220500216089;0;53531.69;14682;785952273;;28018
21076 ;2040000231 ;04030S01360520220524000795;273754;620220500225004;0;23000;14682;337686000;;28019
20370 ;220200272 ;00000000012920220512100066;275885;620220500240694;0;47878.34;14682;702949787.88;;28020
20654 ;220200330 ;00000000012920220524100075;270723;620220500218673;0;53682.2;14682;788162060.4;;28100
