ITEM CODE;NAMA ITEM;BIAYA LAYANAN 2023;ServiceFee
AID2OLS014;Premium Yakiniku - US Outside Skirt Choice (A003);0.0310;3.1
AID2OLS016;Premium Yakiniku - US Short Rib Bone Less Choice (A004);0.0310;3.1
IUS2NAT001;Natalie's Orange Juice Fresh Frozen;0.0380;3.8
IUS2NAT007;Natalie's Lime Juice Fresh Frozen;0.0380;3.8
IUS2NAT006;Natalie's Grapefruit Juice Fresh Frozen;0.0380;3.8
IUS2NAT004;Natalie's Blood Orange Juice Fresh Frozen;0.0380;3.8
IUS2NAT003;Natalie's Tangerine Juice Fresh Frozen;0.0380;3.8
IUS2NAT002;Natalie's Lemon Juice Fresh Frozen;0.0380;3.8
AID2OLS006;AUS - Striploin Sliced PR Grain Fed / Daging Sapi Slice Premium;0.0310;3.1
AID2OLS012;AUS - Striploin Sliced Hormone Free / Daging sirloin slice;0.0310;3.1
AID2OLS064;Sirloin Steak Australia Bebas Hormon / AUS-Sirloin Steak Hormone Free;0.0310;3.1
FKR3JSG009;Jinsung Korean Bulgogi Sauce 500 Gram;0.0310;3.1
BID2IGU162;Sosis Ayam Bawang / Chicken Garlic Sausage;0.0310;3.1
BID2IGU034;Basko Sapi Super 750gr / Super Meatball;0.0310;3.1
BID2IGU076;Daging Sapi Asap / Smoked Beef 500 Gram;0.0310;3.1
BID2IGU029;Daging Sapi Pastrami / Pastrami Beef 500 Gram;0.0310;3.1
BID2IGU078;"Daging Sapi Asap “Brisket US” / US Smoked Beef "" Brisket""";0.0310;3.1
BID2IGU077;"Daging Sapi Asap “Shortplate US” / US Smoked Beef ""Shortplate""";0.0310;3.1
BID2IGU117;Sosis Ayam Bratwurst / Chicken Bratwurst Sausage;0.0310;3.1
BID2IGU115;Sosis Keju Daging Ayam / Chicken Cheese Sausage;0.0310;3.1
BID2IGU159;"Sosis Daging Ayam Premium ""Breakfast"" / Chicken Breakfast Premium";0.0310;3.1
BID2IGU160;"Sosis Daging Sapi Premium ""Breakfast"" / Beef Breakfast Sausage";0.0310;3.1
AID2OLS002;Daging Sapi Import 1 KG;0.0310;3.1
AID2OLS001;Daging sapi - US Shortplate Beef Slice /pack +-500 Gram;0.0310;3.1
EIT3BAL002;BALCONI WAFER CUBI HAZZENUT 250GR;0.0380;3.8
AAU2HRV077;AUS RUMP CAP PICANHA GRAIN FED HARVEY WHOLE;0.0310;3.1
AID2LOC085;Daging Sapi Rendah Lemak 1Kg;0.0310;3.1
AID2LOC088;DAGING STEAK RIBEYE MURAH / CUBE ROLL 200GR;0.0310;3.1
AID2LOC087;DAGING STEAK SIRLOIN MURAH 200GR (PROMOSI DESEMBER);0.0310;3.1
EID2KEW001;KEWPIE SCRAMBLED EGG BASE;0.0310;3.1
EID3KEW035;KEWPIE MENTAI MAYO;0.0310;3.1
EID3KEW012;KEWPIE ROASTED SESAME MAYO (COOKING SAUCE);0.0310;3.1
EID2KEW008;KEWPIE JAPANESE CURRY SAUCE;0.0310;3.1
EID3KEW032;KEWPIE TARTAR SAUCE;0.0310;3.1
GID2TAS001;NZ FRIES SHOESTRING 1KG;0.0310;3.1
AID2OLS136;AUS Wagyu Striploin MB4 Shabu-shabu 250gr - Indoguna;0.0310;3.1
AID2LOC052;AUS CHUCK CREST GRADE S CUT STEAK 200GR;0.0310;3.1
FKR3JSG002;Jinsung Korean Kalbi BBQ Sauce 500 Gram;0.0310;3.1
AID2OLS067;AUS Short Rib Bone In Center Cut 3x3 cm Cube - Indoguna;0.0310;3.1
FKR3JSG001;Jinsung Korean Bulgogi Sauce 500 Gram;0.0310;3.1
FIT3CIA005;Ciao Tomato Paste - Pasta Tomat 800 GR;0.0310;3.1
AID2OLS104;AUS SHORTRIB B/IN GREEN HAM CUT 3X3;0.0310;3.1
AID2LOC086;Wagyu Beef Karubi Plate MB 9;0.0310;3.1
FES3LAR017;LA RAMBLA EXTRA VIRGIN OLIVE OIL 250ML;0.0310;3.1
AID2OLS122;AUS SHORTRIB B/IN CENTER CUT IW (3X3 CUBE) 500GR;0.0310;3.1
AID2LOC094;US PREMIUM TONGUE CUT YAKINIKU 250GR;0.0310;3.1
HSZ1EMM007;EMMI GREEK STYLE RASPBERRY 2% YOGHURT 150GR;0.0310;3.1
HSZ1EMM004;EMMI GREEK STYLE NATURE 4% YOGHURT 150GR;0.0310;3.1
HSZ1EMM008;EMMI GREEK STYLE BLUEBERRY 2% YOGHURT 150GR;0.0310;3.1
HSG1EMM002;EMMI STRAWBERRY YOGHURT 1 KG;0.0310;3.1
HSG1EMM016;EMMI NATURAL YOGHURT 1 KG;0.0310;3.1
HSG1EMM015;EMMI BLUEBERRY YOGHURT 1 KG;0.0310;3.1
HSG1EMM008;EMMI STRAWBERRY YOGHURT 100G;0.0310;3.1
HSG1EMM005;EMMI BLUEBERRY YOGHURT 100G;0.0310;3.1
HSG1EMM006;EMMI  NATURAL YOGHURT  100G;0.0310;3.1
HSG1EMM001;EMMI  ALOE VERA YOGHURT 100G;0.0310;3.1
HSG1EMM014;EMMI  GRAPEFRUIT YOGHURT  100G;0.0310;3.1
HSG1EMM007;EMMI  RASPBERRY YOGHURT 100G;0.0310;3.1
HSG1EMM004;EMMI  APRICOT YOGHURT 100G;0.0310;3.1
DCN2KIN002;GIANT SQUID TUBE 1 KG;0.0310;3.1
AID2LOC094;US PREMIUM TONGUE CUT YAKINIKU 250GR;0.0310;3.1
AID2LOC105;AUS STRIPLOIN PR GRAIN FED CUT STEAK 200 GR;0.0310;3.1
AID2LOC106;AUS WAGYU STRIPLOIN GRAIN FED MB 7 CUT STEAK 250 GR;0.0310;3.1
AID2LOC107;AUS TENDERLOIN WAGYU MB 4 CUT STEAK 200 GR;0.0310;3.1
AID2LOC108;AUS WAGYU KNUCKLE MB 7 CUT YAKINIKU 250 GR;0.0310;3.1
AID2LOC109;AUS WAGYU LOIN MB 9 CUT STEAK 150 GR;0.0310;3.1
AID2LOC110;AUS WAGYU KNUCKLE MB 7 CUT SHABU SHABU 250 GR;0.0310;3.1
DCN2KIN003;GIANT SQUID RING 1 KG;0.0310;3.1
FES1PES001;PESCAVIAR AVRUGA 120GR;0.0310;3.1
AID2LOC025;US SHORTRIB B/LESS CAB CUT SHABU 250GR;0.0310;3.1
AID2LOC022;US SHORTRIB B/LESS CAB CUT YAKINIKU 250GR;0.0310;3.1
DID2WBS006; VANNAMEI SHRIMP HOSO SIZE 31-40 (10X1KG);0.0310;3.1
