sapBPCode;Outlet;Outlet Address
RS0033;BUBBLES RESTO;"JL MENTRI SUPENO NO.6. MANAHAN SOLO"
RS0037;BU INDRA ROTI BAKAR 543;JL. KALILARANGAN NO.8 SURAKARTA (SAE LAUNDRY)
UM0007;BU MARISA (MARISA FINISHING);"Dayung Kwarasan, Grogol, Sukoharjo (MARISA FINISHING)"
UM0046;BU NOVI;SOLO
UM0006;BU RATIH (PARU);JLN. LATAR IRENG BARENGKLATEN
PC0012;BURGER DAN KOPI LAWE;"Jl. Perintis Kemerdekaan, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147 (KOPI LAWE)"
PC0013;BUTLER COFFEE BOUTIQUE;Jl. Ronggowarsito No.171, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131
PC0014;CAFE AT EDEN;Dusun III Madegondo, Grogol, Sukoharjo
PC0015;CAFE MILLENIAL;Jl. KH. Samanhudi no 55 Laweyandepan kampus stimik, satu komplek dengan avista fashion
RS0038;CALIFORNIA FISH KITCHEN;JLN. R.M SAID, NO. 49C, TOTOGAN SOLO
PC0016;CALYA COFFE AND EATERY;JL.ANDALAS,PANDANREJO,SEMANGKAK KEC KLATEN TENGAH
RS0039;CANDI RESTO;"JL.I.R Soekarno No.33 Solo Baru (SOLO)"
PC0017;CATNIPHORA;Jalan Depok No.1, Manahan, Banjarsari, Manahan, Banjarsari, Kota Surakarta, Jawa Tengah
RS0040;CHAO PHRAYA (CV. AMAGI RASA SURAKARTA);Jl. Kapten Mulyadi No.87a Kedung LumbuPs. KliwonSurakarta
RS0041;CHILLI PEPPER;SOLO BARU
UM0008;CIK MEI MEI;SOLO
RS0042;CLOUD SUPPLY (PT. ASCARYA GLOBAL);JL. RAYA DJLOPO NO.54-7 , DUSUN 2 GEDANGAN , KEC , GROGOL , KABUPATEN SUKOHARJO
PC0018;CNY COFFEE & KITCHEN;Jl. K.H Samanhudi No.133, Sondakan, Laweyan, Surakarta
PC0055;COCONUTS;Jl. Yos Sudarso No.361, Danukusuman, Kec. Serengan, Kota Surakarta,
PC0019;COKOLADE;Jl. Dr. Rajiman No.395, Bumi, Kec. Laweyan, Kota Surakarta
PC0020;COMITEA;Jl. Museum, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141
PC0021;COOLFRAME;Jl. Dr. Rajiman No.253 Jayengan Kec. Serengan Kota Surakarta
RS0044;COZE RESTO;JL. URIP SUMOHARJO NO.94, RT.003 RW.002 PURWODININGRAT, JEBRES, SURAKARTA
RS0045;CROWN BILYARD;"HARTONO MALL SOLO BARU LT. 2 JLN. IR. SUKARNO , SOLO BARU"
RS0046;CUMSUIS;Jl. Blewah No 1 Raya, Karangasem, Laweyan, Surakarta
RS0047;CUPID;Jl.Nakula No.38 Serengan Kec. Serengan Surakarta
RS0048;CV.DAPURAME (BOGA KITCHEN);GREEN LAKE CITY. RUKAN CBD BLOK 1 NO 008 RT 001 RW 014 CIPONDOH TANGERANG TIMUR BANTEN
RS0049;DAEGU GRILL RESTAURANT;JLN. RADJIMAN NO.402SOLO
RS0051;DAINTY KITCHEN;Jl. Kebangkitan Nasional No.56, Kota Surakarta, Jawa Tengah 57141
RS0066;DALI GELATO UMS;Jalan Garuda Mas No. 12 Karangasem Mendungan Pabelan Kartasura Sukoharjo
RS0067;DALLAS RESTO (CV. METRO);JL. IR SUTAMI NO 118, PUCANGSAWIT, JEBRESSURAKARTA
RS0068;DAPUR CAKU-CAKU;JETAK RT 02 RW 08 DAGEN JATEN KARANGANYAR (TIMUR LAMPU MERAH YONIF 413 SAMBERNYAWA)
RS0054;DAVE'S STEAK HOUSE;Jalan Dokter Radjiman No.395, Bumi, Laweyan, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah
RS0069;DBROTHER;JL.ADI SUMARMO NO.196 SAWAH, GEDONGAN,KEC COLOMADU, KABUPATEN KARANGANYAR JAWATENGAH
RS0070;D'CAPELLO RESTO;Jalan Honggowongso No.30 B, Kemlayan, Serengan, Sriwedari, Laweyan, Kota Surakarta, Jawa Tengah 57141
PC0025;D'COFFE CLUB SOLO;Ps. Kliwon, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah
RS0063;D'COLONELS;"JLN. MOH YAMIN NO.146 PANULARAN SOLO (TIMUR SMA 7)"
RS0064;DD PANTRY;Jl. Duwet No.47Masjid Assalam-Belakang UMSKarangasem Solo
RS0043;DE'COFFIE TENTREM;SOLO GRAND MALL Lt. dasar (dekat pintu samping barat)SOLO
RS0071;DE PARISHA RESTAURANT;JLN. KEBALEN NO.2, BTPN RADIO LT. 1SOLO
RS0334;DEPOT BANDENG MURNI;"JL.PATMO NEGORO NO.29 100METER SEBELUM LUES GADING BELOK KANAN"
RS0073;DE SOLO;JL. SLAMET RIYADI NO. 54 BSOLO
DS0008;DEVORA DIARY;Singosaren RT 003/003, Kemlayan, SerenganAyam Goreng Sor Pelem, Belakang Matahari Singosaren
DS0007;DHAMA ALILA;JLN.PROF DR.SUPOMO NO 99 MANGKUBUMEN BANJARSARI SOLO
RS0074;DIAMOND RESTO (CV. DIAMOND);Slamet Riyadi St No.392, Purwosari, Laweyan, Surakarta City, Central Java 57144
RS0075;D'JAVA RESTO;Jl. Honggowongso No. 98Solo
RS0076;D'LIVING RESTAURANT;Jl Yos SudarsoSurakarta
RS0127;DOBUTZO RESTAURANT;Jalan Doktor Sutomo No. 20, Sriwedari, Laweyan, Kota Surakarta, Jawa Tengah 57141 (KARONSHI BELOK KIRI)
PC0023;DON COFFE;JL. JAJAR JALAN DUKU II NO 10 LAWEYAN (DERETAN BATIK SENGENGE)
RS0077;DOUBLE DECKER RESTAURANT;Jalan Ir. Soekarno (ground floor fave Hotel), Solo Baru, Madegondo, Grogol, Kabupaten Sukoharjo, Jawa Tengah
RS0078;DREAMT PHOTOGRAPHY;"BU RITA - 081802570807 DREAMT PHOTOGRAPHY THE PARK MALL SOLOBARU - SF-18 LANTAI PALING ATAS DEPAN ORCHARD JELE"
RS0079;D'S DINNER CAFE & RESTO;JLN. YOS SUDARSO 323BDANUKUSUMAN, SERENGAN SOLO 57139
RS0080;D'STADION RESTAURANT;Jl. Bhayangkara No.9, Sriwedari, Laweyan, Kota Surakarta,
DS0006;DUTA RASA MEATSHOP;Jl. Sutan Syahrir No. 21, Kepatihan Wetan, Jebres, Surakarta
RS0065;DYNASTI WANG RESTAURANT;paragon mall solo seberang dallas kitchen
RS0081;EATBOSS SOLO (CV. MAKMUR SENTOSO);Jl. Adi Sucipto No.68, Kerten, Laweyan,
RS0082;EATERNITY RESTAURANT;Jl. Solo Baru no 37 Solo Baru - Solo
RS0050;EC KAROUKE SOLO;"HARTONO TRADE CENTER LT.P1/LT3 JL.IR SOEKARNO MADEGONDO GROGOL"
RS0362;EGGPERIANCE;Jl. Gajah Mada No.115, Ketelan, Banjarsari, Kota Surakarta, Jawa Tengah
RS0083;EL BURITOS;"EL BURITOS FOODCOURT INDOMARET LT.2 JL. KARTIKA RAYA NO.168, JEBRES (083865526650)"
RS0084;EL BURRITOS;JL. MH.thamrin No. 21 Manahan 
RS0085;EMPEROR PLACE CHINESE RESTAURANT;DAZIA BRIDALJl. Ir. H. Juanda No. 125 Solo, Surakarta
RS0086;ENI MANDIRI;SOLO
RS0087;ERIGO;"Jl. Kebangkitan Nasional No.19 Solo"
RS0088;ES ENY TERBAN;JL. AM SANGAJI (DEPAN POP Hotel)
RS0089;EUPHORIA;Jl.Mh Thamrin no 7 Manahan Solo
RS0090;EXCELCO THE PARK SOLO BARU;"The Park Mall Ground floor Jln. Raya solo permai, solobaru, Sukoharjo"
RS0091;EXCELSO SOLO;THE PARK SOLO GROUND FLOUR
RS0092;EXECUTIVE KARAOKE;"HARTONO TRADE CENTER LANTAI PI/LT.3 Jl. Ir. Soekarno No.10F, Dusun I, Madegondo, Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552"
HT0013;FAVE HOTEL ADISUTJIPTO (PT. DELTA MERLIN DUNIA PROPERTI);FAVE Hotel ADISUTJIPTOJL. ADI SUCIPTO NO. 60 RT.01 RW.08KERTEN, LAWEYAN, SURAKARTA
HT0012;FAVE HOTEL SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);Jl. Ir. Soekarno, Dusun I, Madegondo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552
RS0242;FIFTY RESTAURANT;JL.DR RAJIMAN NO 37 (SEBELAH KUSUMA Hotel)
RS0093;FITSARIA;JALAN SUTAN SYAHRIR NO.92, KEPATIHAN KULON, JEBRES, KOTA SURAKARTA, JAWA TENGAH 57129
RS0094;FITSARIA SRAGEN;"FITSARIA SRAGEN Jl. Ahmad Yani No.53, Kebayan 3, Sragen Tengah, Sragen"
RS0095;FND (FOOD N DRINK);Jl. Yosodipuro No.146, Mangkubumen, Banjarsari, Kota Surakarta, Jawa Tengah
RS0096;FOI GRILL & PASTA RESTAURANT;Hartono MallSolo Baru
PC0026;FOTO KOPI;Jl. Adi Sucipto No.1 Paulan Wetan, Malangjiwan, Colomadu, Karanganyar
PC0027;FRAPIO COFFEE HOUSE & ICE CREAM;JL PEMUDA UTARA 106KLATEN
HT0014;FRONT ONE HOTEL (PT. ADI SUMARMO ADI GUNA);JL.ADI SUMARMO NGRESEP NGEMPLAK BOYOLALI
HT0015;FRONT ONE HOTEL SRAGEN (PT. WAW ANGKASA WIJAYA);Jl. Brigjen Katamso No.37 Kebayan 1 Sragen Kulon Kec. Sragen Kabupaten Sragen
RS0261;FRUIT STORY;Jl. Anggrek Raya BF 20 Solo Baru
RS0260;GAMON RESTO;"Jl. R.M Said No. 149 Solo Depan Apotek Padma Pasar Nongko"
RS0097;GARDEN HOUSE;Jl. Dr. Soepomo No.14, Timuran, Banjarsari, Kota Surakarta
RS0367;GARDEN RESTO;Jl. Dr. Rajiman No.327, Panularan, Laweyan, Kota Surakarta, Jawa Tengah 57149
RS0098;GARDEN RESTO NEW DE PARIS;"Jl. Thamrin No.33 Gremet, Manahan - Solo"
PC0028;GEDHEIN KOPI;Jl. Viena Selatan Blok JB No. 37 Grogol Sukoharjo(Belakang Toyota Soba)
RS0099;GEROBAK PASTA;Jl. Yosodipuro no. 122, Mangkubumen Solo
RS0072;GRAINS & DOUGHT;JL. DR.RAJIMAN NO 263,JAYEGAN TIMUR PEREMPATAN PASAR KEMBANG KE KIRI
RS0100;GRANDIS RESTO (CV. JATI MAKMUR);Jl. Adi Sucipto No. 43, Puspan, Blulukan, Karangayar
HT0016;GRAND LAGUNA;JL. ADISUCIPTO 101SOLO
HT0017;GRAND MERCURE SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);Jl. Ir. Soekarno, Dusun II, Madegondo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552
HT0011;GRAND ORCHID HOTEL;Jl. Gajahmada No. 29Solo
HT0018;GRASS INN HOTEL SOLO;Jl. Viena Utama JA 44 Dusun I Madegondo Grogol Sukoharjo
RS0244;GRILL US;Jl. Kenanga No.33, Solo, Purwosari, Laweyan, Kota Surakarta, Jawa Tengah (PLAYGROUND BADRAN)
RS0102;GRINGO'S CAFE;GRINGO'S CAFEJL. RONGGOWARSITO NO. 5 CSOLO
RS0103;GUDEG MBAK YUS;Jl. Tejonoto 3 No. 3, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57156
RS0104;GULA BATU;JL.DR SOEPOMO 59.TURISARISURAKARTA
DS0009;GUN FROZEN FOOD;SOLO
RS0105;HAILAI RESTAURANT;Jl. Adi Sucipto No.146Solo
RS0106;HALLO SOLO RESTO;"JL. ADISUCIPTO 1, MANAHAN SOLO SEDERET DENGAN MOM MILK"
RS0107;HAPPY TUTI;Jl. Raden Mas Said No.82, Ketelan, Banjarsari,
RS0108;HAPPY TUTI (FOC);Jl. Raden Mas Said No.82, Ketelan, Banjarsari,
HT0019;HARRIS HOTEL & CONVENTION SOLO (PT. CIPTA PROPERTI AGUNG);JL SLAMET RIYADI NO.464 PURWOSARILAWEYAN SURAKARTA.
PC0029;HEIKA KARANGANYAR;JL. KAPTEN MULYADI MBADRAN ASRI ,JUNGKE, KEC KARANGANYAR,
PC0030;HEIKA KOPI KARTASURA;Jl. Slamet Riyadi No. 180 KabalanNgadirejo Kec. Kartasura Kab. SukoharjoJawa Tengah
PC0031;HEIKA KOPI MANGKUNEGARAN;Jl. Kartini No.45 Timuran Kec. Banjarsari Kota Surakarta
PC0032;HEIKA KOPI SUKOHARJO;Jl. Jendral Sudirman No. 202 Bendosari Sukoharjo
RS0109;HELLO COW;JALAN SLAMET RIYADI
PC0033;HELLO SOLO CAFE;Jl. Dr. Muwardi, ManahanSolo
RS0110;HIKARU DINING SOLO;HARTONO MALL SOLO(GROUND FLOOR)JL. IR SOEKARNO, SOLO BARU, MADEGONDOSUKOHARJO - JAWA TENGAH
RS0111;HOB (EX. SCORE BAR);THE PARK MALL (SAMPING SCORE BAR)GF 26-27JLN. IR. SOEKARNO, GROGOL SUKOHARJO
RS0112;HOME CAFE & RESTAURANT;JL.DR RAJIMAN 149 RT.002 RW.007 DESA/KEL. JAYENGAN - KEC. SERENGAN SURAKARTA
RS0113;HONKY TONK PIZZABAR;JL. IR SUTAMI NO 46 ( GEDUNG GRAVISTA LT.1) SEKARPACE, JEBRES , KOTA SURAKARTA
RS0114;HOTEL GRAND MEGA RESORT;Hotel GRAND MEGA RESORTJln. TAMBAK ROWO NO.27CEPU
HT0002;HOTEL KOTA (NANDA);Jl. Brigjend Slamet Riyadi No.125, Serengan, Surakarta
RS0115;HOUSE OF BEER;"THE PARK MALL GF 26-27 JLN. IR. SOEKARNO GROGOL SUKOHARJO"
RS0101;HUNGRY BEAR;Jalan Kenanga,Badran,Solo, Purwosari, Laweyan, Kota Surakarta
RS0116;HUNGRY BEAR (WIDURAN);"JL.Sultan Syahrir No.35 WIDURAN,setelah pertigaan pengadaian 2 rumah kanan jalan"
UM0011;IBU ANIK;SOLO
UM0012;IBU AYU (CRAB AND FRIEND);Jl. Hasanudin No. 101, Solo (Samping Bank BRI Pasar Nongko)
UM0013;IBU CITRA/PAK ALBERD;SOLO
UM0014;IBU DEWI;SOLO
UM0015;IBU ERINA;solo
DS0018;IBU FONNY;Soba Bisnis Square JD 43-45 Madegondo Kec. Grogol Kabupaten Sukoharjo
UM0009;IBU GUNAWAN;JL.DR RAJIMAN NO 305-307
UM0010;IBU INDAR BUDI PRASETYA;Perum Gentan Baru No. 12 Gentan
UM0016;IBU IWEN (MANDARIN HTL);"JL. BELIMBING NO.52 (BELAKANG PASAR BANJARSARI) PEKALONGAN"
UM0017;IBU PARTINI;Jl. Sekar Anom, Gg. Asmoro Dono No. 4(Dekat Stasiun Klaten)Klaten
UM0018;IBU RIPTINAH;"Industri Keripik Paru Ibu Riptinah jl. Rajawali Gg Latar Putih No. 11 Klaten Jateng"
UM0019;IBU UTAMI;SOLO
UM0044;IBU VEVE;JLN.SURYOPRANOTO NO.34 (DEPAN BAKSO PRAWIROREJO)SOLO
UM0045;IBU YENNI;"JL. URIP SUMOHARDJO NO.96-98 SOLO"
RS0117;IEKE COFFE GELLATO;"JL. YOS.SUDARSO NO. 197 SOLO"
PC0034;IELC (INTERACTIVE ENGLISH LANGUAGE CENTER);Jl. Haryo Panular No.48, Panularan, Laweyan, Panularan, Laweyan
RS0364;ILALANG RESTO;"Jl. Raya Solo Baru No. 20 Solo"
RS0118;IN CONTRO RESTAURANT (PT. CIPTA REJEKI BERSAMA);KAWASAN Hotel ALILA, JALAN SLAMET RIYADI NO.562 RT.001 RW.001 JAJAR, LAWEYAN SURAKARTA JAWA TENGAH 57141
DS0010;INDOCOW MEATSHOP;Jl. Kebangkitan Nasional No.33, Sriwedari, Kec. Laweyan, Kota Surakarta
RS0120;INSHOKU IKI RESTO;JL.ALTERNATIF LAWU DAWUHAN TAWANGMANGU KARANGANYAR
HT0032;INTERNATIONAL HOTEL MANAGEMENT HOTEL SOLO;Jalan Adisucipto 109ColomaduSurakarta 57171
RS0121;INTRO LOUNGE AND RESTO;"Mezzanine 3rd Floor Solo Grand Mall, Jl. Slamet Riyadi 273 SOLO"
RS0122;INUL VISTA SOLO (CV. SAPTA BHARATA PRIMA);SOLO SQUARE Lt.2JL. SLAMET RIYADI NO.451-455, SOLO
RS0119;ISTANBUL KEBAB TURKI;Jl. Dr. Rajiman No.627, Pajang Laweyan Surakarta
RS0123;ITALIAN DELIGHT PIZZA;Jl. Adi Sucipto, Jajar, Laweyan, Kota Surakarta, Jawa Tengah 57144, Indonesia
DS0005;JAKA MEATSHOP;Kampung Banjarsari RT. 01/ 04Kedung Ampel CawasKlaten
RS0124;JAVA TERRACE KITCHEN & BAR (FoC);Jl Slamet Riyadi no 464 Purwosari Laweyan Surakarta, Surakarta, Jawa Tengah
RS0125;JAVA TERRACE KITCHEN & BAR (PT. CIPTA PROPERTI AGUNG);Jl. Slamet Riyadi No. 464 Purwosari, Laweyan, Surakarta, Jawa Tengah
RS0126;JEJU AYCE;Jl. Moh. Husni Thamrin No.7, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57143
RS0129;JEJU AYCE (FoC);Jl. Moh. Husni Thamrin No.7, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57143
RS0128;JOY BAKERY;Jl. Yosodipuro No.113, Mangkubumen, Banjarsari, Kota Surakarta, Jawa Tengah
DS0011;JURAGAN FROZEN (MBA NINIS);Jl. Lawu No.1c, Perum Subur Makmur, RT.01/RW.25, Sumbermakmur, Ngringo, Kec. Jaten, Kabupaten Karanganyar,
RS0130;KAKKOII RESTO;Jl. Adi Sucipto No.99, Jajar, Laweyan, Kota Surakarta
PC0070;KAMAYANGAN COFFE;JALAN ABDUL RAHMAN SHALEH STABELAN SURAKARTA (BEKAS PIPILLINE)
RS0131;KAMI BURGER;"JL. DIPONEGORO NO 55 (DEPAN SMA KALAM KUDUS)"
RS0164;KAMPOENG BAROE;Jl. Ronggowarsito No.57, Keprabon, Banjarsari, Kota Surakarta, Jawa Tengah
RS0132;KAMPUNG CAHAYA;JL.WIDORO KANDANG RT.1 RW 1 KRATONAN SOLO
RS0133;KAMPUNG CAHAYA RESTAURAN;JL.WIDORO KANDANG RT.1 RW 1 KRATONAN SOLO
RS0374;KARONSSIH RESTO;"JLN. DR SUTOMO NO 24 SRIWEDARI LAWEYAN SOLO"
UM0022;KARYAWAN INDOGUNA;JL.KEBANGKITAN NASIONAL NO 45
PC0035;KATIGA COFFEE;BOYOLALI
PC0036;KAYU MANIS COFFEE SHOP;(SEBELAH IKAN GORENG CIANJUR)JL. SLAMET RIYADI 158-162SOLO
RS0134;KEBAB TURKI;SOLO
RS0135;KEDAI ABDULLAH;"PINTU MASUK ASSALAM HYPERMARKET Jalan A. Yani No. 308, Gumpang Lor, Pabelan, Kartasura, Sukoharjo"
PC0037;KEDAI KOPI MATARAM;Jalan Brigjend Slamet Riyadi, Solo Square, Bengawan Solo Food Court, Laweyan, Pajang, Solo, Jawa Tengah
PC0038;KEDAI KOPI NDOMBLONG;Jl. Imam Bonjol No.52 Kp.Baru Pasar KliwonSurakarta.
PC0039;KEDAI KOPI SOLO RADJIMAN;JL. RADJIMAN NO. 516 ALAWEYAN, SOLO
PC0041;KEDAI KOPI SOLO RM SAID;JL. R.M Said No. 93Solo
RS0137;KEDAI PASTA D'PUTU BUMBUNG;JL URIP SUMOHARJO 64 SOLO
RS0142;KEDAI SARANG BAKERY;Jl. Brigjen Sudiarto No. 181Surakarta (kirinya Tanggul Gading)
PC0040;KELANA COFFE;Jl. Menteri Supeno No.11, Manahan, Kec. Banjarsari, Kota Surakarta
RS0136;KENEE GRILL & SUKI;Jl. Cerme Barat 7, Gilingan, Banjarsari, Surakarta
UM0023;KERIPIK PARU HJ. GANIK;JLN. MAYOR KUSMANTO , GG. SIPACAR, SEMANGKAK, KLATEN
UM0024;KERIPIK PARU PAK DARMOJO;"KAMPUNG BARU RT 03/5 GATAK KLATEN JAWA TENGAH"
UM0025;KERIPIK PARU SARI ROSO (2);"BUTUH RT02 RW03 GEDONGAN, BAKI  SUKOHARJO"
UM0026;KERIPIK PARU SARI ROSO (I);JLN. PUNTODEWO NO.4 , KUDU, BAKI, SUKOHARJO (BELAKANG KANTOR KECAMATAN BAKI)
UM0027;KEVIN;"Jln Diponegoro Cluster Diponegoro No. A6 Dusun III Madegondo Grogol Sukoharjo"
PC0024;KHAS COFFE;JL. SIWALAN NO 17 RT02 RW14 , KERTEN , LAWWEYAN , SURAKARTA
RS0292;KHENG HOUSE;JL. Teuku Umar No.12, Keprabon, Banjarsari
RS0138;KIMCHI RESTAURANT;JLN. VETERAN NO. 180 KRATONAN, SERENGANSOLO
RS0139;KIMUKATSU (PT. BOGA MAKMUR DINASTI);KOMPLEK WIJAYA GRAND CENTER BLOK C NO 33-34 JL.WIJAYA IIPULO-KEBAYORAN BARU,JAKARTA SELATAN
RS0140;KLASSIKO BAKERY (YUDHISTIRA);SOLO GRANDMALL Lt. 3
RS0141;KOCHAMJJANG;JL.mh. hamrin no 7 Manahan banjarsari
PC0042;KOLONIAL;"JL.Dr Radjiman 323 Lawean Solo"
PC0060;KOPI KEPI / LA FOLLA;Jl. Prof. DR. Supomo No.57 Mangkubumen, Banjarsari, Surakarta
PC0043;KOPI LITE;Jl. Palem Raya, Dusun III, Langenharjo, Kec. Grogol, Kabupaten Sukoharjo,
PC0044;KOPI NGELAK;JL. Dr Radjiman No. 441, Bumi, LaweyanSurakarta
PC0045;KOPI OPA DELANGGU;Jl. Raya Delanggu Utara No.50 Perkebunan, Kepanjen, Delanggu, Klaten
PC0046;KOPI PAK NO;Jl. Raya Tawangmangu-Sarangan Kilometer 9. Bulakrejo RT 3 RW 6 Gondosuli Kidul Gondosuli Kec. Tawangmangu Kabupaten Karanganyar
PC0047;KOPI SI BUDI;Jl. Kalitan No.6B, Penumping, Laweyan, Surakarta
RS0143;K PATATS SOLO;Solo Grand Mall Lt.3Solo
PC0048;KULONUWUN KOPI;OMAH SINTENJl. Diponegoro Keprabon Kec. Banjarsari Kota Surakarta Jawa Tengah
CT0001;KUSUMA CATERING;Jl. Yudhistira, Serengan, Kota Surakarta, Jawa Tengah 57155, Indonesia
CT0002;KUSUMA SARI;Jl. Slamet Riyadi No.111, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151
HT0021;KYRIAD ARRA HOTEL CEPU;Jl. Raya Cepu - Randublatung No.Km. 2, Joho, Mulyorejo, Kec. Cepu, Kabupaten Blora
RS0145;LA CASETTA;"JALAN ABDUL RAHMAN SHALEH (SAMPING META FM)BARAT SOSCIL"
PC0049;LA JAVA COFFEE;Jl. Ir. Soekarno 3, Dusun I, Madegondo, Kec. Grogol,
PC0050;LA JAVA KEPATIHAN;Jl. Arifin No. 89, kepatihan wetan, jebres, surakarta
RS0146;LA MEXICANA;Jl tentara pelajar no.156 bolon colomadu karanganyar
HT0023;LAMPION HOTEL (PT WISMA BINALOKA);LAMPIO HotelJl. Dr. Rajiman No.289, Panularan, Laweyan, Kota Surakarta
RS0148;LARISKA RESTO;"JLN. COKROBASKORO NO.41 SOLO"
RS0147;LA TAVERNA RESTO;JL. SIWALAN NO 55 KERTEN SOLO
RS0149;LAVA BAR AND KITCHEN (CV. DASA JAYA PERKASA);JL.MOH SALEH WEDISATRO NO 5BANJARSARI
RS0240;LAWEYAN BLUE MBAH BEI;Jl. Dr. Rajiman No.527, Pajang, Laweyan, Surakarta
PC0051;LAWU BREAK COFFEE;Kramat Kalisoro Tawangmangu Karanganyar
RS0150;LAZY COW;Jl. Slamet Riyadi (Timur Mc. Donald)Surakarta
RS0052;LEGACY;JALAN KEBANGKITAN NASIONAL , SURAKARTA .
RS0151;LEVEL ONE SOLO;Jl. Dr. Cipto Mangunkusumo No.3, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141
RS0152;LIBERICA CAFE ALILA;"LANTAI 2 Hotel ALILA SOLO JLN. SLAMET RIYADI NO 562 RT 001, RW 001, LAWEYAN SURAKARTA"
RS0153;LIBERICA COFFEE (PT. LIBERICA);THE PARK MALL SOLO BARU BLOK 6F NO.25C KEL. MADEGONDO KEC.GROGOL SUKOHARJO JAWA TENGAH
RS0154;LILY BISTRO;"Jl. RM. Said No. 257 Solo"
RS0155;LIVING ROOM CAFE TRANSMART;Komplek Trans Mart MallPabelan Solo
HT0024;LOR IN HOTEL (PT. ANOM SOLO SARANATAMA);Jl. Adi Sucipto No.47, Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174
RS0249;LUX CAFE;MENARA ONE BILDING JL. KEDEN , HONGGOBAYAN , PABELAN, KEC , KARTOSURO
RS0156;MABAR & LAVINE MANAHAN;Jl. Menteri Supeno No.10, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139
RS0157;MADAM XIANG;JALAN GATOT SUBROTO NO.51SEBELAH KURNIA MUSIK(ALAT TULIS SEBRANG KURNIA MUSIK)
RS0246;MAD BOTTLE;JL.SULTAN SYAHRIR NO 147 TAMBAK SEGARAN
DS0012;MADJA (CV. TIGA PILLAR SEJATI);Jl. Dewi Sartika 33 Tegalklaten Klaten Kec. Klaten Tengah Kabupaten Klaten
HT0025;MAHALAYA;"Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133(SAMPING PASAR LEGI)"
RS0158;MAKALU COFFE;JL. AGUNG II NO. 2 MOJOSONGO SOLO
PC0052;MAKAN DAGING;Pined Perigee, Jl. Dr. Rajiman No.234, Kemlayan, Kec. Serengan, Kota Surakarta,
RS0061;MARAKEZ;Jalan Untung Suropati No.76, Kedung Lumbu, Pasar Kliwon, Surakarta, Pasar Kliwon, Surakarta City, Central Java 57113, Indonesia
CT0003;MARIAM CATERING SOLO;SOLO BARU
UM0028;MARKETING INDOGUNA SOLO;JALAN KEBANGKITAN NASIONAL NO 45
DS0013;MARTHA FOOD;Perum Queen Garden Blok IV No H23, Sukoharjo, Jawa Tengah
RS0159;MARY ANNE'S RESTAURANT SOLO;JLN. KEBANGKITAN NASIONAL NO.54PENUMPING, SOLO (SELATAN STADION SRIWEDARI)
DS0015;MAS DENI HS;SOLO
RS0160;MASTER CHEESE PIZZA;Jl. Alor No. 9 RT 003/ RW 004, Kampung Baru, Pasar Kliwon, Surakarta
RS0161;MAZROONEY CORNER;Jl Ahmad Yani 123 Ngemplak Solo
RS0163;MBAH MAN TAWANGMANGU;Jl. Alternatif Lawu Dawuhan Blumbang Kec. Tawangmangu Kabupaten Karanganyar
UM0029;MBAK YANIK;SOLO
UM0030;MBOK MARNI;"JLN. R.M SAID NO 49 TOTOGAN MANGKUNEGARAN"
DS0016;MEAT & GROCERIES SOLO;"JL SUNGAI PALU NO.9 KAMPUNG SEWU JEBRES SOLO"
UM0031;MEATSHOP (CV. JOGJA BOGA UTAMA);JL.KEBANGKITAN NASIONAL NO.45RT.001 RW.001 SRIWEDARI LAWEYAN
RS0165;MELLY GLOW KTV (PT. MITRA INTI CIPTA PERKASA);HARTONO LIFESTYLE MALL SOLO BARU KEL.MADEGONDO KEC.GROGOL SUKOHARJO, JAWA TENGAH
RS0166;MENUR RESTO;Jl. Anggur V No.4, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144
RS0167;MERCANT (APPA YA);"JALAN KARTIKA UNS FREMILT TEA (BAGIAN DAPUR)"
RS0062;METRO (CV. METRO);JL. IR SUTAMI NO 118 PUCANGSAWIT JEBRESSURAKARTA
RS0250;MILKY MILK SOLO;"Jl. HONGGO WONGSO NO.55 SOLO (DEPAN NOVOTEL SOLO)"
