sapBPCode;Outlet;Outlet Address
RS0057;SOLO BISTRO;"JL. SLAMET RIYADI NO 183 SOLO TELP : 0271-643446"
RS0058;SOLO DAUN;"JL ADISUCIPTO 106 NJAJAR SOLO"
RS0307;SOLO FROZEN;Jl. Yosodipuro No.160-150 Mangkubumen Banjarsari Surakarta
HT0038;SOLO INN HOTEL;Jl.Slamet Riyadi 366Solo
RS0308;SOLO ITALIANO Restaurant;Jl. Kenanga 163 Badran Kota Barat Solo (Masuk Gang Samping Gedung SD Muhammadiyah)
HT0046;SOLO PARAGON HOTEL RESIDENCE (PT. SUNINDO GAPURA PRIMA);JL.YOSODIPURO NO 133 RT.04 RW.05 BANJARSARI SURAKARTA JAWA TENGAH
RS0309;SOLO PLUFFY;Jl. Ronggowarsito No.145, Timuran, Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia
RS0310;SOLO STEAK (PAK DIDIK);JL.JAYA WIJAYA MOJOSONGO
RS0311;STAR STEAK BOYOLALI;Jl. Merbabu No.7, Surowedana, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali,
PC0066;STASIUN KOPI (PT. STASIUN KOPI SOLO);JL.MONGINSIDI 77 SETABELAN BANJARSARI SURAKARTA
RS0312;STEAK N CHEESE;JL. HONGGOWONGSO NO.90 SOLO
RS0258;STEAK ON STREET;"Jl. Pabelan 1 depan Kos Alesha (Jalan depan Pom Bensin UMS lurus kiri jalan)"
RS0313;STEAK TENDA SOLO;Jl. Dr. Rajiman No.559, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148
RS0314;STEAK TOGETHER SOLO;"FOOD COURTE CENTER PAK GENDUT SOLO BARU JL.IR SOEKARNO,SOLO BARO"
RS0315;STEFANY BAKERY & STEAK;Jln.Hayam Wuruk
RS0265;STP SAHID;JL.ADISUJCIPTO 154,SOLO JAWA TENGAH
RS0316;STREET FOOD PG.CL MADU;PG.COLOMADU SOLO
