whscode;whsName
03;SITA IKI
04;Yuli
05;Andhika
06;Sigit
07;Nia
08;SITA WH
09;Echa
10;Kevin
11;Yogi
12;Wanti
13;Hendro
14;Maryati
15;Rizal
16;Lilik
17;Novi
18;Dian
19;Patty
20;Ferry
21;FEBBY
22;Debbie
23;Adhitya Feriansyah
24;Moranda
25;Yuli Fitri
26;Tia
27;Darius
28;Bambang
29;Boedi
30;Bayu
31;Winna
32;REZA
33;Marisca
34;Taufik-pastry
35;Andhika-pastry
36;Reno
37;Irfan
38;Fingky
39;Bali
40;RANI
41;E-commerce
42;TTI
43;Pritha
44;RIFA
CKP;CIKUPA
