cardcode;cardname;cardfname;Address;OUTLET;Street;U_Bill_Area
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BK ARARASA(BSD MAXLEY);BK ARARASA(BSD MAXLEY);JL.Raya Utama BSD Lot 9-11 Urut GA Kel Lengkong Kulon Kec Pagedangan Tangerang;BKJ4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BSD MAXLEY;BSD MAXLEY;JL Raya Utama MD Lot 9-11 Kelurahan Lengkong Kulon Kecamatan Pagedangan Tangerang-15331 GA GB;BKJ4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING TAMBUN;TAMBUN;Jl Teuku Umar No15 Wanasari Cibitung Bekasi Jawa Barat-17520FSDT;BKJ7
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CILEUNGSI METLAND;CILEUNGSI METLAND;Metland Transyogi Ruko PTM III No68 Jl Metland Cileungsi Kidul Cileungsi Bogor Jawa Barat 16820 FSDT;BKK0
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GADING TERRACE;GADING TERRACE;Gading Terrace  Boelevard Jl.Raya Karang Satria Raya Bumi Anggrek Karang Satria Teras Bekasi Jawa Ba;BKK2
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING WEST SENTUL;WEST SENTUL;Jl Raya Bogor No4 Rt001 Rw04 Cimandaia Sukaraja Bogor-16710FSDT;BKK4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BOXIES 123;BOXIES 123;JL.Raya Tajur No.123 Kota Kec Bogor Tim Kota Bogor Jawa Barat 16141;BKL2
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KALIDERES;KALIDERES;Jl. Peta Barat 3 Rt.06 Rw.01 Kalideres Jakarta Barat;BKL4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;(in active) BURGER KING KARANG TENGAH;KARANG TENGAH;Jl Depan Halte Buyaran No65 Kondangpasar Karangsari Kec Karangtengah Kabupaten Demak Jawa Tengah;BKL5
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KARANG TENGAH;KARANG TENGAH;Jl Raden Saleh No 1 Rt1/Rw05 Karang Mulya Kec Karang Tengah Kota Tangerang Banten 15157;BKL5
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING THE PARK SAWANGAN;THE PARK SAWANGAN;Jl Raya Cinangka No 38 Rt2/Rw4 Serua Kec Bojongsari Kota Depok Jawa Barat 16517 Lantai Ground;BKL6
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SERANG;SERANG;P Diponegoro Rt/Rw000/00 Kel Kota Baru Kec Serang Serang-Banten FSDT;BKL8
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CILANDAK KKO;CILANDAK KKO;JL.Cilandak KKO 7 Rt008 Rw05 Ragunan Pasar Minggu Jakarta Selatan;BKM0
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING  BOTANICAL;BOTANICAL;JL.Raya Joglo Blok N Kav 2 Rt/Rw 007/001  Kel Joglo Jakarta Barat 11640;BKM1
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PURI BOTANICAL;PURI BOTANICAL;JL.Raya Joglo Blok N Kav 2  Rt/Rw  007/001 Kel Joglo Jakarta Barat-11640FSDT;BKM1
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GATOT SUBROTO;GATOT SUBROTO;JL.Gatot Subroto No.5 Kelurahan Kroncong Kecamatan Jatiuwung Tangerang-15134FSDT;BKM6
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING BINTARO  EMERALD;BINTARO  EMERALD;Jl Boulevard Bintaro  Jaya  Kav S6/B1-06 Kel Perigi Kec Pondok Aren Tangerang Selatan Banten-15227;BKM8
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GREEN SEDAYU;GREEN SEDAYU;Taman Palem Lestari Blok B13 No1 Kec Cengkareng Barat Kelurahan Cengkareng Jakarta 11730 GF28-29;BKN0
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING SAWANGAN;SAWANGAN;Jl. Meruyung Raya Pertigaan Parung Binggung No.48 Rt.01 Rw.10 Pancoran Mas Rangkapan Jaya Baru Depok;BKN1
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PAMULANG;PAMULANG;Jl. Raya Pajajaran Blok Kav Rt.02 Rw.03 Kel Pamulang Barat Tangerang Selatan;BKN3
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING CINERE FSDT;CINERE FSDT;Jl. Cinere Raya Rt.04 Rw.14 Cinere Depok;BKN4
