cardcode;cardname;cardfname;Address;OUTLET;Street;U_Bill_Area
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PLAZA AMBARUKMO;PLAZA AMBARUKMO (JOGJA);JL Laksda Adisucipto Daerah Istimewa Yogyakarta SS281GF Unit A12 A18-19;BKB1
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KOTA HARAPAN INDAH;KOTA HARAPAN INDAH;Kota Harapan Indah,komplek Meli Melo,Jl.Medan Satria Kav01-E Unit C,Pejuang Medan Satria,Kota Bekasi;BKB3
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING PEJATEN VILLAGE;PEJATEN VILLAGE;Jl.Warung Jati Barat No.39 Kel Jati Padang Pasar minggu Jakarta Selatan 125101st Floor 63;BKB4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GREEN PRAMUKA SQUARE;GREEN PRAMUKA SQUARE;JL.A Yani Kav 49 Rawasari Cempaka Putih Jakarta Pusat Unit GF 29,29a;BKB7
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING GREEN TERRACE;GREEN TERRACE;JL.Pintu 1 Taman Mini Indonesia Indah GF Blok D No 8B;BKB8
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING TAMINI GREEN TERRACE;GREEN TERRACE;GF Blok D 8 B,Jl.Pintu Utama 1 TMII,Pinang Ranti,Makasar,Jakarta Timur 13820;BKB8
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING LAGOON AVENUE;LAGOON AVENUE;JL.KH Noer Ali No.3 Pekayon Jaya Bekasi Selatan Kota Bekasi Jawa Barat 17148GF Unit G43 & 44;BKC1
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING RANCHO TB SIMATUPANG;RANCHO TB SIMATUPANG;JL.Letjen T.B Simatupang Rt001 Rw002 Kel Tanjung Barat Kec Jagakarsa Jakarta Selatan FSDT;BKC4
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING KOTA BINTANG;KOTA BINTANG;Grand Kota Bintang Kalimalang Unit W7 Jl. KH Noer Ali Kel.Jaka Sampurna Kec Bekasi Barat,Kota Bekasi;BKC5
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING REST AREA KM 38;REST AREA KM 38;Jl.Tol Jagorawi KM 38 +250A Bogor RA KM38;BKC6
RQ0016;PT. SARI BURGER INDONESIA;BURGER KING;BURGER KING JL. PANJANG;JL. PANJANG;Jl. Panjang No.86 Rt.06 Rw. 11 Kebon Jeruk Jakarta Barat;BKC8
