code;decription;kode
AAU1HRV010;AUS CHL S 2160 TENDERLOIN SS/OFF 2KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1HRV011;AUS CHL CHUCK;0201.30.00 Secondary B/Less Segar
AAU1HRV012;AUS CHL OUTSIDE;0201.30.00 Secondary B/Less Segar
AAU1HRV013;AUS CHL PR OYSTER BLADE;0201.30.00 Secondary B/Less Segar
AAU1HRV014;AUS CHL OUTSIDE FLAT IW VAC;0201.30.00 Secondary B/Less Segar
AAU1HRV015;AUS CHL A 2140 STRIPLOIN;0201.30.00 Prime Cut B/Less Segar
AAU1HRV016;AUS CHL SHIN SHANK;0201.30.00 Secondary B/Less Segar
AAU1HRV017;AUS CHL RUMP;0201.30.00 Prime Cut B/Less Segar
AAU1HRV018;AUS CHL CHUCK TENDER;0201.30.00 Secondary B/Less Segar
AAU1HRV019;AUS CHL BRISKET PEDO;0201.30.00 Secondary B/Less Segar
AAU1HRV020;AUS FRZ SILVERSIDE;0202.30.00 Secondary B/Less Beku
AAU1HRV021;AUS CHL A 2070 KNUCKLE;0201.30.00 Secondary B/Less Segar
AAU1HRV022;AUS CHL A 2302 BOLAR BLADE IW VAC;0201.30.00 Secondary B/Less Segar
AAU1HRV023;AUS CHL SILVERSIDE IW VAC;0201.30.00 Secondary B/Less Segar
AAU1HRV024;AUS CHL CHUCK ROLL;0201.30.00 Secondary B/Less Segar
AAU1HRV025;AUS CHL PR GF 2142 STRIPLOIN MSA BLACK LABEL;0201.30.00 Prime Cut B/Less Segar
AAU1HRV026;AUS CHL PR GF 2243 RIBEYE MSA BLACK LABEL;0201.30.00 Prime Cut B/Less Segar
AAU1HRV027;AUS CHL PR GF 2160 TENDERLOIN SS/OFF MSA BLACK LABEL;0201.30.00 Prime Cut B/Less Segar
AAU1HRV028;AUS CHL A 1552 SHORTLOIN B/IN;0201.20.00 Prime Cut B/In Segar
AAU1HRV029;AUS CHL YG SHORT RIBS B/IN;0201.20.00 Prime Cut B/In Segar
AAU1HRV030;AUS CHL PR GF 2000 TOPSIDE;0201.30.00 Secondary B/Less Segar
AAU1HRV031;AUS CHL S 2302 BOLAR BLADE;0201.30.00 Secondary B/Less Segar
AAU1HRV032;AUS CHL PR GF 1603 OP RIB MSA BLACK LABEL;0201.20.00 Prime Cut B/In Segar
AAU1HRV033;AUS CHL PR GF 1603 TOMAHAWK MSA BLACK LABEL;0201.20.00 Prime Cut B/In Segar
AAU1HRV034;AUS CHL PR GF SHORTLOIN B/IN MSA BLACK LABEL;0201.20.00 Prime Cut B/In Segar
AAU1HRV035;AUS CHL PR GF BRISKET PE B/LESS MSA BLACK LABEL;0201.30.00 Secondary B/Less Segar
AAU1HRV036;AUS CHL PR GF SHORT RIB B/IN MSA BLACK LABEL;0201.20.00 Prime Cut B/In Segar
AAU1HRV037;AUS CHL PR GF D RUMP MSA BLACK LABEL;0201.30.00 Secondary B/Less Segar
AAU1HRV038;AUS CHL WAG GF S D-RUMP MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1HRV039;AUS CHL WAG GF S D-RUMP MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1HRV040;AUS CHL WAG GF S D-RUMP MB 8-9+;0201.30.00 Prime Cut B/Less Segar
AAU1HRV041;AUS CHL WAG GF S TENDERLOIN SS/OFF MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1HRV042;AUS CHL WAG GF S TENDERLOIN SS/OFF MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1HRV043;AUS CHL WAG GF S TENDERLOIN SS/OFF MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1HRV044;AUS CHL WAG GF S RIBEYE MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1HRV045;AUS CHL WAG GF S RIBEYE MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1HRV046;AUS CHL WAG GF S RIBEYE MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1HRV047;AUS CHL WAG GF S STRIPLOIN MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1HRV048;AUS CHL WAG GF S STRIPLOIN MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1HRV049;AUS CHL WAG GF S STRIPLOIN MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1HRV050;AUS CHL PR GF 2091 RUMP CAP;0201.30.00 Prime Cut B/Less Segar
AAU1HRV051;AUS CHL THICK SKIRT GF;0201.30.00 Secondary B/Less Segar
AAU1HRV052;AUS CHL WAG RUMP CAP MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1HRV053;AUS CHL WAG RUMP CAP MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1HRV054;AUS CHL WAG SHORTLOIN MB 4-5;0201.20.00 Prime Cut B/In Segar
AAU1HRV055;AUS CHL WAG TOMAHAWK MB 4-5;0201.20.00 Prime Cut B/In Segar
AAU1HRV056;AUS CHL WAG OP RIBS MB 4-5;0201.20.00 Prime Cut B/In Segar
AAU1HVM001;AUS CHL YG STRIPLOIN 3 RIBS MSA MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1HVM002;AUS CHL YG TENDERLOIN SS/OFF MSA MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1HVM003;AUS CHL YG RIBEYE 5 RIBS MSA MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1JBS001;AUS CHL YP GF 2142 STRIPLOIN MB2+ BACHELOR;0201.30.00 Prime Cut B/Less Segar
AAU1JBS002;AUS CHL YP GF BA 2243 RIBEYE MB2+ BACHELOR;0201.30.00 Prime Cut B/Less Segar
AAU1JBS003;AUS CHL YP GF 2160 TENDERLOIN SS/OFF MB2+ BACHELOR;0201.30.00 Prime Cut B/Less Segar
AAU1JBS005;AUS CHL YP GF BA 2142 STRIPLOIN MB2+ RIVERINA;0201.30.00 Prime Cut B/Less Segar
AAU1JBS006;AUS CHL YP GF BA 2243 RIBEYE MB2+ RIVERINA;0201.30.00 Prime Cut B/Less Segar
AAU1JBS007;AUS CHL YP GF BA 2160 TENDERLOIN SS/OFF MB2+ RIVERINA;0201.30.00 Prime Cut B/Less Segar
AAU1JBS008;AUS CHL S 2142 STRIPLOIN 1 RIB PURE PRIME;0201.30.00 Prime Cut B/Less Segar
AAU1JBS009;AUS CHL S 2243 RIBEYE;0201.30.00 Prime Cut B/Less Segar
AAU1JBS010;AUS CHL A 2160 TENDERLOIN SS/OFF;0201.30.00 Prime Cut B/Less Segar
AAU1JBS011;AUS CHL A 2000 TOPSIDE;0201.30.00 Secondary B/Less Segar
AAU1JBS012;AUS CHL A 2243 RIBEYE;0201.30.00 Prime Cut B/Less Segar
AAU1JBS013;AUS CHL PR GF 2140 STRIPLOIN 3 RIB IW/VAC;0201.30.00 Prime Cut B/Less Segar
AAU1JBS014;AUS CHL A 2070 KNUCKLE;0201.30.00 Secondary B/Less Segar
AAU1JBS015;AUS CHL A RIBEYE 3.1 KG UP;0201.30.00 Prime Cut B/Less Segar
AAU1JBS016;AUS CHL PR 2143 STRIPLOIN MB 2+ PINNACLE GRASS FED;0201.30.00 Prime Cut B/Less Segar
AAU1JBS017;AUS CHL PR 2143 STRIPLOIN;0201.30.00 Prime Cut B/Less Segar
AAU1JBS018;AUS CHL RED GUM YP 2160 TENDERLOIN HORMONE FREE;0201.30.00 Prime Cut B/Less Segar
AAU1JBS019;AUS CHL S TENDERLOIN;0201.30.00 Prime Cut B/Less Segar
AAU1JBS020;AUS CHL ACRES ORGANIC RIBEYE ROLL;0201.30.00 Prime Cut B/Less Segar
AAU1JBS021;AUS CHL ACRES ORGANIC STRIPLOIN;0201.30.00 Prime Cut B/Less Segar
AAU1JBS022;AUS CHL RED GUM YP 2140 STRIPLOIN HORMONE FREE;0201.30.00 Prime Cut B/Less Segar
AAU1JBS023;AUS CHL RED GUM YP RIBEYE HORMONE FREE;0201.30.00 Prime Cut B/Less Segar
AAU1JBS024;AUS CHL S GF STRIPLOIN MB 4+ PURE PRIME;0201.30.00 Prime Cut B/Less Segar
AAU1JBS025;AUS CHL S GF RIBEYE ROLL MB 4+ PURE PRIME;0201.30.00 Prime Cut B/Less Segar
AAU1JBS026;AUS CHILLED PR RIBEYE;0201.30.00 Prime Cut B/Less Segar
AAU1JBS027;AUS CHL S GF TENDERLOIN SS/OFF MB4+ PURE PRIME;0201.30.00 Prime Cut B/Less Segar
AAU1JBS028;AUS CHILLED PR GF RIBEYE ROLL;0201.30.00 Prime Cut B/Less Segar
AAU1JBS029;AUS CHL S ROST BIFF D RUMP;0201.30.00 Prime Cut B/Less Segar
AAU1JBS030;AUS CHL YP GF BOLAR BLADE MB2+ BACHELOR;0201.30.00 Secondary B/Less Segar
AAU1JBS031;AUS CHL S 2302 BOLAR BLADE IW/VAC;0201.30.00 Secondary B/Less Segar
AAU1JBS032;AUS CHILLED PR GF RIBEYE ROLL MB 1+;0201.30.00 Prime Cut B/Less Segar
AAU1JBS033;AUS CHL YP GF BA SHORT RIB BONE IN RIVERINA;0202.20.00 Prime Cut B/In Beku
AAU1JBS034;AUS CHL YP GF BA SHORTLOIN BONE IN RIVERINA;0201.20.00 Prime Cut B/In Segar
AAU1JBS035;AUS CHL YP GF BA BRISKET PEDO RIVERINA;0201.30.00 Secondary B/Less Segar
AAU1JBS037;AUS CHILLED GF OUTSIDE SKIRT;0201.30.00 Secondary B/Less Segar
AAU1JBS038;AUS CHL S GF TOMAHAWK MB 2+ YARDSTICK;0201.20.00 Prime Cut B/In Segar
AAU1JBS039;AUS CHL YP GF OP RIBS MB 2+ RIVERINA;0201.20.00 Prime Cut B/In Segar
AAU1JBS040;AUS CHL YP GF BA 2303 OYSTER BLADE RIVERINA;0201.30.00 Secondary B/Less Segar
AAU1JBS041;AUS CHL S GF BA SHORTLOIN BONE IN YARDSTICK;0201.20.00 Prime Cut B/In Segar
AAU1JBS042;AUS CHL A 2302 BOLAR BLADE;0201.30.00 Secondary B/Less Segar
AAU1JBS043;AUS CHL RED GUM YP OP RIBS HORMONE FREE;0201.20.00 Prime Cut B/In Segar
AAU1JBS044;AUS CHL PR 2143 STRIPLOIN MB 4+ LITTLE JOE GRASS FED;0201.30.00 Prime Cut B/Less Segar
AAU1JBS045;AUS CHL PR 2243 RIBEYE MB 4+ LITTLE JOE GRASS FED;0201.30.00 Prime Cut B/Less Segar
AAU1JBS046;AUS CHL PR 2243 TENDERLOIN MB 4+ LITTLE JOE GRASS FED;0201.30.00 Prime Cut B/Less Segar
AAU1JBS047;AUS CHL PR 1601 OP RIB MB 4+ LITTLE JOE GRASS FED;0201.20.00 Prime Cut B/In Segar
AAU1JCK001;AUS CHL WAG HQ SS MB 9+;0201.30.00 Manufaturing B/Less Segar
AAU1JCK002;AUS Chilled Wagyu Internal Flank Plate 7-8;0201.30.00 Prime Cut B/Less Segar
AAU1JCK003;AUS CHL WAG RIBEYE MB 3-4;0201.30.00 Prime Cut B/Less Segar
AAU1JCK005;AUS CHL WAG FQ SS MB 9+;0201.30.00 Manufaturing B/Less Segar
AAU1JCK006;AUS CHL WAG OYSTER BLADE MB 7-8;0201.30.00 Secondary B/Less Segar
AAU1JCK007;AUS CHL WAG CHUCK TENDER MB 7-8;0201.30.00 Secondary B/Less Segar
AAU1JCK008;AUS CHL WAG RIB FINGERS MB 9+;0201.30.00 Manufaturing B/Less Segar
AAU1JCK009;AUS CHL WAG STRIPLOIN MB 3-4;0201.30.00 Prime Cut B/Less Segar
AAU1JCK010;AUS CHL WAG CHUCK TAIL FLAP MB 7-8;0201.30.00 Secondary B/Less Segar
AAU1JCK011;AUS WAG RIBEYE MB 2;0201.30.00 Prime Cut B/Less Segar
AAU1JCK012;AUS CHL WAG STRIPLOIN MB 7-8;0201.30.00 Prime Cut B/Less Segar
AAU1JCK013;AUS CHL WAG TOPSIRLOIN BUTT MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1JCK014;AUS CHL SS FQ 90CL GF ANGUS;0201.30.00 Manufaturing B/Less Segar
AAU1JCK015;AUS CHL WAG RIBEYE MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1JCK016;AUS CHL WAG STRIPLOIN MB 8-9;0201.30.00 Prime Cut B/Less Segar
AAU1JCK017;AUS CHL WAG STRIPLOIN MB 9+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK018;AUS CHL WAG TOPSIRLOIN BUTT MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1JCK019;AUS CHL WAG RIBEYE MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1JCK020;AUS CHL WAG RIBEYE MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1JCK021;AUS CHL WAG KARUBI PLATE MB 6-7;0201.30.00 Secondary B/Less Segar
AAU1JCK022;AUS CHL WAGYU CHUCK ROLL MB 6-7;0201.30.00 Secondary B/Less Segar
AAU1JCK023;AUS CHL WAG BOLAR BLADE MB 6-7;0201.30.00 Secondary B/Less Segar
AAU1JCK024;AUS CHL WAG OUTSIDE FLAT MB 6-7;0201.30.00 Secondary B/Less Segar
AAU1JCK025;AUS CHL WAG CHUCK TENDER MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1JCK026;AUS CHL WAG BOLAR BLADE MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1JCK027;AUS CHL WAG EYE OF ROUND MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1JCK028;AUS CHL WAG OUTSIDE FLAT MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1JCK029;AUS CHL GF BA 2142 STRIPLOIN MB 2+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK030;AUS CHL S GF PE BRISKET ANGUS MB 2+;0201.30.00 Secondary B/Less Segar
AAU1JCK031;AUS CHL GF ANGUS 2303 OYSTER BLADE MB 2+;0201.30.00 Secondary B/Less Segar
AAU1JCK032;AUS CHL S GF 2210 FLANK STEAK ANGUS MB 2+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK033;AUS CHL GF BA 2470 RIBEYE CAP MB 2-3+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK034;AUS CHL WAG STRIPLOIN MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1JCK035;AUS CHL WAG BRISKET PEDO MB 4-5;0201.30.00 Secondary B/Less Segar
AAU1JCK036;AUS CHL WAG TENDERLOIN MB 4-5;0201.30.00 Prime Cut B/Less Segar
AAU1JCK037;AUS CHL WAG TENDERLOIN MB 6-7;0201.30.00 Prime Cut B/Less Segar
AAU1JCK038;AUS CHL GF ANGUS 1601 OP RIBS MB 2+;0201.20.00 Prime Cut B/In Segar
AAU1JCK039;AUS CHL WAG KARUBI PLATE MB 4-5;0201.30.00 Secondary B/Less Segar
AAU1JCK040;AUS CHL WAG TOMAHAWK MB 6-7;0201.20.00 Prime Cut B/In Segar
AAU1JCK041;AUS CHL GF S BA 1688 SHORT RIBS B/IN MB 2+;0201.20.00 Prime Cut B/In Segar
AAU1JCK042;AUS CHL WAG TOPSIDE MB 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK043;AUS CHL WAG KNUCKLE MB 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK044;AUS CHL WAG BRISKET PEDO MB 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK045;AUS CHL S HEEL MUSCLE GF 1-2;0202.30.00 Manufaturing B/Less Beku
AAU1JCK046;AUS CHL GF S BA OUTSIDE FLAT MB 3+;0201.30.00 Secondary B/Less Segar
AAU1JCK047;AUS CHL BRISKET NE MB 1+;0201.30.00 Secondary B/Less Segar
AAU1JCK048;AUS CHL WAG EYE ROUND MB 8-9;0201.30.00 Secondary B/Less Segar
AAU1JCK049;AUS CHL S BA GF TRI-TIP MB 1-2+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK050;AUS CHL WAG CHUCK EYE ROLL 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK051;AUS CHL WAG OYSTER BLADE MB 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK052;AUS CHL WAG TOPSIDE CAP OFF MB 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK053;AUS FRZ WAG CHUCK EYE ROLL 8-9+;0201.30.00 Secondary B/Less Segar
AAU1JCK054;AUS CHL S BA SHORTLOIN MB 4+;0201.20.00 Prime Cut B/In Segar
AAU1JCK055;AUS CHL S BA RIBS PREPARED TOMAHAWK MB 4+;0201.20.00 Prime Cut B/In Segar
AAU1JCK056;AUS CHL GF BA 2243 RIBEYE MB 4+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK057;AUS CHL GF BA 2142 STRIPLOIN MB 4+;0201.30.00 Prime Cut B/Less Segar
AAU1JCK058;AUS CHL S GF RIB FINGERS MB 1-4+;0201.30.00 Manufaturing B/Less Segar
AAU1JCK059;AUS CHL S GF INTERCOSTAL MB 1-2;0201.30.00 Secondary B/Less Segar
AAU1KIL001;AUS CHL S GF 2142 STRIPLOIN BLUE DIAMOND;0201.30.00 Prime Cut B/Less Segar
AAU1KIL002;AUS CHL EQG GF 2142 STRIPLOIN MB 2+ BLACK DIAMOND;0201.30.00 Prime Cut B/Less Segar
AAU1KIL003;01160K AUS CHL EQG GF RIBS PREPARED PIECS TOMAHAWK - CLASSIC;0201.20.00 Prime Cut B/In Segar
AAU1KIL004;160012 AUS CHL YP GF OP RIB - CLASSIC;0201.20.00 Prime Cut B/In Segar
AAU1KIL005;00214K/214075 AUS CHL EQG GF STRIPLOIN - CLASSIC;0201.30.00 Prime Cut B/Less Segar
AAU1KIL006;00216K/216010 AUS CHL EQG GF TENDERLOIN - CLASSIC;0201.30.00 Prime Cut B/Less Segar
AAU1KIL007;00224K/224023 AUS CHL EQG GF CUBE ROLL - CLASSIC;0201.30.00 Secondary B/Less Segar
AAU1KIL008;235004/235003 AUS CHL S GF BRISKET PEDO - CLASSIC;0201.30.00 Secondary B/Less Segar
