code;itemcode;itemname;disc;servicefee
274;BID2IGU160;"Sosis Daging Sapi Premium ""Breakfast"" / Beef Breakfast Sausage";0.031;3.1
275;AID2OLS002;Daging Sapi Import 1 KG;0.031;3.1
276;AID2OLS001;Daging sapi - US Shortplate Beef Slice /pack +-500 Gram;0.031;3.1
277;AAU2HRV077;AUS RUMP CAP PICANHA GRAIN FED HARVEY WHOLE;0.031;3.1
278;AID2LOC085;Daging Sapi Rendah Lemak 1Kg;0.031;3.1
279;AID2LOC088;DAGING STEAK RIBEYE MURAH / CUBE ROLL 200GR;0.031;3.1
280;AID2LOC087;DAGING STEAK SIRLOIN MURAH 200GR (PROMOSI DESEMBER);0.031;3.1
281;EID2KEW001;KEWPIE SCRAMBLED EGG BASE;0.031;3.1
282;EID3KEW035;KEWPIE MENTAI MAYO;0.031;3.1
283;EID3KEW012;KEWPIE ROASTED SESAME MAYO (COOKING SAUCE);0.031;3.1
284;EID2KEW008;KEWPIE JAPANESE CURRY SAUCE;0.031;3.1
285;EID3KEW032;KEWPIE TARTAR SAUCE;0.031;3.1
286;GID2TAS001;NZ FRIES SHOESTRING 1KG;0.031;3.1
287;AID2OLS136;AUS Wagyu Striploin MB4 Shabu-shabu 250gr - Indoguna;0.031;3.1
288;AID2LOC052;AUS CHUCK CREST GRADE S CUT STEAK 200GR;0.031;3.1
289;FKR3JSG002;Jinsung Korean Kalbi BBQ Sauce 500 Gram;0.031;3.1
290;AID2OLS067;AUS Short Rib Bone In Center Cut 3x3 cm Cube - Indoguna;0.031;3.1
291;FKR3JSG001;Jinsung Korean Bulgogi Sauce 500 Gram;0.031;3.1
292;FIT3CIA005;Ciao Tomato Paste - Pasta Tomat 800 GR;0.031;3.1
293;AID2OLS104;AUS SHORTRIB B/IN GREEN HAM CUT 3X3;0.031;3.1
294;AID2LOC086;Wagyu Beef Karubi Plate MB 9;0.031;3.1
295;FES3LAR017;LA RAMBLA EXTRA VIRGIN OLIVE OIL 250ML;0.031;3.1
296;AID2OLS122;AUS SHORTRIB B/IN CENTER CUT IW (3X3 CUBE) 500GR;0.031;3.1
297;AID2LOC094;US PREMIUM TONGUE CUT YAKINIKU 250GR;0.031;3.1
298;FUS3FIS011;ABC SNACKS PIZZA BALLS 85GR;0.038;3.8
299;FUS3FIS009;ABC SNACK CHEESE BALL 85GR;0.038;3.8
300;EKR3NUT005;NUTS HOLIC ALMOND HOT & SPICY 240GR;0.038;3.8
301;EKR3NUT003;NUTS HOLIC ALMOND STRAWBERRY 240 GR (BOX);0.038;3.8
302;EKR3NUT001;NUTS HOLIC ALMOND HONEY BUTTER 240 GR (BOX);0.038;3.8
303;EIT3BAL006;BALCONI WAFER VANILLA 175 GR - INDOGUNA;0.038;3.8
304;EIT3BAL004;BALCONI WAFER CHOCOLATE 175 GR - INDOGUNA;0.038;3.8
305;EIT3BAL005;BALCONI WAFER HAZELNUT 175 GR - INDOGUNA;0.038;3.8
306;EKR3NUT002;NUTS HOLIC ALMOND HOT & SPICY 180GR;0.038;3.8
307;EKR3NUT001;NUTS HOLIC ALMOND HONEY BUTTER 180GR;0.038;3.8
308;EKR3NUT003;NUTS HOLIC ALMOND STRAWBERRY 180GR;0.038;3.8
309;EFR3ABY005;Abbaye French Butter Cookies Milk Chocolate 135 GR - Indoguna;0.038;3.8
310;EFR3ABY006;Abbaye Chocoladises Milk Chocolate Biskuit 135 GR - INDOGUNA;0.038;3.8
311;EFR3ABY007;Abbaye Chocoladises Dark Chocolate Biskuit 135 GR - INDOGUNA;0.038;3.8
312;EAT3DBO004;Darbo Sunflower Creamy Honey - Madu Bunga Matahari 500 gram;0.038;3.8
313;MAT3DBO007;Darbo Flower Honey - Madu Bunga 500 gram;0.038;3.8
314;EAT3DBO003;Darbo Acacia Honey - Madu Akasia Darbo 500 gram;0.038;3.8
315;EID1MIU001;KIMCHI HALAL 1,2 KG;0.038;3.8
316;EKR3YOP002;YOPOKKI HALAL ORIGINAL (Topokki / Tteokbokki) 140 GR;0.038;3.8
317;EKR3YOP003;YOPOKKI HALAL ORIGINAL (Topokki / Tteokbokki) 280 GR;0.038;3.8
318;EKR3YOP004;YOPOKKI HALAL JJAJANG - MANIS (Topokki / Tteokbokki) 140 GR;0.038;3.8
319;EKR3YOP005;YOPOKKI HALAL JJAJANG -MANIS (Topokki / Tteokbokki) 280 GR;0.038;3.8
320;EKR3YOP006;YOPOKKI HALAL SPICY - PEDAS (Topokki / Tteokbokki) 140GR;0.038;3.8
321;EKR3YOP007;YOPOKKI HALAL SPICY - PEDAS (Topokki / Tteokbokki) 280 GR;0.038;3.8
322;IUS2NAT001;Natalie's Orange Juice Fresh Frozen;0.038;3.8
323;IUS2NAT007;Natalie's Lime Juice Fresh Frozen;0.038;3.8
324;IUS2NAT006;Natalie's Grapefruit Juice Fresh Frozen;0.038;3.8
325;IUS2NAT004;Natalie's Blood Orange Juice Fresh Frozen;0.038;3.8
326;IUS2NAT003;Natalie's Tangerine Juice Fresh Frozen;0.038;3.8
327;IUS2NAT002;Natalie's Lemon Juice Fresh Frozen;0.038;3.8
328;EIT3BAL002;BALCONI WAFER CUBI HAZZENUT 250GR;0.038;3.8
329;OL0022;Big Shopping Bag / Tas Belanja Kain Ukuran Besar - Edisi Kemerdekaan;0.045;4.5
