code;itemcode;itemname;disc;servicefee
59;BID2IGU144;EL PRIMO Veal Bratwurst Sausage 500GR;0.031;3.1
60;AID2LOC059;AUS PREMIUM RIBEYE MB4 CUT STEAK 300GR;0.031;3.1
61;AID2LOC060;AUS STRIPLOIN PREMIUM MB 2+ PINACLE HORMONE ANTIBIOTIC FREE - 200GR;0.031;3.1
62;AID2OL0078;US SHORT RIB B/IN CUT CUBE 500GR;0.031;3.1
63;DID2MML011;IKAN DORI FILLET 1KG;0.031;3.1
64;BID2IGU103;EL PRIMO BEEF RASHER/ DAGING SAPI ASAP 500GR;0.031;3.1
65;AID2LOC058;DAGING GILING 1KG/ GROUND BEEF REGULAR 1KG;0.031;3.1
66;AID2LOC055;PARU 1 KG / DAGING PARU SAPI 1 KG;0.031;3.1
67;GID2TAS004;TASTY FRIES SHOESTRING PLAIN 900GR/ KENTANG GORENG BEKU SHOESTRING;0.031;3.1
68;AID2LOC054;WAGYU RIBEYE CAP MB 4 CUT STEAK 150GR;0.031;3.1
69;AID2OLS093;AUS RUMP CAP PICANHA CUT STEAK 150GR END CUT;0.031;3.1
70;AID2LOC053;AUS CHUCK CREST GRADE S CUT SHABU 250GR;0.031;3.1
71;DID2WBS010;SEA COLD SMALL SHRIMP/PRAWN/UDANG KECIL SEA COLD FROZEN 1 KG- INDOGUNA;0.031;3.1
72;DID2WBS008;SEA COLD SHRIMP/PRAWN/UDANG SEA COLD BESAR FROZEN 1 KG - INDOGUNA;0.031;3.1
73;DID2MML006;TUNA SAKU 300-380GR - INDOGUNA;0.031;3.1
74;DID2OLS002;SALMON FILLET CUT 200GR;0.031;3.1
75;AID2OLS144;AUS WAGYU DECKLE BLACK ANGUS MB 4 CUT SHABU 250 GR - INDOGUNA;0.031;3.1
76;AID2OLS145;AUS WAGYU DECKLE BLACK ANGUS MB 4 CUT YAKINIKU 250 GR - INDOGUNA;0.031;3.1
77;GID2OLS006;TATER PUFF INDOGUNA 500 GR;0.031;3.1
78;GID2OLS005;HASHBROWN INDOGUNA 500GR;0.031;3.1
79;AID2OLS123;US Short Rib Boneless Cut Shabu 250 Gr - Indoguna;0.031;3.1
80;AID2OLS143;AUS VEAL HINDSHANK 500G;0.031;3.1
81;AID2OLS142;NZ STRIPLOIN PS GRASS FED HORMONE&ANTIBIOTIC FREE SLICE SHABU 250GR;0.031;3.1
82;AID2OLS141;DAGING SOP PENGGANTI BUNTUT/OXTAIL 500GR;0.031;3.1
83;AID2OLS132;AUS RIBEYE GRAIN FED BACHELOR CUT STEAK 200GR - Indoguna;0.031;3.1
84;AID2OLS133;NZ PS Striploin MB 4+ Premium Wet Aged 55 Days Slice Shabu - Indoguna;0.031;3.1
85;AID2OLS140;AUS BRISKET NE S SLICE SHABU 250GR - Indoguna;0.031;3.1
86;AID2OLS134;AUS WAGYU SHORT RIB BONELESS MB 3 CUT SHABU 250GR - INDOGUNA;0.031;3.1
87;AID2OLS125;JAPANESE WAGYU CHUCK EYE ROLL A4 MB 6 SLICE SHABU 150GR - INDOGUNA;0.031;3.1
88;AID2OLS124;JAPANESE WAGYU CHUCK EYE ROLL A4 MB 6 CUT YAKINIKU 150GR - INDOGUNA;0.031;3.1
89;AID2OLS138;NZ TENDERLOIN GRASS FED HORMONE & ANTIBIOTIC FREE -Indoguna;0.031;3.1
90;AID2OLS139;NZ RIBEYE GROUND BEEF HORMONE & ANTIBIOTIC FREE 500GR - Indoguna;0.031;3.1
91;OLS129/136;AUS Wagyu Striploin MB4 Shabu-shabu 250gr - Indoguna;0.031;3.1
92;AID2OLS128;AUS Striploin Wagyu MB4 Cut Steak 200gr - Indoguna;0.031;3.1
93;AID2OLS126;NZ Ribeye GF Slice Shabu-shabu 250 gr - Indoguna;0.031;3.1
94;AID2OLS135;NZ Shortplate Slice Shabu-shabu 250gr - Indogun;0.031;3.1
95;AID2LOC042;AUS Wagyu Saikoro 500 Gr - Indoguna;0.031;3.1
96;ESG3KOK036;KOKA Multigrain Noodles Purple Corn Pepper Crab Flavour- Indoguna;0.031;3.1
97;ESG3KOK035;KOKA Multigrain Noodles Purple Corn Hot Mala Tofu Flavour- Indoguna;0.031;3.1
98;ESG3KOK034;KOKA Multigrain Noodles Purple Five Spiced Duck Flavour- Indoguna;0.031;3.1
99;AID2OLS121;AUS Wagyu Ground Beef / Daging Giling Sapi Wagyu 500 Gr - Indoguna;0.031;3.1
100;AID2OLS118;US Inside Round Low Fat (Rendah Lemak) Cut Yakiniku 250 Gr - Indoguna;0.031;3.1
101;AID2OLS117;US Inside Round Low Fat (Rendah Lemak) Cut Shabu 250 Gr - Indoguna;0.031;3.1
102;AID2OLS111;US Shortloin Choice Porterhouse 750 Gr - Indoguna;0.031;3.1
103;HBE3CDM004;COUNTRE Strawberry Milk / Susu Rasa Stroberi 500 Ml - Indoguna;0.031;3.1
104;HBE3CDM002;COUNTRE Chocolate Milk / Susu Rasa Cokelat 500 Ml - Indoguna;0.031;3.1
105;AID2OLS119;AUS Chuck Roll Cut Shabu 250 Gr - Indoguna;0.031;3.1
106;AID2OLS120;US Chuck Short Rib Bone Less Prime Cut Karubi 250 Gr- Indoguna;0.031;3.1
107;AID2OL0078;AUS Short Rib Bone In Center Cut 3x3 cm Cube - Indoguna;0.031;3.1
108;AID2OLS116;AUS Cheek Meat 900 Gr - Indoguna;0.031;3.1
