CardCode;DocType;Series;DocDate;DocDueDate;TaxDate;CardName;DocNum;NumAtCard;ItemDescription;VatGroup;LineTotal;AccountCode
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210158;SO22221200160;OB NO SO22221200160-221210158;PPNM_00;17540160;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210209;SO22221200242;OB NO SO22221200242-221210209;PPNM_00;4226880;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210009;SO22221200011;OB NO SO22221200011-221210009;PPNM_00;46899750;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210321;SO22221200298;OB NO SO22221200298-221210321;PPNM_00;9195684;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210366;SO22221200371;OB NO SO22221200371-221210366;PPNM_00;3525000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210379;SO22221200377;OB NO SO22221200377-221210379;PPNM_00;4057200;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210388;SO22221200390;OB NO SO22221200390-221210388;PPNM_00;2220000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210463;SO22221200458;OB NO SO22221200458-221210463;PPNM_00;11550000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210470;SO22221200376;OB NO SO22221200376-221210470;PPNM_00;4951980;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210320;SO22221200296;OB NO SO22221200296-221210320;PPNM_00;33622080;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210840;SO22221200701;OB NO SO22221200701-221210840;PPNM_00;20232414;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221211077;SO22221200675;OB NO SO22221200675-221211077;PPNM_00;7046280;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210833;SO22221200703;OB NO SO22221200703-221210833;PPNM_00;3429900;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210834;SO22221200685;OB NO SO22221200685-221210834;PPNM_00;18515950;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210835;SO22221200684;OB NO SO22221200684-221210835;PPNM_00;13319240;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221210836;SO22221200680;OB NO SO22221200680-221210836;PPNM_00;692640;3910003
