doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;56158;Tukar Faktur;PY-IN-23006436;;2023-01-27;Affen
13;58208;Tukar Faktur;PY-IN-23006552;;2023-01-27;Bayu
13;56996;Tukar Faktur;PY-IN-23006773;;2023-01-30;Bibit
