Item No.;Item Description;VatGourpSa;VatGroupPu
AAU1CSW007;AUS CHL GF BA 2243 RIBEYE MB 2;PPNK_08;PPNM_08
AAU1DAR001;AUS CHL WAG S RIBEYE F1 MB 2-3;PPNK_08;PPNM_08
AAU1DAR002;AUS CHL WAG GF RIB EYE ROLL AA3;PPNK_08;PPNM_08
AAU1DAR003;AUS CHL WAG GF RIB EYE ROLL AA4;PPNK_08;PPNM_08
AAU1DAR004;AUS CHL WAG GF STRIPLOIN AA3;PPNK_08;PPNM_08
AAU1GBP001;AUS CHL T FQ 90CL;PPNK_08;PPNM_08
AAU1GBP002;AUS CHL FOREQUARTER 85CL;PPNK_08;PPNM_08
AAU1GHK001;AUS CHL BOLAR BLADE;PPNK_08;PPNM_08
AAU1GHK002;AUS FRZ PRS SHORT RIBS B/LESS;PPNK_08;PPNM_08
AAU1GHK003;AUS CHL OYSTER BLADE;PPNK_08;PPNM_08
AAU1GRG001;AUS CHL GRAINGE ANGUS 1601 OP RIB CAP OFF MB 2-3;PPNK_08;PPNM_08
AAU1GRG002;AUS CHL GRAINGE ANGUS 1552 SHORTLOIN MB 2-3;PPNK_08;PPNM_08
AAU1GRM001;AUS CHL VEAL INSIDE;PPNK_08;PPNM_08
AAU1GRM002;AUS CHL VEAL TENDERLOIN;PPNK_08;PPNM_08
AAU1GRM003;AUS CHL A 2035 INSIDE;PPNK_08;PPNM_08
AAU1GRM004;AUS CHL A 2070 KNUCKLE;PPNK_08;PPNM_08
AAU1GRM005;AUS CHL A 2300 BLADE;PPNK_08;PPNM_08
AAU1HRV001;AUS CHL A 2000 TOPSIDE;PPNK_08;PPNM_08
AAU1HRV002;AUS CHL INSIDE;PPNK_08;PPNM_08
AAU1HRV003;AUS CHL A 2160 TENDERLOIN SS/OFF 2KG UP;PPNK_08;PPNM_08
AAU1HRV004;AUS CHL A 2243 RIBEYE 3KG UP;PPNK_08;PPNM_08
AAU1HRV005;AUS CHL S/PR 2243 RIBEYE 3KG UP;PPNK_08;PPNM_08
AAU1HRV006;AUS CHL CHUCK TENDER;PPNK_08;PPNM_08
AAU1HRV007;AUS CHL S/PR STRIPLOIN 3 RIBS IW VAC;PPNK_08;PPNM_08
AAU1HRV008;AUS CHL A 2300 BLADE;PPNK_08;PPNM_08
AAU1HRV009;AUS CHL EYE OF ROUND IW VAC;PPNK_08;PPNM_08
AAU1HRV010;AUS CHL S 2160 TENDERLOIN SS/OFF 2KG UP;PPNK_08;PPNM_08
AAU1HRV011;AUS CHL CHUCK;PPNK_08;PPNM_08
AAU1HRV012;AUS CHL OUTSIDE;PPNK_08;PPNM_08
AAU1HRV013;AUS CHL PR OYSTER BLADE;PPNK_08;PPNM_08
AAU1HRV014;AUS CHL OUTSIDE FLAT IW VAC;PPNK_08;PPNM_08
AAU1HRV015;AUS CHL A 2140 STRIPLOIN;PPNK_08;PPNM_08
AAU1HRV016;AUS CHL SHIN SHANK;PPNK_08;PPNM_08
AAU1HRV017;AUS CHL RUMP;PPNK_08;PPNM_08
AAU1HRV018;AUS CHL CHUCK TENDER;PPNK_08;PPNM_08
AAU1HRV019;AUS CHL BRISKET PEDO;PPNK_08;PPNM_08
AAU1HRV020;AUS FRZ SILVERSIDE;PPNK_08;PPNM_08
AAU1HRV021;AUS CHL A 2070 KNUCKLE;PPNK_08;PPNM_08
AAU1HRV022;AUS CHL A 2302 BOLAR BLADE IW VAC;PPNK_08;PPNM_08
AAU1HRV023;AUS CHL SILVERSIDE IW VAC;PPNK_08;PPNM_08
AAU1HRV024;AUS CHL CHUCK ROLL;PPNK_08;PPNM_08
AAU1HRV025;AUS CHL PR GF 2142 STRIPLOIN MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV026;AUS CHL PR GF 2243 RIBEYE MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV027;AUS CHL PR GF 2160 TENDERLOIN SS/OFF MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV028;AUS CHL A 1552 SHORTLOIN B/IN;PPNK_08;PPNM_08
AAU1HRV029;AUS CHL YG SHORT RIBS B/IN;PPNK_08;PPNM_08
AAU1HRV030;AUS CHL PR GF 2000 TOPSIDE;PPNK_08;PPNM_08
AAU1HRV031;AUS CHL S 2302 BOLAR BLADE;PPNK_08;PPNM_08
AAU1HRV032;AUS CHL PR GF 1603 TOMAHAWK MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV033;AUS CHL PR GF 1603 OP RIB MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV034;AUS CHL PR GF SHORTLOIN B/IN MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV035;AUS CHL PR GF BRISKET PE B/LESS MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV036;AUS CHL PR GF SHORT RIB B/IN MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV037;AUS CHL PR GF D RUMP MSA BLACK LABEL;PPNK_08;PPNM_08
AAU1HRV038;AUS CHL WAG GF S D-RUMP MB 4-5;PPNK_08;PPNM_08
AAU1HRV039;AUS CHL WAG GF S D-RUMP MB 6-7;PPNK_08;PPNM_08
AAU1HRV040;AUS CHL WAG GF S D-RUMP MB 8-9+;PPNK_08;PPNM_08
AAU1HRV041;AUS CHL WAG GF S TENDERLOIN SS/OFF MB 4-5;PPNK_08;PPNM_08
AAU1HRV042;AUS CHL WAG GF S TENDERLOIN SS/OFF MB 6-7;PPNK_08;PPNM_08
AAU1HRV043;AUS CHL WAG GF S TENDERLOIN SS/OFF MB 8-9;PPNK_08;PPNM_08
AAU1HRV044;AUS CHL WAG GF S RIBEYE MB 4-5;PPNK_08;PPNM_08
AAU1HRV045;AUS CHL WAG GF S RIBEYE MB 6-7;PPNK_08;PPNM_08
AAU1HRV046;AUS CHL WAG GF S RIBEYE MB 8-9;PPNK_08;PPNM_08
AAU1HRV047;AUS CHL WAG GF S STRIPLOIN MB 4-5;PPNK_08;PPNM_08
AAU1HRV048;AUS CHL WAG GF S STRIPLOIN MB 6-7;PPNK_08;PPNM_08
AAU1HRV049;AUS CHL WAG GF S STRIPLOIN MB 8-9;PPNK_08;PPNM_08
AAU1HRV050;AUS CHL PR 2091 RUMP CAP;PPNK_08;PPNM_08
AAU1HRV051;AUS CHL THICK SKIRT GF;PPNK_08;PPNM_08
AAU1HRV052;AUS FRZ WAG RUMP CAP MB 4-5;PPNK_08;PPNM_08
AAU1HRV053;AUS FRZ WAG RUMP CAP MB 6-7;PPNK_08;PPNM_08
AAU1HVM001;AUS CHL YG STRIPLOIN 3 RIBS MSA MB 2;PPNK_08;PPNM_08
AAU1HVM002;AUS CHL YG TENDERLOIN SS/OFF MSA MB 2;PPNK_08;PPNM_08
AAU1HVM003;AUS CHL YG RIBEYE 5 RIBS MSA MB 2;PPNK_08;PPNM_08
AAU1JBS001;AUS CHL YP GF 2142 STRIPLOIN MB2+ BACHELOR;PPNK_08;PPNM_08
AAU1JBS002;AUS CHL YP GF BA 2243 RIBEYE MB2+ BACHELOR;PPNK_08;PPNM_08
AAU1JBS003;AUS CHL YP GF 2160 TENDERLOIN SS/OFF MB2+ BACHELOR;PPNK_08;PPNM_08
AAU1JBS005;AUS CHL YP GF BA 2142 STRIPLOIN MB2+ RIVERINA;PPNK_08;PPNM_08
AAU1JBS006;AUS CHL YP GF BA 2243 RIBEYE MB2+ RIVERINA;PPNK_08;PPNM_08
AAU1JBS007;AUS CHL YP GF BA 2160 TENDERLOIN SS/OFF MB2+ RIVERINA;PPNK_08;PPNM_08
AAU1JBS008;AUS CHL S 2142 STRIPLOIN 1 RIB;PPNK_08;PPNM_08
AAU1JBS009;AUS CHL S 2243 RIBEYE;PPNK_08;PPNM_08
AAU1JBS010;AUS CHL A 2160 TENDERLOIN SS/OFF;PPNK_08;PPNM_08
AAU1JBS011;AUS CHL A 2000 TOPSIDE;PPNK_08;PPNM_08
AAU1JBS012;AUS CHL A 2243 RIBEYE;PPNK_08;PPNM_08
AAU1JBS013;AUS CHL PR GF 2140 STRIPLOIN 3 RIB IW/VAC;PPNK_08;PPNM_08
AAU1JBS014;AUS CHL A 2070 KNUCKLE;PPNK_08;PPNM_08
AAU1JBS015;AUS CHL A RIBEYE 3.1 KG UP;PPNK_08;PPNM_08
AAU1JBS016;AUS CHL PR 2143 STRIPLOIN MB 2+ PINNACLE GRASS FED;PPNK_08;PPNM_08
AAU1JBS017;AUS CHL PR 2143 STRIPLOIN;PPNK_08;PPNM_08
AAU1JBS018;AUS CHL RED GUM YP 2160 TENDERLOIN HORMONE FREE;PPNK_08;PPNM_08
AAU1JBS019;AUS CHL S TENDERLOIN;PPNK_08;PPNM_08
AAU1JBS020;AUS CHL ACRES ORGANIC RIBEYE ROLL;PPNK_08;PPNM_08
AAU1JBS021;AUS CHL ACRES ORGANIC STRIPLOIN;PPNK_08;PPNM_08
AAU1JBS022;AUS CHL RED GUM YP 2140 STRIPLOIN HORMONE FREE;PPNK_08;PPNM_08
AAU1JBS023;AUS CHL RED GUM YP RIBEYE HORMONE FREE;PPNK_08;PPNM_08
AAU1JBS024;AUS CHL S GF STRIPLOIN MB 4+ PURE PRIME;PPNK_08;PPNM_08
AAU1JBS025;AUS CHL S GF RIBEYE ROLL MB 4+ PURE PRIME;PPNK_08;PPNM_08
AAU1JBS026;AUS CHILLED PR RIBEYE;PPNK_08;PPNM_08
AAU1JBS027;AUS CHL S GF TENDERLOIN SS/OFF MB4+ PURE PRIME;PPNK_08;PPNM_08
AAU1JBS028;AUS CHILLED PR GF RIBEYE ROLL;PPNK_08;PPNM_08
AAU1JBS029;AUS CHL S ROST BIFF D RUMP;PPNK_08;PPNM_08
AAU1JBS030;AUS CHL YP GF BOLAR BLADE MB2+ BACHELOR;PPNK_08;PPNM_08
AAU1JBS031;AUS CHL S 2302 BOLAR BLADE IW/VAC;PPNK_08;PPNM_08
AAU1JBS032;AUS CHILLED PR GF RIBEYE ROLL MB 1+;PPNK_08;PPNM_08
AAU1JBS033;AUS CHL YP GF BA SHORT RIB BONE IN RIVERINA;PPNK_08;PPNM_08
AAU1JBS034;AUS CHL YP GF BA SHORTLOIN BONE IN RIVERINA;PPNK_08;PPNM_08
AAU1JBS035;AUS CHL YP GF BA BRISKET PEDO RIVERINA;PPNK_08;PPNM_08
AAU1JBS037;AUS CHILLED GF OUTSIDE SKIRT;PPNK_08;PPNM_08
AAU1JBS038;AUS CHL S GF TOMAHAWK MB 2+ YARDSTICK;PPNK_08;PPNM_08
AAU1JBS039;AUS CHL YP GF OP RIBS MB 2+ RIVERINA;PPNK_08;PPNM_08
AAU1JBS040;AUS CHL YP GF BA 2303 OYSTER BLADE RIVERINA;PPNK_08;PPNM_08
AAU1JBS041;AUS CHL S GF BA SHORTLOIN BONE IN YARDSTICK;PPNK_08;PPNM_08
AAU1JBS042;AUS CHL A 2302 BOLAR BLADE;PPNK_08;PPNM_08
AAU1JBS043;AUS CHL RED GUM YP OP RIBS HORMONE FREE;PPNK_08;PPNM_08
AAU1JCK001;AUS CHL WAG HQ SS MB 9+;PPNK_08;PPNM_08
AAU1JCK002;AUS Chilled Wagyu Internal Flank Plate 7-8;PPNK_08;PPNM_08
AAU1JCK003;AUS CHL WAG RIBEYE MB 3-4;PPNK_08;PPNM_08
AAU1JCK004;AUS CHL WAG TRI-TIP MB 7-8;PPNK_08;PPNM_08
AAU1JCK005;AUS CHL WAG FQ SS MB 9+;PPNK_08;PPNM_08
AAU1JCK006;AUS CHL WAG OYSTER BLADE MB 7-8;PPNK_08;PPNM_08
AAU1JCK007;AUS CHL WAG CHUCK TENDER MB 7-8;PPNK_08;PPNM_08
AAU1JCK008;AUS CHL WAG RIB FINGERS MB 9+;PPNK_08;PPNM_08
AAU1JCK009;AUS CHL WAG STRIPLOIN MB 3-4;PPNK_08;PPNM_08
AAU1JCK010;AUS CHL WAG CHUCK TAIL FLAP MB 7-8;PPNK_08;PPNM_08
AAU1JCK011;AUS WAG RIBEYE MB 2;PPNK_08;PPNM_08
AAU1JCK012;AUS CHL WAG STRIPLOIN MB 7-8;PPNK_08;PPNM_08
AAU1JCK013;AUS CHL WAG TOPSIRLOIN BUTT MB 8-9;PPNK_08;PPNM_08
AAU1JCK014;AUS CHL SS FQ 90CL GF ANGUS;PPNK_08;PPNM_08
AAU1JCK015;AUS CHL WAG RIBEYE MB 8-9;PPNK_08;PPNM_08
AAU1JCK016;AUS CHL WAG STRIPLOIN MB 8-9;PPNK_08;PPNM_08
AAU1JCK017;AUS CHL WAG STRIPLOIN MB 9+;PPNK_08;PPNM_08
AAU1JCK018;AUS CHL WAG TOPSIRLOIN BUTT MB 6-7;PPNK_08;PPNM_08
AAU1JCK019;AUS CHL WAG RIBEYE MB 6-7;PPNK_08;PPNM_08
AAU1JCK020;AUS CHL WAG RIBEYE MB 4-5;PPNK_08;PPNM_08
AAU1JCK021;AUS CHL WAG KARUBI PLATE MB 6-7;PPNK_08;PPNM_08
AAU1JCK022;AUS CHL WAGYU CHUCK ROLL MB 6-7;PPNK_08;PPNM_08
AAU1JCK023;AUS CHL WAG BOLAR BLADE MB 6-7;PPNK_08;PPNM_08
AAU1JCK024;AUS CHL WAG OUTSIDE FLAT MB 6-7;PPNK_08;PPNM_08
AAU1JCK025;AUS CHL WAG CHUCK TENDER MB 8-9;PPNK_08;PPNM_08
AAU1JCK026;AUS CHL WAG BOLAR BLADE MB 8-9;PPNK_08;PPNM_08
AAU1JCK027;AUS CHL WAG EYE OF ROUND MB 8-9;PPNK_08;PPNM_08
AAU1JCK028;AUS CHL WAG OUTSIDE FLAT MB 8-9;PPNK_08;PPNM_08
AAU1JCK029;AUS CHL GF ANGUS 2142 STRIPLOIN MB 2+;PPNK_08;PPNM_08
AAU1JCK030;AUS CHL S GF PE BRISKET ANGUS MB 2+;PPNK_08;PPNM_08
AAU1JCK031;AUS CHL GF ANGUS 2303 OYSTER BLADE MB 2+;PPNK_08;PPNM_08
AAU1JCK032;AUS CHL S GF 2210 FLANK STEAK ANGUS MB 2+;PPNK_08;PPNM_08
AAU1JCK033;AUS CHL GF ANGUS 2470 RIBEYE CAP MB 2-3+;PPNK_08;PPNM_08
AAU1JCK034;AUS CHL WAG STRIPLOIN MB 4-5;PPNK_08;PPNM_08
AAU1JCK035;AUS CHL WAG BRISKET PEDO MB 4-5;PPNK_08;PPNM_08
AAU1JCK036;AUS CHL WAG TENDERLOIN MB 4-5;PPNK_08;PPNM_08
AAU1JCK037;AUS CHL WAG TENDERLOIN MB 6-7;PPNK_08;PPNM_08
AAU1JCK038;AUS CHL GF ANGUS 1601 OP RIBS MB 2+;PPNK_08;PPNM_08
AAU1JCK039;AUS CHL WAG KARUBI PLATE MB 4-5;PPNK_08;PPNM_08
AAU1JCK040;AUS CHL WAG TOMAHAWK MB 6-7;PPNK_08;PPNM_08
AAU1JCK041;AUS CHL GF S BA 1688 SHORT RIBS B/IN MB 2+;PPNK_08;PPNM_08
AAU1JCK042;AUS CHL WAG TOPSIDE MB 8-9+;PPNK_08;PPNM_08
AAU1JCK043;AUS CHL WAG KNUCKLE MB 8-9+;PPNK_08;PPNM_08
AAU1JCK044;AUS CHL WAG BRISKET PEDO MB 8-9+;PPNK_08;PPNM_08
AAU1JCK045;AUS CHL S HEEL MUSCLE GF 1-2;PPNK_08;PPNM_08
AAU1JCK046;AUS CHL GF S BA OUTSIDE FLAT MB 3+;PPNK_08;PPNM_08
AAU1JCK047;AUS CHL BRISKET NE MB 1+;PPNK_08;PPNM_08
AAU1JCK048;AUS CHL WAG EYE ROUND MB 8-9;PPNK_08;PPNM_08
AAU1JCK049;AUS CHL S BA GF TRI-TIP MB 1-2+;PPNK_08;PPNM_08
AAU1JCK050;AUS CHL WAGYU CHUCK EYE ROLL 8-9+;PPNK_08;PPNM_08
AAU1KIL001;AUS CHL S GF 2142 STRIPLOIN BLUE DIAMOND;PPNK_08;PPNM_08
AAU1KIL002;AUS CHL EQG GF 2142 STRIPLOIN MB 2+ BLACK DIAMOND;PPNK_08;PPNM_08
AAU1KIL003;01160K AUS CHL EQG GF RIBS PREPARED PIECS TOMAHAWK - CLASSIC;PPNK_08;PPNM_08
AAU1KIL004;160012 AUS CHL YP GF OP RIB - CLASSIC;PPNK_08;PPNM_08
AAU1KIL005;00214K/214075 AUS CHL EQG GF STRIPLOIN - CLASSIC;PPNK_08;PPNM_08
AAU1KIL006;00216K/216010 AUS CHL EQG GF TENDERLOIN - CLASSIC;PPNK_08;PPNM_08
AAU1KIL007;00224K/224023 AUS CHL EQG GF CUBE ROLL - CLASSIC;PPNK_08;PPNM_08
AAU1KIL008;235004/235003 AUS CHL S GF BRISKET PEDO - CLASSIC;PPNK_08;PPNM_08
AAU1KIL009;221004/221000 AUS CHL S GF FLANK STEAK - CLASSIC;PPNK_08;PPNM_08
AAU1KIL010;00210K/209361 AUS CHL EQG GF D-RUMP - CLASSIC;PPNK_08;PPNM_08
AAU1KIL011;AUS CHL S GF 2070 KNUCKLE;PPNK_08;PPNM_08
AAU1KIL012;AUS CHL WAG CHUCK EYE ROLL MB 6-7;PPNK_08;PPNM_08
AAU1KIL013;AUS CHL EQG GF RIB EYE LIP ON MB 2+ BLACK DIAMOND;PPNK_08;PPNM_08
AAU1KIL014;AUS CHL EQG GF TENDERLOIN SS/OFF MB 2+ BLACK DIAMOND;PPNK_08;PPNM_08
AAU1KOB001;AUS CHL WAG TENDERLOIN AA7;PPNK_08;PPNM_08
AAU1KOB002;AUS CHL WAG STRIPLOIN AA9;PPNK_08;PPNM_08
AAU1KOB003;AUS CHL WAG TOPSIDE AA9;PPNK_08;PPNM_08
AAU1KOB004;AUS CHL WAG ER TRIMMING 95CL AA9;PPNK_08;PPNM_08
AAU1KOB005;AUS CHL WAG TENDERLOIN AA9;PPNK_08;PPNM_08
AAU1KOB006;AUS CHL WAG RIBEYE AA6 5 RIBS;PPNK_08;PPNM_08
AAU1KOB007;AUS CHL WAG RIBEYE AA7 5 RIBS;PPNK_08;PPNM_08
AAU1KOB008;AUS CHL WAG RIBEYE AA8 5 RIBS;PPNK_08;PPNM_08
AAU1KOB009;AUS CHL WAG STRIPLOIN AA6 3 RIBS;PPNK_08;PPNM_08
AAU1KOB010;AUS CHL WAG STRIPLOIN AA7 3 RIBS;PPNK_08;PPNM_08
AAU1KOB011;AUS CHL WAG BRISKET PE AA9;PPNK_08;PPNM_08
AAU1KOB012;AUS CHL WAG OP RIB MB 4;PPNK_08;PPNM_08
AAU1MER001;AUS CHL A 2000 TOPSIDE;PPNK_08;PPNM_08
AAU1MID001;AUS CHL YG GF RIBEYE;PPNK_08;PPNM_08
AAU1MID002;AUS CHL S RIBEYE 3KG UP IW VAC;PPNK_08;PPNM_08
AAU1MID003;AUS CHL PR 2160 TENDERLOIN SS/OFF;PPNK_08;PPNM_08
AAU1MID004;AUS CHL A 2160 TENDERLOIN SS/OFF AGED;PPNK_08;PPNM_08
AAU1MID005;AUS CHL B TENDERLOIN 1.8 - 3KG;PPNK_08;PPNM_08
AAU1MID006;AUS CHL B 2160 TENDERLOIN SS/OFF 1.4 -1.8 KG;PPNK_08;PPNM_08
AAU1MID007;AUS CHL YG 2160 TENDERLOIN SS/OFF;PPNK_08;PPNM_08
AAU1MID008;AUS CHL A RIBEYE 2.2-3.1KG IW/VAC;PPNK_08;PPNM_08
AAU1MID009;AUS CHL YGE RIBEYE 3.1-4.5KG IW/VAC;PPNK_08;PPNM_08
AAU1MID010;AUS CHL PR TENDERLOIN SS/OFF;PPNK_08;PPNM_08
AAU1MID012;AUS CHL YG 2142 STRIPLOIN;PPNK_08;PPNM_08
AAU1MID013;AUS CHL PR 2243 RIBEYE;PPNK_08;PPNM_08
AAU1MID014;AUS CHL YP 2142 STRIPLOIN;PPNK_08;PPNM_08
AAU1MID015;AUS CHL A 2243 RIBEYE;PPNK_08;PPNM_08
AAU1MUL001;AUS CHILLED PRS BA ROUND RUMP B/IN;PPNK_08;PPNM_08
AAU1MUL002;AUS CHL PRS BA D-RUMP IW VAC;PPNK_08;PPNM_08
AAU1MUL003;AUS CHL MUL PRS TENDERLOIN;PPNK_08;PPNM_08
AAU1MUL004;AUS CHL MUL S GF TENDERLOIN SS/OFF 120 DAYS;PPNK_08;PPNM_08
AAU1MUL005;AUS CHL MUL S GF 2160 TENDERLOIN SS/OFF 1.8KG UP;PPNK_08;PPNM_08
AAU1MUL006;AUS CHL MUL PR STRIPLOIN 1 RIB;PPNK_08;PPNM_08
AAU1MUL007;AUS CHL MUL GF BA TENDERLOIN;PPNK_08;PPNM_08
AAU1MUL008;AUS CHL MUL PRS BA 2160 TENDERLOIN SS/OFF 2KG UP;PPNK_08;PPNM_08
AAU1MUL009;AUS CHL MUL S GF SHORT RIBS B/IN 3 RIBS;PPNK_08;PPNM_08
AAU1MUL010;AUS CHL PRS STRIPLOIN;PPNK_08;PPNM_08
AAU1MUL011;AUS CHL STRIPLOIN 3 RIB 4.5 KG UP IW VAC;PPNK_08;PPNM_08
AAU1MUL012;AUS CHL MUL PRS BA 2142 STRIPLOIN;PPNK_08;PPNM_08
AAU1MUL013;AUS CHL MUL S BA 2160 TENDERLOIN SS/OFF 2KG UP;PPNK_08;PPNM_08
AAU1MUL014;AUS CHL MUL GF BA RIBEYE MB 1-2 IW VAC;PPNK_08;PPNM_08
