ID;ADDRESS;ROOM;warehousename;NO PALLET;;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A00001;B3;G01;B3G01;B3G01-R01-01-A1;6957;G1-1-01-A1;77;AUS FRZ RIBEYE PR GF 100 DAYS IW/VAC;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV072;;1;6.23;;;;;
A00002;B3;G01;B3G01;B3G01-R01-01-A1;6957;G1-1-01-A1;;JAP FRZ WAGYU BEEF CHUCK ROLL A A5 8;FREE;NISHIAWA SAGA BEEF;EST TOKU-2;WAGYU;AAU2HRV072;;1;3.70;30/06/22;;IGU 01/08/22;SZLU 2024220 (20 FEET);
