ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A04560;B3;G08;B3G08;B3G08-R01-01-C1;G8-1-01-C1;77;AUS FRZ RIBEYE PR GF 7 RIB IW/VAC;FREE;AMH;EST 384;AUS PR CUT;AAU2AMH014;30;;457.75;25/08/21;;IMS 01/11/21;BMOU 9605226 (40 FEET);
A04561;B3;G08;B3G08;B3G08-R01-01-C2;G8-1-01-C2;77;AUS FRZ RIBEYE PR GF 7 RIB IW/VAC;FREE;AMH;EST 235;AUS PR CUT;AAU2AMH014;30;;517.75;25/08/21;;IMS 01/11/21;BMOU 9605226 (40 FEET);
A04563;B3;G08;B3G08;B3G08-R01-02-C2;G8-1-02-C2;102;AUS FRZ BRISKET B/LESS PE PR GF MSA 5 DAYS;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV073;22;;459.45;06/07/22;;IN 12/09/22;SZLU 2035293 (40 FEET);EX CHILLED
A04564;B3;G08;B3G08;B3G08-R01-03-C1;G8-1-03-C1;40;US 109 FRZ OP RIB B/IN CH 6 X 6 ( TOMAHAWK );FREE;SWIFT;EST 969;US 2ND;AUS2SWF060;16;;320.46;29/07/22;;IGU 14/01/23;TTNU 8308256 (40 FEET);
A04565;B3;G08;B3G08;B3G08-R01-03-C2;G8-1-03-C2;77;AUS FRZ RIBEYE PR GF 100 DAYS IW/VAC;DARMAWANGSA HOTEL;HARVEY;EST 648;AUS PR CUT;AAU2HRV072;25;;439.53;04/08/22;01/11/22;IN 20/09/22;SZLU 2035293 (40 FEET);EX CHILLED
A04566;B3;G08;B3G08;B3G08-R01-04-C1;G8-1-04-C1;43;US 167 FRZ BEEF KNUCKLES PEELED CH OR HIGHER CAB;SHABURI;SWIFT;EST 969;US 2ND;AUS2SWF025;20;;612.89;14/07/22;;IGU 05/01/23;OTPU 6242419 (40 FEET);
A04568;B3;G08;B3G08;B3G08-R01-05-C1;G8-1-05-C1;;US FRZ BEEF TRIMMING 65 CL;FREE;FARMERS;EST 17202A;US 2ND;AUS2SWF063;28;;762.16;14/03/22;;CKI 16/07/22;TXGU 9009455 (40 FEET);
A04572;B3;G08;B3G08;B3G08-R01-07-C1;G8-1-07-C1;56;US 121 FRZ SHORT PLATE S/T VP;FREE;SWIFT;EST 3D;US 2ND;AUS2SWF038;16;;539.47;26/10/22;;IGU 24/12/22;OERU 4101338 (40 FEET);
A04573;B3;G08;B3G08;B3G08-R01-07-C2;G8-1-07-C2;52;US 171C FRZ EYE ROUND CH OR HIGHER;FREE;SWIFT;EST 969G;US 2ND;AUS2SWF070;20;;720.17;12/04/22;;IGU 29/08/22;BEAU 9704348 (40 FEET);
A04575;B3;G08;B3G08;B3G08-R01-08-C2;G8-1-08-C2;48;US 116 FRZ CHUCK EYE ROLL PR ;FREE ;IBP ;EST 245C ;US 2ND ;AUS2IBP026 ;30;;536.59;18/01/22;;IGU 25/05/22 ;OOLU 6248476 (40 FEET) ;
