ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A00001;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;77;AUS FRZ RIBEYE PR GF 100 DAYS IW/VAC;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV072;;1;6.23;;;;;
A00002;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;;JAP FRZ WAGYU BEEF CHUCK ROLL A A5 8;FREE;NISHIAWA SAGA BEEF;EST TOKU-2;WAGYU;AAU2HRV072;;1;3.70;30/06/22;;IGU 01/08/22;SZLU 2024220 (20 FEET);
A00003;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;7;AUS FRZ WAGYU BEEF TOPSIDE F1 MB 6-7;FREE;JACK'S CREEK;EST 239;WAGYU;AAU2HRV072;;1;10.74;30/05/22;;IGU 10/08/22;CRLU 2100099 (40 FEET);
A00004;B3;G01;B3G01;B3G01-R01-01-A1;G1-1-01-A1;87;AUS FRZ TENDERLOIN EQG GF MSA ANGUS MB 2;FREE;TEYS PREMIUM;EST 423;AUS PR CUT;AAU2HRV072;;1;2.54;08/04/22;29/08/22;IN 17/06/22;KKTU 6048787 (40 FEET);EX CHILLED
A00005;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;27;AUS FRZ OP RIB B/IN S GF ANGUS PREPARED CAP OFF (TOMAHAWK CUT) MB 2+;FREE;JACK'S CREEK;EST 1620;AUS 2ND;AAU2JCK024;1;;12.28;05/08/22;;IGU 05/11/22;BMOU 8715039 (40 FEET);
A00006;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;6;DUTCH VEAL TENDER;AMUZ 8 KG;EKRO;;VEAL;AAU2JCK024;;7;20.32;15/01/20;25/03/20;IGU 05/05/20;DARI MEILING;EX MEAT SHOP
A00007;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;100;AUS FRZ CLOD YP MS ANGUS BEEF;FREE;AMG;EST 3085;AUS 2ND;AAU2AMG016;3;;55.20;23/01/20;21/01/22;IMS 03/04/20;SZLU 9639675 (40 FEET);
A00008;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;85;AUS FRZ WAGYU BEEF OP RIB B/IN MB 4-5 (CUT 4 TULANG);ST REGIS;HARVEY;EST 648;WAGYU;AAU2AMG016;;5;24.63;31/10/22;;IN 08/12/22;BMOU 8703104 (40 FEET);EX CHILLED
A00009;B3;G01;B3G01;B3G01-R01-01-A2;G1-1-01-A2;7;AUS FRZ WAGYU BEEF TENDERLOIN GRASS FED MB 2 UP;ST REGIS;BORTHWICKS;EST 67;WAGYU;AAU2SEC050;1;5;27.00;18/10/22;;IN 27/12/22;OOLU 3963357 (20 FEET);EX CHILLED
A00010;B3;G01;B3G01;B3G01-R01-02-A1;G1-1-02-A1;83;AUS FRZ STRIPLOIN PR GF 5 KG UP IW/VAC;FREE;AMH;EST 235;AUS PR CUT;AAU1AMH003;25;;454.95;19/07/22;;IN 03/09/22;OOLU 3879821 (40 FEET);EX CHILLED
A00011;B3;G01;B3G01;B3G01-R01-02-A2;G1-1-02-A2;235;US FRZ LEPRINO MOZARELLA CHEESE BLOCK 48 LBS;FREE;LEPRINO;;DAIRY;HUS2LEP002;15;;615.90;08/03/22;07/03/24;IGU 14/06/22;EGSU 5016916 (40 FEET);
A00012;B3;G01;B3G01;B3G01-R01-03-A1;G1-1-03-A1;83;AUS FRZ STRIPLOIN PR 5 KG UP IW/VAC;FREE;SWIFT;EST 688;AUS PR CUT;AAU2JBS020;6;;456.36;13/07/22;;IN 26/08/22;OOLU 2065970 (20 FEET);EX CHILLED
A00013;B3;G01;B3G01;B3G01-R01-03-A2;G1-1-03-A2;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;8;;530.40;05/07/22;;IGU 17/11/22;CGMU 5236753(40 FEET);
A00014;B3;G01;B3G01;B3G01-R01-04-A1;G1-1-04-A1;77;AUS FRZ RIBEYE A 3,1 KG UP;FREE;SWIFT;EST 688;AUS PR CUT;AAU2HRV073;14;;243.26;28/06/22;;IGU 14/04/22;SZLU 2029705 (40 FEET);EX CHILLED
A00015;B3;G01;B3G01;B3G01-R01-04-A2;G1-1-04-A2;70;AUS FRZ TENDERLOIN A 1,8 KG UP SS/OFF;FREE;TEYS;EST 294;AUS PR CUT;AAU2TYB001;30;;563.26;07/06/22;;IGU 24/09/22;CAIU 5421350 (40 FEET);
A00016;B3;G01;B3G01;B3G01-R01-05-A1;G1-1-05-A1;191;AUS FRZ LAMB MUTTON RACK B/IN IW VAC;FREE;WAGSTAFF;EST 46;AUS LAMB;AAU2WGF001;15;;492.64;10/08/22;10/08/24;IGU 28/09/22;TEMU 9566737 (40 FEET);
A00017;B3;G01;B3G01;B3G01-R01-05-A2;G1-1-05-A2;3;AUS FRZ LAMB SHOULDER B/LESS MEAT TUBE;FREE;MIDFIELD;EST 180;AUS LAMB;AAU2MID061;16;;768.73;08/10/21;08/10/23;IGU 05/03/22;HLBU 9419728(40 FEET);KODE SA
A00018;B3;G01;B3G01;B3G01-R01-06-A1;G1-1-06-A1;63;AUS FRZ SHORT RIBS B/IN A;FREE;ECT;EST 486;AUS 2ND;AAU2ECT002;15;;246.76;09/03/23;07/03/25;SCA 10/04/23;PCIU 6044428 (40 FEET);
A00019;B3;G01;B3G01;B3G01-R01-06-A2;G1-1-06-A2;234;AVOSET (RICH) NON-DAIRY PASTRY TOPPING 12 X 907;FREE;RICHS;;RETAIL;FUS1RIC002;60;;720.00;27/01/23;26/01/24;IGU 09/02/23;PT RICH;
A00020;B3;G01;B3G01;B3G01-R01-07-A1;G1-1-07-A1;38;AUS FRZ STRIPLOIN A 4 KG UP IW/VAC;FREE;HARVEY;EST 648;AUS PR CUT;AAU2JBS020;25;;486.16;29/09/22;;IGU 03/11/22;BMOU 8704625 (40 FEET);EX CHILLED
A00022;B3;G01;B3G01;B3G01-R01-08-A1;G1-1-08-A1;109;AUS FRZ BEEF TAIL;FREE;AMH;EST 235;AUS 2ND;AAU2JBS011;25;;636.00;25/04/22;;IMS 14/06/22;CXRU 1596271 (40 FEET);
A00023;B3;G01;B3G01;B3G01-R01-08-A1;G1-1-08-A1;109;AUS FRZ BEEF TAIL S;SAMPLE;SWIFT;EST 262;AUS 2ND;AAU2JBS011;1;;14.50;23/05/22;;IMS 16/07/22;CBHU 2688126 (20 FEET);
A00025;B3;G01;B3G01;B3G01-R01-09-A1;G1-1-09-A1;229;AUS FRZ BEEF TOPSIDE A IW;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV056;29;;576.40;18/11/22;;IGU 28/10/22;TRIU 6677706 (40 FEET);EX CHILLED
A00026;B3;G01;B3G01;B3G01-R01-09-A2;G1-1-09-A2;98;AUS FRZ BEEF DRUMP IW;FREE;AMH;EST 235;AUS 2ND;AAU2JBS041;3;;606.80;24/06/22;;SCA 02/09/22;FSCU 5761969 (40 FEET);
A00027;B3;G01;B3G01;B3G01-R01-10-A1;G1-1-10-A1;94;AUS FRZ BEEF KNUCKLE A;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV056;30;;555.52;15/07/22;;SCA 16/08/22;SEGU 9385480 (40 FEET);
A00028;B3;G01;B3G01;B3G01-R01-10-A2;G1-1-10-A2;83;AUS FRZ STRIPLOIN PR 5 KG UP IW/VAC;FREE;HUNTER VALLEY;EST 262;AUS PR CUT;AAU2JBS020;21;;365.60;19/07/22;;IN 12/09/22;OOLU 3872642 (20 FEET);EX CHILLED
A00030;B3;G01;B3G01;B3G01-R01-11-A2;G1-1-11-A2;77;AUS FRZ RIBEYE YGE OVER 1,55 KG IW;FREE;MIDFIELD;EST 180;AUS PR CUT;AAU2MID061;;5;10.20;05/01/21;04/01/23;IGU 06/06/21;HLBU 9557331 (40 FEET);
A00031;B3;G01;B3G01;B3G01-R01-12-A1;G1-1-12-A1;90;BRAZIL FRZ BEEF BRISKET B/LESS ( 42181 );FREE;MINERVA;EST 1940;BRA 2ND;ABR2MVD007;12;3;;13/07/21;;IGU 06/09/21;EGHU 5002586 (40 FEET);
A00032;B3;G01;B3G01;B3G01-R01-12-A2;G1-1-12-A2;102;AUS FRZ BEEF CHEEK MEAT MW/VAC;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV048;40;;627.44;19/11/22;;IGU 21/12/22;TRIU 6767517 (20 FEET);
A00033;B3;G01;B3G01;B3G01-R01-13-A1;G1-1-13-A1;194;AUS FRZ LAMB HINDSHANK MARUNGGA MARBLE MW/VAC;FREE;CEDAR MEAT;EST 206;AUS LAMB;AAU2MUL080;4;9;88.70;20/07/22;;IGU 29/09/22;CGMU 3021545 (20 FEET);
A00035;B3;G01;B3G01;B3G01-R01-14-A1;G1-1-14-A1;;AUS FRZ TENDERLOIN YG 1,8 KG UP;FREE;MIDFIELD;EST 180;AUS PR CUT;AAU2TYB001;6;;680.36;07/06/22;07/06/24;IGU 24/09/22;CAIU 5421350 (40 FEET);
A00036;B3;G01;B3G01;B3G01-R01-14-A2;G1-1-14-A2;234;AVOSET (RICH) CHOCOLATE WHIP TOPPING 12 X 907;FREE;RICHS;;RETAIL;FUS1RIC002;8;;96.00;12/05/22;11/05/23;IGU 16/06/22;PT RICH;
A00037;B3;G01;B3G01;B3G01-R01-14-A2;G1-1-14-A2;194;AUS FRZ LAMB HINDSHANK 500-600GR MW/VAC;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;;8;611.90;01/09/22;;IGU 07/09/22;A/F;
A00038;B3;G01;B3G01;B3G01-R01-01-B1;G1-1-01-B1;102;AUS FRZ TENDERLOIN B SS/OFF;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV032;26;;404.54;02/02/23;;BWN 14/03/23;FSCU 5794561 (40 FEET);
A00039;B3;G01;B3G01;B3G01-R01-01-B2;G1-1-01-B2;87;NZ FRZ STRIPLOIN PR 3 KG UP AVP;FREE;AFFCO;ME 42;NZ PR CUT;ANZ2AFF055;14;4;436.46;06/05/21;07/05/23;BWN 09/10/21;CRSU 5004279 (20 FEET);
A00040;B3;G01;B3G01;B3G01-R01-02-B1;G1-1-02-B1;229;AUS FRZ OUTSIDE FLAT A (ATS) IW;FREE;AMH;EST 235;AUS 2ND;AAU2JBS021;30;;167.80;17/02/23;;IMS 25/03/23;FSCU 5315550 (40 FEET);
A00041;B3;G01;B3G01;B3G01-R01-02-B2;G1-1-02-B2;77;AUS FRZ RIBEYE A 3,1 KG UP;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV073;30;;447.34;09/08/22;;IGU 14/04/22;SZLU 2029705 (40 FEET);EX CHILLED
A00042;B3;G01;B3G01;B3G01-R01-03-B1;G1-1-03-B1;88;NZ FRZ RIBEYE ROLL B 4 KG UP VP;SAIGON GRUP;GREEN LEA;ME 82;NZ PR CUT;ANZ2GRE050;35;;489.50;09/02/22;;IGU 13/05/22;MNBU 0132124 (40 FEET);
A00043;B3;G01;B3G01;B3G01-R01-03-B1;G1-1-03-B1;104;AUS FRZ BRISKET B/LESS NE YP MW;FREE;COLES;EST 688;AUS 2ND;AAU2JBS049;17;1;655.74;11/03/22;09/03/24;CKI 29/06/22;PCIU 6059460 (40 FEET);
A00044;B3;G01;B3G01;B3G01-R01-03-B2;G1-1-03-B2;63;NZ FRZ SHORT RIBS B/IN PS;FREE;GREEN LEA;ME 124;NZ 2ND;ANZ2GRE048;15;;440.45;29/04/22;27/04/24;IMS 11/06/22;MCRU 2010125 (20 FEET);
A00045;B3;G01;B3G01;B3G01-R01-04-B1;G1-1-04-B1;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;15;;530.40;05/07/22;;IGU 17/11/22;CGMU 5236753(40 FEET);
A00046;B3;G01;B3G01;B3G01-R01-04-B2;G1-1-04-B2;77;AUS FRZ RIBEYE PR GF 7 RIB IW/VAC;FREE;AMH;EST 235;AUS PR CUT;AAU2AMH014;15;;304.95;08/09/21;;IN 03/11/21;MSCU 3629740 (40FEET);
A00047;B3;G01;B3G01;B3G01-R01-05-B1;G1-1-05-B1;77;AUS FRZ RIBEYE A 3,1 KG UP;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV073;10;;374.08;06/05/22;;IGU 14/04/22;SZLU 2029705 (40 FEET);EX CHILLED
A00048;B3;G01;B3G01;B3G01-R01-05-B1;G1-1-05-B1;77;AUS FRZ RIBEYE A 3,1 KG UP;FREE;TEYS;;AUS PR CUT;AAU2HRV073;1;;4.00;;;;;
A00049;B3;G01;B3G01;B3G01-R01-05-B2;G1-1-05-B2;193;AUS FRZ LAMB LOIN CHUMP ON;FREE;HARDWICK;EST 43;AUS LAMB;AAU2MUL066;11;;196.47;30/01/20;;IGU 21/04/22;TEMU 9319170 (40 FEET);
A00050;B3;G01;B3G01;B3G01-R01-06-B1;G1-1-06-B1;191;AUS FRZ LAMB RACK B/IN IW/VAC;FREE;THOMAS FOODS;EST 394;AUS LAMB;AAU2MUL066;2;;594.87;02/02/23;02/02/25;IN 08/02/23;A/F;
A00051;B3;G01;B3G01;B3G01-R01-06-B2;G1-1-06-B2;77;NZ FRZ BEEF OYSTER BLADE PS;FREE;GREEN LEA;ME 124;NZ 2ND;ANZ2GRE053;3;7;78.90;03/02/22;20/01/24;IMS 13/04/22;MNBU 3162760 (40 FEET);
A00052;B3;G01;B3G01;B3G01-R01-06-B2;G1-1-06-B2;102;AUS FRZ BEEF CHEEK MEAT BP;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV048;10;;186.00;10/08/22;;IGU 20/10/22;SZLU 9711316 (40 FEET);
A00053;B3;G01;B3G01;B3G01-R01-07-B1;G1-1-07-B1;77;AUS FRZ RIBEYE ROLL PR GF MB 1 UP IW/VAC;FREE;AMH BLACK (BEEF CITY BLACK);EST 170;AUS PR CUT;AAU2AMH014;27;2;552.22;01/07/21;;CKI 01/07/21;CXRU 5306769(40 FEET);EX CHILLED
A00054;B3;G01;B3G01;B3G01-R01-07-B2;G1-1-07-B2;77;AUS FRZ STRIPLOIN PR GF 1 RIB IW/VAC;FREE;AMH;EST 235;AUS PR CUT;AAU2AMH014;18;;319.35;20/07/22;;IN 27/08/22;OOLU 3879821 (40 FEET);EX CHILLED
A00055;B3;G01;B3G01;B3G01-R01-08-B1;G1-1-08-B1;83;AUS FRZ STRIPLOIN S GF 3 RIB 5KG UP IW/VAC;IKEA;KILCOY (BLUE DIAMOND);EST 640;AUS PR CUT;AAU1KIL001;25;;525.78;27/06/21;;CKI 09/09/21;EMCU 5462143 (40 FEET);
A00056;B3;G01;B3G01;B3G01-R01-08-B2;G1-1-08-B2;102;AUS FRZ BEEF CHEEK MEAT MW/VAC;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV048;36;;506.62;20/09/22;;IKSU 20/10/22;KKTU 6080074 (40 FEET);
A00057;B3;G01;B3G01;B3G01-R01-08-B2;G1-1-08-B2;193;AUS FRZ LAMB SHORTLOIN B/IN SPLIT 3 INCH TAIL MW;FREE;MCPHEE;EST 612;AUS LAMB;AAU2MCP002;28;;504.20;03/10/22;;IGU 14/01/23;OERU 2000056 (40 FEET);
A00058;B3;G01;B3G01;B3G01-R01-09-B1;G1-1-09-B1;3;AUS FRZ LAMB SHOULDER B/LESS MEAT TUBE;FREE;MIDFIELD;EST 180;AUS LAMB;AAU2MID061;63;;776.29;08/10/21;08/10/23;IGU 05/03/22;HLBU 9419728(40 FEET);KODE SA
A00059;B3;G01;B3G01;B3G01-R01-09-B2;G1-1-09-B2;68;AUS FRZ VEAL HINDSHANK CENTRE CUT 1,3-1,8KG;FREE;MULWARRA;EST 239;VEAL;AAU2MUL062;3;5;68.76;21/10/22;;IGU 16/11/22;A/F;
A00060;B3;G01;B3G01;B3G01-R01-10-B1;G1-1-10-B1;168;NZ FRZ BEEF KNUCKLE C IW/VAC;FREE;ANZCO;ME 43;NZ 2ND;ANZCMP004;19;3;629.82;18/02/22;17/02/24;CKI 12/07/22;PCIU 5829643(20 FEET);
A00061;B3;G01;B3G01;B3G01-R01-10-B2;G1-1-10-B2;110;AUS FRZ BEEF BACK RIB A LP 5 RIB;OJJU;GREEN HAM;EST 205;AUS 2ND;AAU2MOE008;21;;434.20;07/01/22;07/01/24;IMS 22/02/22;APRU 5852958 (40 FEET);
A00062;B3;G01;B3G01;B3G01-R01-10-B2;G1-1-10-B2;110;AUS FRZ BEEF BACK RIB A LP 5 RIB;OJJU;GREEN HAM;EST 205;AUS 2ND;AAU2MOE008;6;;597.30;17/11/21;10/12/23;IMS 22/02/22;APRU 5852958 (40 FEET);
A00063;B3;G01;B3G01;B3G01-R01-11-B1;G1-1-11-B1;119;AUS FRZ BEEF TONGUE SWISS CUT A;FREE;BORRELLO;EST 113;AUS 2ND;AAU2BRL016;13;;334.80;03/05/22;02/05/24;BWN 15/06/22;PCIU 6038770 (40 FEET);
A00064;B3;G01;B3G01;B3G01-R01-11-B2;G1-1-11-B2;88;NZ FRZ RIBEYE ROLL PS 4 KG UP VP;FREE;AFFCO;ME 32;NZ PR CUT;ANZ2AFF007;35;;600.16;12/04/22;11/04/24;SCA 28/07/22;SEKU 9051276 (40 FEET);
A00065;B3;G01;B3G01;B3G01-R01-12-B1;G1-1-12-B1;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED SHANK OFF;FREE;MIDFIELD;EST 180;AUS LAMB;AAU2MID062;30;;594.30;04/03/22;19/03/24;IGU 12/07/22;TLLU 1110328 (40 FEET);
A00067;B3;G01;B3G01;B3G01-R01-12-B2;G1-1-12-B2;44;AUS FRZ BEEF CHUCK SHORT RIB B/IN (4-RIB) IW;FREE;BORTHWICKS;EST 67;AUS 2ND;AAU2BOR015;29;;608.83;26/09/22;25/09/24;SCA 23/12/22;SEGU 9962792 (40 FEET);
A00068;B3;G01;B3G01;B3G01-R01-13-B1;G1-1-13-B1;77;AUS FRZ RIBEYE PR GF 7 RIB IW/VAC;FREE;AMH;EST 235;AUS PR CUT;AAU2AMH014;23;;526.20;25/08/21;;IMS 01/11/21;BMOU 9605226 (40 FEET);
A00069;B3;G01;B3G01;B3G01-R01-13-B1;G1-1-13-B1;77;AUS FRZ RIBEYE S 3,1 KG UP;FREE;TEYS;EST 399;AUS PR CUT;AAU2AMH014;14;;232.05;26/04/22;;IN 14/06/22;OOLU 2070620 (40 FEET);EX CHILLED
A00070;B3;G01;B3G01;B3G01-R01-13-B2;G1-1-13-B2;132;NZ FRZ TRIMMING VEAL TRUNK MEAT 95 CL (BOVINE);BAHAN GROUND;ANZCO;ME 78;VEAL;ANZ2AFF041;26;;258.61;03/09/21;;IMS 18/11/21;CGMU 3069045 (40 FEET);
A00071;B3;G01;B3G01;B3G01-R01-14-B1;G1-1-14-B1;87;AUS FRZ STRIPLOIN S GF ANGUS MB 2+;FREE;JACK'S CREEK;EST 1620;AUS PR CUT;ANZ2AFF041;7;;563.74;04/08/22;;IGU 07/10/22;TRLU 1611212 (40 FEET);
A00072;B3;G01;B3G01;B3G01-R01-14-B2;G1-1-14-B2;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED;FREE;SWIFT;EST 688;AUS LAMB;AAU2JUN001;25;;516.62;04/08/22;;IGU 15/11/22;BMOU 9603434 (40 FEET);MS
A00073;B3;G01;B3G01;B3G01-R01-01-C1;G1-1-01-C1;7;AUS FRZ WAGYU BEEF TOPSIDE F1 MB 8-9 PURE BREED;FREE;JACK'S CREEK;EST 239;WAGYU;AAU2JUN001;;8;36.20;06/06/22;;IGU 10/08/22;CRLU 2100099 (40 FEET);
A00074;B3;G01;B3G01;B3G01-R01-01-C2;G1-1-01-C2;7;AUS FRZ WAGYU BEEF RIBEYE MB 4-5;FREE;HARVEY;EST 648;WAGYU;AAU2JUN001;9;;261.22;22/08/22;;IN 24/10/22;;EX CHILLED
A00075;B3;G01;B3G01;B3G01-R01-02-C1;G1-1-02-C1;85;AUS FRZ STRIPLOIN YP MSA 5 KG UP;FREE;REDGUM;EST 688;AUS PR CUT;AAU2JUN001;13;;260.64;05/07/22;;IN 14/07/22;A/F;EX CHILLED
A00076;B3;G01;B3G01;B3G01-R01-02-C2;G1-1-02-C2;102;AUS FRZ SHORTLOIN YP GF MB 2 UP;MEATSMITH 7CTN;RIVERINA;EST 517;AUS 2ND;AAU2JUN001;10;;249.05;06/12/22;;IN 31/12/21;A/F;EX CHILLED
A00077;B3;G01;B3G01;B3G01-R01-02-C2;G1-1-02-C2;85;AUS FRZ RIBEYE YP MSA 2,3-3,1KG;FREE;REDGUM;EST 195;AUS PR CUT;AAU2JUN001;13;;221.50;11/11/22;;IN 29/12/22;FBIU 5035065 (40 FEET);EX CHILLED
A00079;B3;G01;B3G01;B3G01-R01-03-C1;G1-1-03-C1;83;AUS FRZ STRIPLOIN PR 3,6-5 KG UP IW/VAC;FREE;HUNTER VALLEY;EST 262;AUS PR CUT;AAU2JBS020;4;;61.60;14/09/22;;IN 21/09/22;;
A00083;B3;G01;B3G01;B3G01-R01-04-C1;G1-1-04-C1;77;AUS FRZ RIBEYE PR GF 7 RIB IW/VAC;FREE;AMH;EST 384;AUS PR CUT;AAU2AMH014;15;;459.60;20/07/21;;IN 02/09/21;GESU 9480034 (40FEET);EX CHILLED
A00084;B3;G01;B3G01;B3G01-R01-04-C2;G1-1-04-C2;;US FRZ BEEF TONGUE SWISS CUT NO. 1 BLACK PREMIUM TRIM;FREE;SWIFT;EST 3D;US 2ND;AUS2JBS017;41;;643.35;15/09/22;;IGU 17/12/22;FBIU 5078479 (40 FEET);
A00087;B3;G01;B3G01;B3G01-R01-05-C1;G1-1-05-C1;17;AUS FRZ WAGYU BEEF OYSTER BLADE MB 8-9;FREE;THE PHOENIX;EST 203;WAGYU;AAU2SEC103;3;5;62.83;17/03/22;;IGU 05/09/22;BMOU 8715635 (40 FEET);
A00090;B3;G01;B3G01;B3G01-R01-05-C1;G1-1-05-C1;7;AUS FRZ WAGYU BEEF KARUBI PLATE MB 8-9;FREE;THE PHOENIX;EST 203;WAGYU;AAU2SEC030;3;3;54.04;10/03/22;;IGU 05/09/22;BMOU 8715635 (40 FEET);
A00091;B3;G01;B3G01;B3G01-R01-05-C2;G1-1-05-C2;85;AUS FRZ BEEF OP RIB B/IN S BA (TOMAHAWK CUT) 3-4 TULANG;FREE;MULWARRA;EST 1265;AUS 2ND;AAU2OAK020;21;;209.30;02/05/22;;IN 24/02/23;A/F;EX CHILLED
A00104;B3;G01;B3G01;B3G01-R01-08-C2;G1-1-08-C2;194;AUS FRZ LAMB HINDSHANK 500-600GR MW/VAC;FREE;MULWARRA;EST 282;AUS LAMB;AAU2MUL018;;4;330.61;16/08/22;;IGU 17/11/22;CGMU 5236753(40 FEET);
A00105;B3;G01;B3G01;B3G01-R01-09-C1;G1-1-09-C1;7;AUS FRZ WAGYU BEEF RIBEYE MB 8-9(HALF CUT);FREE;THE PHOENIX;EST 203;WAGYU;AAU2SEC076;1;;26.30;11/03/22;;IGU 05/09/22;BMOU 8715635 (40 FEET);
A00106;B3;G01;B3G01;B3G01-R01-09-C2;G1-1-09-C2;77;AUS FRZ RIBEYE CAP S GF BA MB 3+ IW/VAC;FREE;JACK'S CREEK;EST 1620;AUS PR CUT;AAU2AMH014;14;2;166.18;25/03/22;;IN 23/05/22;A/F;EX CHILLED
A00107;B3;G01;B3G01;B3G01-R01-10-C1;G1-1-10-C1;102;AUS FRZ TENDERLOIN S 1,8 KG UP SS/OFF;FREE;SWIFT;EST 195;AUS PR CUT;AAU2HRV032;21;;339.06;13/09/22;;IN 22/10/22;OOLU 3679179 (40 FEET);EX CHILLED
A00109;B3;G01;B3G01;B3G01-R01-11-C1;G1-1-11-C1;191;AUS FRZ LAMB RACK B/IN IW/VAC;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL031;25;;431.30;01/03/23;;IGU 07/03/23;A/F;
A00112;B3;G01;B3G01;B3G01-R01-12-C1;G1-1-12-C1;150;AUS FRZ SHORTLOIN B/IN S;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV020;5;;246.40;09/07/22;;IGU 14/09/22;TLLU 1119665 (40 FEET);
A00115;B3;G01;B3G01;B3G01-R01-13-C1;G1-1-13-C1;77;AUS FRZ RIBEYE PR IW;FREE;HARVEY;EST 648;AUS PR CUT;AAU2HRV072;28;;;10/03/22;;IN 13/06/22;A/F;EX CHILLED
A00120;B3;G01;B3G01;B3G01-R01-14-C1;G1-1-14-C1;168;NZ FRZ BEEF KNUCKLE C IW/VAC;FREE;ANZCO;ME 43;NZ 2ND;ANZCMP004;19;3;629.82;18/02/22;17/02/24;CKI 12/07/22;PCIU 5829643(20 FEET);
A00121;B3;G01;B3G01;B3G01-R01-14-C2;G1-1-14-C2;194;AUS FRZ LAMB SHORTLOIN PAIR 3 INC TAIL MARUNGGA MARBLE IW/VAC;FREE;CEDAR MEAT;EST 206;AUS LAMB;AAU2MUL078;;13;16.20;18/07/22;17/07/23;IGU 29/09/22;CGMU 3021545 (20 FEET);
A00125;B3;G01;B3G01;B3G01-R01-01-D2;G1-1-01-D2;37;US 112A FRZ RIBEYE LIPON PR OR HIGHER 2X2 DN;FREE;BLUE RIBBON;EST 628;US PR CUT;AUS2SWF032;3;;84.48;11/04/22;;CKI 03/08/22;MEDU 9815901 (40 FEET);
A00135;B3;G01;B3G01;B3G01-R01-03-D1;G1-1-03-D1;10;AUS FRZ WAGYU BEEF RIBEYE MB 9+;BISTECCA;BLACKMORE;EST 1265;WAGYU;AAU2BLA001;1;;25.30;09/09/22;08/09/24;IN 21/09/22;A/F;
A00138;B3;G01;B3G01;B3G01-R01-03-D1;G1-1-03-D1;10;AUS FRZ WAGYU BEEF STRIPLOIN MB 6-7(HALF CUT);FREE;THE PHOENIX;EST 203;WAGYU;AAU2SEC093;26;;368.34;17/03/22;;IGU 05/09/22;BMOU 8715635 (40 FEET);
A00140;B3;G01;B3G01;B3G01-R01-04-D1;G1-1-04-D1;27;AUS FRZ OP RIB YP GF MB 2 UP MSA;FREE;RIVERINA;EST 517;AUS 2ND;AAU2OAK020;3;;114.60;01/05/22;;IN 01/08/22;A/F;EX CHILLED
A00141;B3;G01;B3G01;B3G01-R01-04-D1;G1-1-04-D1;37;US 112A FRZ RIBEYE LIPON CH 2X2 UP;FREE;SWIFT;EST 969;US PR CUT;AUS2JBS015;16;;546.13;19/10/22;;IGU 13/01/23;OOLU 6272066 (40 FEET);
A00144;B3;G01;B3G01;B3G01-R01-05-D2;G1-1-05-D2;37;US FRZ BEEF VA LONG BONE RIB FRENCHED B/IN PR (TOMAHAWK CUT);FREE;GOP;EST 960A;US 2ND;AUS2GOP056;1;;18.26;22/08/22;;IN 12/09/22;A/F;EX CHILLED
A00145;B3;G01;B3G01;B3G01-R01-06-D1;G1-1-06-D1;7;AUS FRZ WAGYU BEEF FLANK STEAK MB 8-9;FREE;FUSION;EST 203;WAGYU;AAU2SEC003;1;;14.58;11/03/22;;IGU 04/09/22;CBHU 2836368 (40 FEET);
A00146;B3;G01;B3G01;B3G01-R01-06-D1;G1-1-06-D1;7;AUS FRZ WAGYU BEEF KNUCKLE MB 8-9;FREE;JACK'S CREEK;EST 239;WAGYU;AAU2JCK002;2;;32.07;10/05/22;;IN 16/07/22;MSDU 3007821 (40 FEET);EX CHILLED
